state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
tn,107,lower,HB 1700,TNV00003843,lower," AGRICULTURE COMMITTEE: Recommended for passage w/amendments- refer to:  Finance, Ways & Means Committee 3/15/2011 ",2011-03-15 00:00:00,other,0,0,0
tn,107,lower,HB 1716,TNV00003867,lower, S&LG SUBCOMMITTEE: Recommended for passage - refer to:  State & Local Government Committee 4/13/2011 ,2011-04-13 00:00:00,other,0,0,0
tn,107,lower,HB 1748,TNV00003934,lower, S&LG SUBCOMMITTEE: Recommended for passage - refer to:  State & Local Government Committee 3/16/2011 ,2011-03-16 00:00:00,other,0,0,0
tn,107,lower,HB 1783,TNV00003987,lower, JUDICIARY SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Judiciary Committee 4/6/2011 ,2011-04-06 00:00:00,other,0,0,0
tn,107,upper,SB 720,TNV00004091,lower, S&LG SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  State & Local Government Commit 3/23/2011 ,2011-03-23 00:00:00,other,0,0,0
tn,107,lower,HB 1875,TNV00004117,lower, S&LG SUBCOMMITTEE: Recommended for passage - refer to:  State & Local Government Committee 3/30/2011 ,2011-03-30 00:00:00,other,0,0,0
tn,107,lower,HB 130,TNV00000287,lower," EDUCATION COMMITTEE: Recommended for passage w/amendments- refer to:  Finance, Ways & Means Committee  3/22/2011   Passed",2011-03-22 00:00:00,other,12,6,0
tn,107,lower,HB 219,TNV00000469,lower, COMMERCE SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Commerce Committee 3/2/2011 ,2011-03-02 00:00:00,other,0,0,0
tn,107,upper,SB 32,TNV00000502,lower," GOVERNMENT OPERATIONS COMMITTEE: Recommended for passage - refer to:  Finance, Ways & Means Committee 3/23/2011 ",2011-03-23 00:00:00,other,0,0,0
tn,107,upper,SB 32,TNV00000504,lower, TRANSPORTATION SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Transportation Committee 2/22/2011 ,2011-02-22 00:00:00,other,0,0,0
tn,107,upper,SB 266,TNV00000778,lower, TRANSPORTATION SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Transportation Committee 4/19/2011 ,2011-04-19 00:00:00,other,0,0,0
tn,107,upper,SB 301,TNV00000974,lower, S&LG SUBCOMMITTEE: Recommended for passage - refer to:  State & Local Government Committee 2/23/2011 ,2011-02-23 00:00:00,other,0,0,0
tn,107,lower,HB 544,TNV00001177,lower, S&LG SUBCOMMITTEE: Recommended for passage - refer to:  State & Local Government Committee 3/9/2011 ,2011-03-09 00:00:00,other,0,0,0
tn,107,lower,HB 592,TNV00001332,lower, S&LG SUBCOMMITTEE: Recommended for passage if amended - refer to:  State & Local Government Committee 3/2/2011 ,2011-03-02 00:00:00,other,0,0,0
tn,107,lower,HB 687,TNV00001700,lower, JUDICIARY SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Judiciary Committee 4/20/2011 ,2011-04-20 00:00:00,other,0,0,0
tn,107,lower,HB 709,TNV00001804,lower, S&LG SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  State & Local Government Commit 3/9/2011 ,2011-03-09 00:00:00,other,0,0,0
tn,107,lower,HB 724,TNV00001855,lower, JUDICIARY SUBCOMMITTEE: Recommended for passage - refer to:  Judiciary Committee 3/16/2011 ,2011-03-16 00:00:00,other,0,0,0
tn,107,lower,HB 732,TNV00001878,lower, EDUCATION SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Education Committee 4/6/2011 ,2011-04-06 00:00:00,other,0,0,0
tn,107,upper,SB 483,TNV00001895,lower," FINANCE SUBCOMMITTEE: Recommended for passage - refer to:  Finance, Ways & Means Committee 4/18/2011 ",2011-04-18 00:00:00,other,0,0,0
tn,107,upper,SB 607,TNV00001945,lower, COMMERCE SUBCOMMITTEE: Recommended for passage - refer to:  Commerce Committee 3/9/2011 ,2011-03-09 00:00:00,other,0,0,0
tn,107,lower,HB 903,TNV00002193,lower," GOVERNMENT OPERATIONS COMMITTEE: Recommended for passage - refer to:  Finance, Ways & Means Committee 4/27/2011 ",2011-04-27 00:00:00,other,0,0,0
tn,107,lower,HB 903,TNV00002195,lower, CONSERVATION SUBCOMMITTEE: Recommended for passage - refer to:  Conservation & Environment Committee 4/5/2011 ,2011-04-05 00:00:00,other,0,0,0
tn,107,lower,HB 961,TNV00002287,lower," EDUCATION COMMITTEE: Recommended for passage w/amendments- refer to:  Finance, Ways & Means Committee 3/1/2011 ",2011-03-01 00:00:00,other,0,0,0
tn,107,lower,HB 966,TNV00002322,lower," COMMERCE COMMITTEE: Recommended for passage w/amendments- refer to:  Finance, Ways & Means Committee 4/5/2011 ",2011-04-05 00:00:00,other,0,0,0
tn,107,lower,HB 967,TNV00002332,lower, COMMERCE SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Commerce Committee 3/9/2011 ,2011-03-09 00:00:00,other,0,0,0
tn,107,lower,HB 1384,TNV00009181,lower, S&LG SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  State & Local Government Commit 3/7/2012 ,2012-03-07 00:00:00,other,0,0,0
tn,107,upper,SB 1522,TNV00004434,lower, FLOOR VOTE: LAY ON THE TABLE MOTION TO ADOPT AMENDMENT # 3 BY Stewart PASSAGE ON THIRD CONSIDERATION  5/9/2011   Passed,2011-05-09 00:00:00,other,65,33,0
tn,107,lower,HB 2038,TNV00004531,lower, EDUCATION SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Education Committee 4/27/2011 ,2011-04-27 00:00:00,other,0,0,0
tn,108,lower,HB 17,TNV00015033,upper, S. TRANS COMM.: Recommended for passage - refer to: S. Cal. Comm.  2/6/2013   Passed,2013-02-06 00:00:00,other,9,0,0
tn,108,lower,HB 53,TNV00014878,upper, S. S&L GOVT. COMM.: Recommended for passage w/amendments- refer to:  S. Cal. Comm.  2/5/2013   Passed,2013-02-05 00:00:00,other,8,0,0
tn,108,lower,HB 118,TNV00015197,lower, CIVIL JUSTICE SUBCOMMITTEE: Recommended for passage w/amendments- refer to:  Civil Justice Committee 2/13/2013 ,2013-02-13 00:00:00,other,0,0,0
tn,108,lower,HB 128,TNV00015560,lower," CRIMINAL JUSTICE COMMITTEE: Recommended for passage - refer to: Finance, Ways & Means Committee 2/20/2013 ",2013-02-20 00:00:00,other,0,0,0
tn,108,lower,HB 171,TNV00016082,lower, HEALTH SUBCOMMITTEE: Recommended for passage - refer to: Health Committee 2/26/2013 ,2013-02-26 00:00:00,other,0,0,0
