state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
tn,107,lower,HB 1,"Taxes, Sales - As introduced, extends existing law that allows persons receiving FEMA assistance from May 2010 flood damage to apply for sales tax refunds for certain residential purchases; permits refunds for eligible purchases made between October 1, 2010, and May 1, 2011. - Amends TCA Title 67, Chapter 6.",2012-02-24 19:51:17.116000,2012-09-08 06:49:13.740000,bill,"Business and Consumers|Budget, Spending, and Taxes"
tn,107,lower,HB 10,"Highway Signs - As enacted, designates ""Benjamin C. ""Pat"" Hartman, Jr. Memorial Bridge"" on S.R. 386 in Sumner County. - ",2012-02-24 19:51:17.445000,2012-09-08 06:49:15.691000,bill,Transportation
tn,107,lower,HB 100,"Taxes, Exemption and Credits - As introduced, requires the commissioner to study the feasibility of sunsetting sales exemptions on a staggered schedule to be followed by their reauthorization every 10 years. - Amends TCA Title 67.",2012-02-24 19:51:19.688000,2012-10-18 07:07:07.344000,bill,"Budget, Spending, and Taxes"
tn,107,lower,HB 1000,"Veterans' Affairs, Dept. of - As enacted, renames the ""Tennessee distinguished service medal"" as the ""Tennessee fallen heroes medal"". - Amends TCA Section 8-30-306; Section 49-7-102; Title 58, Chapter 7; Title 58, Chapter 3 and Section 67-5-704.",2012-02-24 19:51:44.792000,2012-09-08 06:49:32.400000,bill,Military|Legislative Affairs
tn,107,lower,HB 1001,"Workers Compensation - As introduced, increases the time in which the secretary of state has to return an application for a construction services provider's workers' compensation exemption from 10 to 14 days. - Amends TCA Title 50, Chapter 6.",2012-02-24 19:51:44.809000,2012-10-18 07:07:23.290000,bill,Labor and Employment
tn,107,lower,HB 1002,"Campaigns and Campaign Finance - As introduced, increases contribution limits by 20% and then ties future increases to reflect change in the CPI; allows corporations to contribute to candidates. - Amends TCA Title 2, Chapter 10.",2012-02-24 19:51:44.827000,2012-09-08 06:49:32.427000,bill,Campaign Finance and Election Issues
tn,107,lower,HB 1003,"Campaigns and Campaign Finance - As enacted, increases contribution limits to reflect change in the CPI; allows corporations to contribute to candidates; revises certain other provisions regarding campaign funds. - Amends TCA Title 2, Chapter 10.",2012-02-24 19:51:44.896000,2012-10-18 07:07:23.308000,bill,Campaign Finance and Election Issues
tn,107,lower,HB 1004,"Salaries and Benefits - As introduced, authorizes an employer subject to certain state employment law penalties to send written notification of the employer's intention to challenge the assessment of penalties electronically to an e-mail address designated by the commissioner of labor and workforce development. - Amends TCA Title 8 and Title 50.",2012-02-24 19:51:44.916000,2012-10-18 07:07:23.347000,bill,Labor and Employment
tn,107,lower,HB 1005,"Salaries and Benefits - As introduced, requires employers to pay tipped employees wages at a rate of at least $6.55 per hour. - Amends TCA Title 50, Chapter 2.",2012-02-24 19:51:44.936000,2012-10-18 07:07:23.375000,bill,Labor and Employment
tn,107,lower,HB 1006,"Education - As introduced, requires the commissioner of education to submit annual report as of each December 1, rather than November 1. - Amends TCA Title 49.",2012-02-24 19:51:44.952000,2012-10-18 07:07:23.381000,bill,Education
tn,107,lower,HB 1007,"Traffic Safety - As enacted, broadens requirement that drivers exercise due care to apply to bicyclists; enhances penalty for certain traffic violations that cause serious bodily injury or death. - Amends TCA Title 55, Chapter 8.",2012-02-24 19:51:44.984000,2012-10-18 07:07:23.393000,bill,Transportation
