leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
TNL000078,committee member,108,,lower,tn,,TNC000021,Calendar and Rules,,,
TNL000078,member,107,78,lower,tn,Republican,,,,,
TNL000078,committee member,107,,lower,tn,,TNC000021,Calendar and Rules,,,
TNL000078,committee member,107,,lower,tn,,TNC000025,Commerce ,General Sub of Commerce ,,
TNL000078,committee member,107,,lower,tn,,TNC000043,General Sub of Transportation,,,
TNL000078,committee member,107,,lower,tn,,TNC000044,Transportation,General Sub of Transportation,,
TNL000041,member,107,3,lower,tn,Republican,,,,,
TNL000041,committee member,107,,lower,tn,,TNC000034,"Finance, Ways & Means","General Sub of Finance, Ways & Means",,
TNL000041,committee member,107,,lower,tn,,TNC000037,Health & Human Resources,General Sub of Health & Human Resources,,
TNL000039,member,107,28,lower,tn,Democratic,,,,,
TNL000039,committee member,107,,joint,tn,,TNC000014,Fiscal Review,,,
TNL000039,committee member,107,,lower,tn,,TNC000034,"Finance, Ways & Means","General Sub of Finance, Ways & Means",,
TNL000039,committee member,107,,lower,tn,,TNC000041,General Sub of State & Local Government,,,
TNL000039,committee member,107,,lower,tn,,TNC000042,State & Local Government,General Sub of State & Local Government,,
TNL000120,member,107,13,lower,tn,Democratic,,,,,
TNL000120,committee member,107,,lower,tn,,TNC000033,"General Sub of Finance, Ways & Means",,,
TNL000120,committee member,107,,lower,tn,,TNC000034,"Finance, Ways & Means","General Sub of Finance, Ways & Means",,
TNL000120,committee member,107,,lower,tn,,TNC000042,State & Local Government,General Sub of State & Local Government,,
TNL000001,member,107,22,upper,tn,Democratic,,,,,
TNL000001,committee member,107,,upper,tn,,TNC000007,Judiciary,,,
TNL000001,committee member,107,,upper,tn,,TNC000009,Transportation and Safety,,,
TNL000004,member,107,10,upper,tn,Democratic,,,,,
TNL000004,committee member,107,,upper,tn,,TNC000002,Education,,,
TNL000004,committee member,107,,upper,tn,,TNC000009,Transportation and Safety,,,
TNL000015,member,107,24,upper,tn,Democratic,,,,,
TNL000015,committee member,107,,upper,tn,,TNC000003,Energy and Environment,,,
TNL000015,committee member,107,,upper,tn,,TNC000005,Health & Welfare,,,
TNL000020,member,107,30,upper,tn,Democratic,,,,,
TNL000020,committee member,107,,upper,tn,,TNC000003,Energy and Environment,,,
TNL000020,committee member,107,,upper,tn,,TNC000007,Judiciary,,,
TNL000008,member,107,4,upper,tn,Republican,,,,,
