id,state,chamber,committee,subcommittee,parent_id
TXC000157,tx,lower,"Appropriations - S/C on Articles VI, VII, & VIII",,
TXC000161,tx,lower,"Appropriations - S/C on Articles I, IV, & V",,
TXC000021,tx,lower,Elections,,
TXC000005,tx,lower,Redistricting,,
TXC000159,tx,lower,Appropriations - S/C on Article II,,
TXC000101,tx,lower,Technology,,
TXC000007,tx,lower,Urban Affairs,,
TXC000071,tx,lower,County Affairs,,
TXC000150,tx,lower,Special Purpose Districts,,
TXC000016,tx,lower,Corrections,,
TXC000155,tx,lower,"Criminal Procedure Reform, Select",,
TXC000035,tx,lower,Business & Industry,,
TXC000151,tx,lower,Investments & Financial Services,,
TXC000153,tx,lower,"Federalism & Fiscal Responsibility, Select",,
TXC000149,tx,lower,Pensions,,
TXC000152,tx,lower,International Trade & Intergovernmental Affairs,,
TXC000156,tx,lower,Economic - S/C Manufacturing,,
TXC000165,tx,lower,"Oversight of Higher Ed Governance, Excellence & Transparency",,
TXC000008,tx,lower,Rules & Resolutions,,
TXC000098,tx,lower,Agriculture & Livestock,,
TXC000062,tx,lower,Energy Resources,,
TXC000095,tx,lower,Homeland Security & Public Safety,,
TXC000057,tx,lower,Calendars,,
TXC000154,tx,lower,"Transparency in State Agency Operations, Select",,
TXC000061,tx,lower,Environmental Regulation,,
TXC000079,tx,lower,General Investigating & Ethics,,
TXC000018,tx,lower,Public Health,,
TXC000033,tx,lower,Insurance,,
TXC000010,tx,lower,Land & Resource Management,,
TXC000024,tx,lower,Transportation,,
TXC000025,tx,lower,Natural Resources,,
TXC000009,tx,lower,Ways & Means,,
TXC000080,tx,lower,"Culture, Recreation & Tourism",,
TXC000060,tx,lower,Licensing & Administrative Procedures,,
TXC000022,tx,lower,State Affairs,,
TXC000102,tx,lower,Government Efficiency & Reform,,
TXC000003,tx,lower,Judiciary & Civil Jurisprudence,,
TXC000027,tx,lower,Public Education,,
TXC000096,tx,lower,Economic & Small Business Development,,
TXC000015,tx,lower,Human Services,,
TXC000019,tx,lower,Criminal Jurisprudence,,
TXC000058,tx,lower,Defense & Veterans' Affairs,,
TXC000001,tx,lower,Local & Consent Calendars,,
TXC000011,tx,lower,Higher Education,,
TXC000070,tx,lower,House Administration,,
TXC000082,tx,lower,Appropriations,,
TXC000164,tx,lower,Economic & Small Business Development - S/C Manufacturing,,
TXC000158,tx,lower,Appropriations - S/C on Budget Transparency and Reform,,
TXC000160,tx,lower,Appropriations - S/C on Article III,,
TXC000162,tx,upper,Finance-S/C on Fiscal Matters,,
TXC000166,tx,upper,"Oversight of Higher Ed Governance, Excellence & Transparency",,
TXC000043,tx,upper,Natural Resources,,
TXC000163,tx,upper,Economic Development-S/C on Public-Private Partnerships,,
TXC000044,tx,upper,Nominations,,
TXC000143,tx,upper,Open Government,,
TXC000029,tx,upper,Higher Education,,
TXC000103,tx,upper,Administration,,
TXC000041,tx,upper,Economic Development,,
TXC000142,tx,upper,Transportation,,
TXC000141,tx,upper,"Agriculture, Rural Affairs & Homeland Security",,
TXC000051,tx,upper,Criminal Justice,,
TXC000046,tx,upper,Intergovernmental Relations,,
TXC000030,tx,upper,Veteran Affairs & Military Installations,,
TXC000049,tx,upper,State Affairs,,
TXC000042,tx,upper,Finance,,
TXC000048,tx,upper,Jurisprudence,,
TXC000050,tx,upper,Health & Human Services,,
TXC000039,tx,upper,Business & Commerce,,
TXC000040,tx,upper,Committee of the Whole Senate,,
TXC000036,tx,upper,Education,,
TXC000028,tx,upper,Government Organization,,
