leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
TXL000300,member,82,144,lower,tx,Republican,,,,,2012-06-01 00:00:00
TXL000300,committee member,82,,lower,tx,,TXC000061,Environmental Regulation,,,
TXL000300,committee member,82,,lower,tx,,TXC000002,"Pensions, Investments & Financial Services",,,
TXL000300,member,81,144,lower,tx,Republican,,,,,
TXL000300,committee member,81,,lower,tx,,,Human Services,,,
TXL000418,member,82,144,lower,tx,Republican,,,,,
TXL000418,committee member,82,,lower,tx,,TXC000061,Environmental Regulation,,,
TXL000418,committee member,82,,lower,tx,,TXC000002,"Pensions, Investments & Financial Services",,,
TXL000186,Lt. Governor,83,,,tx,Republican,,,,,
TXL000186,committee member,83,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000186,Lt. Governor,82,,,tx,Republican,,,,,
TXL000186,committee member,82,,upper,tx,,TXC000040,Committee of the Whole Senate,,,
TXL000186,Lt. Governor,81,,,tx,Republican,,,,,
TXL000205,member,81,29,upper,tx,Democratic,,,,,
TXL000205,committee member,81,,upper,tx,,,Health & Human Services,,,
TXL000205,committee member,81,,upper,tx,,,International Relations & Trade,,,
TXL000205,committee member,81,,upper,tx,,,Nominations,,,
TXL000205,committee member,81,,upper,tx,,,Transportation & Homeland Security,,,
TXL000205,committee member,81,,upper,tx,,,Veteran Affairs & Military Installations,,,
TXL000205,committee member,81,,upper,tx,,,Veteran Affairs & Military Installations,,,
TXL000205,committee member,81,,upper,tx,,,S/C on Base Realignment and Closure,,,
TXL000220,member,82,6,lower,tx,Republican,,,,,
TXL000220,committee member,82,,lower,tx,,TXC000058,Defense & Veterans' Affairs,,,
TXL000220,committee member,82,,lower,tx,,TXC000021,Elections,,,
TXL000220,member,81,6,lower,tx,Republican,,,,,
TXL000220,committee member,81,,lower,tx,,,Higher Education,,,
TXL000222,member,81,47,lower,tx,Democratic,,,,,
TXL000222,committee member,81,,lower,tx,,,Land & Resource Management,,,
TXL000222,committee member,81,,lower,tx,,,Local & Consent Calendars,,,
TXL000222,committee member,81,,lower,tx,,,"Special Purpose Districts, Select",,,
TXL000225,member,81,4,lower,tx,Republican,,,,,
TXL000225,committee member,81,,lower,tx,,,Elections,,,
TXL000231,member,81,76,lower,tx,Democratic,,,,,
TXL000231,committee member,81,,lower,tx,,,Appropriations,Business & Economic Development,,
TXL000231,committee member,81,,lower,tx,,,Appropriations,Stimulus,,
TXL000231,committee member,81,,lower,tx,,,Calendars,,,
TXL000231,committee member,81,,lower,tx,,,Defense & Veterans' Affairs,,,
TXL000233,member,82,9,lower,tx,Republican,,,,,
TXL000233,committee member,82,,lower,tx,,TXC000019,Criminal Jurisprudence,,,
TXL000233,committee member,82,,lower,tx,,TXC000009,Ways & Means,,,
TXL000233,member,81,9,lower,tx,Republican,,,,,
TXL000233,committee member,81,,lower,tx,,,Criminal Jurisprudence,,,
TXL000254,member,81,106,lower,tx,Democratic,,,,,
TXL000254,committee member,81,,lower,tx,,,Corrections,,,
TXL000254,committee member,81,,lower,tx,,,"Fiscal Stability, Select",,,
TXL000255,member,81,69,lower,tx,Democratic,,,,,
TXL000255,committee member,81,,lower,tx,,,State Affairs,,,
TXL000267,member,81,35,lower,tx,Democratic,,,,,
TXL000267,committee member,81,,lower,tx,,,Energy Resources,,,
TXL000276,member,81,85,lower,tx,Democratic,,,,,
TXL000276,committee member,81,,lower,tx,,,Elections,,,
TXL000281,member,81,3,lower,tx,Democratic,,,,,
TXL000281,committee member,81,,lower,tx,,,Land & Resource Management,,,
