state,session,chamber,bill_id,type,name,leg_id
ut,2011,lower,HB 1,primary,"Brown, M.",UTL000037
ut,2011,lower,HB 10,primary,"Froerer, G.",UTL000054
ut,2011,lower,HB 100,primary,"Brown, D.",UTL000036
ut,2011,lower,HB 101,primary,"Fisher, Janice",UTL000052
ut,2011,lower,HB 101 Substitute,primary,"Fisher, Janice",UTL000052
ut,2011,lower,HB 102,primary,"Edwards, R.",UTL000050
ut,2011,lower,HB 103,primary,"Brown, D.",UTL000036
ut,2011,lower,HB 104,primary,"Webb, R. C.",UTL000097
ut,2011,lower,HB 104 Second Substitute,primary,"Webb, R. C.",UTL000097
ut,2011,lower,HB 104 Substitute,primary,"Webb, R. C.",UTL000097
ut,2011,lower,HB 105,primary,"Froerer, G.",UTL000054
ut,2011,lower,HB 106,primary,"Daw, B.",UTL000044
ut,2011,lower,HB 106 Substitute,primary,"Daw, B.",UTL000044
ut,2011,lower,HB 107,primary,"Menlove, R.",UTL000075
ut,2011,lower,HB 108,primary,"Chavez-Houck, R.",UTL000039
ut,2011,lower,HB 109,primary,"Christensen, L.",UTL000040
ut,2011,lower,HB 11,primary,"Ray, P.",UTL000089
ut,2011,lower,HB 110,primary,"Poulson, M.",UTL000087
ut,2011,lower,HB 110 Substitute,primary,"Poulson, M.",UTL000087
ut,2011,lower,HB 111,primary,"Anderson, J.",UTL000030
ut,2011,lower,HB 112,primary,"King, B.",UTL000068
ut,2011,lower,HB 113,primary,"Daw, B.",UTL000044
ut,2011,lower,HB 114,primary,"Wilcox, R.",UTL000099
ut,2011,lower,HB 115,primary,"Morley, M.",UTL000076
ut,2011,lower,HB 115 Substitute,primary,"Morley, M.",UTL000076
ut,2011,lower,HB 116,primary,"Wright, B.",UTL000103
ut,2011,lower,HB 116 Second Substitute,primary,"Wright, B.",UTL000103
ut,2011,lower,HB 116 Third Substitute,primary,"Wright, B.",UTL000103
ut,2011,lower,HB 117,primary,"Litvack, D.",UTL000071
ut,2011,lower,HB 118,primary,"Edwards, R.",UTL000050
ut,2011,lower,HB 119,primary,"Ray, P.",UTL000089
ut,2011,lower,HB 119 Substitute,primary,"Ray, P.",UTL000089
ut,2011,lower,HB 12,primary,"Kiser, T.",UTL000069
ut,2011,lower,HB 120,primary,"Litvack, D.",UTL000071
ut,2011,lower,HB 121,primary,"Seelig, J.",UTL000093
ut,2011,lower,HB 121 Substitute,primary,"Seelig, J.",UTL000093
ut,2011,lower,HB 122,primary,"Sandstrom, S.",UTL000091
ut,2011,lower,HB 122 Substitute,primary,"Sandstrom, S.",UTL000091
ut,2011,lower,HB 123,primary,"Sumsion, K.",UTL000094
ut,2011,lower,HB 124,primary,"Biskupski, J.",UTL000034
ut,2011,lower,HB 125,primary,"Watkins, C.",UTL000096
