state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ut,2011,lower,HB 113,UTV00003734,lower,House Comm - Motion to Recommend Failed,2011-03-02 00:00:00,other,4,9,1
ut,2011,lower,HB 115 Substitute,UTV00003735,lower,House Comm - Favorable Recommendation,2011-02-10 00:00:00,other,13,0,1
ut,2011,lower,HB 116 Third Substitute,UTV00003739,lower,House Comm - Favorable Recommendation,2011-02-15 00:00:00,other,6,0,0
ut,2011,lower,HB 121 Substitute,UTV00003744,lower,House Comm - Favorable Recommendation,2011-02-15 00:00:00,other,10,1,2
ut,2011,lower,HB 122 Substitute,UTV00003746,lower,House Comm - Favorable Recommendation,2011-03-01 00:00:00,other,10,0,3
ut,2011,lower,HB 123,UTV00003747,lower,House Comm - Held,2011-03-01 00:00:00,other,12,0,3
ut,2011,lower,HB 128 Substitute,UTV00003749,lower,House Comm - Favorable Recommendation,2011-02-18 00:00:00,other,13,0,1
ut,2011,lower,HB 128 Second Substitute,UTV00003750,lower,House Comm - Favorable Recommendation,2011-02-18 00:00:00,other,13,0,1
ut,2011,lower,HB 129,UTV00003752,lower,House Comm - Held,2011-02-24 00:00:00,other,9,0,4
ut,2011,lower,HB 129,UTV00003753,lower,House Comm - Favorable Recommendation,2011-03-01 00:00:00,other,7,0,0
ut,2011,lower,HB 130,UTV00003754,lower,House Comm - Favorable Recommendation,2011-02-25 00:00:00,other,10,0,0
ut,2011,lower,HB 131,UTV00003755,lower,House Comm - Favorable Recommendation,2011-03-02 00:00:00,other,6,1,2
ut,2011,lower,HB 132,UTV00003756,lower,House Comm - Favorable Recommendation,2011-02-24 00:00:00,other,11,0,3
ut,2011,lower,HB 132 Substitute,UTV00003757,lower,House Comm - Favorable Recommendation,2011-02-24 00:00:00,other,11,0,3
ut,2011,lower,HB 133 Substitute,UTV00003758,lower,House Comm - Held,2011-02-28 00:00:00,other,9,0,0
ut,2011,lower,HB 134,UTV00003759,lower,House Comm - Favorable Recommendation,2011-02-25 00:00:00,other,12,2,1
ut,2011,lower,HB 134 Substitute,UTV00003760,lower,House Comm - Favorable Recommendation,2011-02-25 00:00:00,other,12,2,1
ut,2011,lower,HB 137,UTV00003762,lower,House Comm - Favorable Recommendation,2011-02-28 00:00:00,other,12,0,2
ut,2011,lower,HB 140,UTV00003764,lower,House Comm - Favorable Recommendation,2011-02-28 00:00:00,other,7,4,2
ut,2011,lower,HB 143 Substitute,UTV00003765,lower,House Comm - Favorable Recommendation,2011-02-18 00:00:00,other,9,0,1
ut,2011,lower,HB 145,UTV00003767,lower,House Comm - Favorable Recommendation,2011-03-02 00:00:00,other,10,0,5
ut,2011,lower,HB 153,UTV00003772,lower,House Comm - Favorable Recommendation,2011-02-25 00:00:00,other,10,0,2
ut,2011,lower,HB 155,UTV00003773,lower,House Comm - Favorable Recommendation,2011-02-22 00:00:00,other,8,4,2
ut,2011,lower,HB 161,UTV00003778,lower,House Comm - Favorable Recommendation,2011-02-14 00:00:00,other,6,2,1
ut,2011,lower,HB 165,UTV00003784,lower,House Comm - Favorable Recommendation,2011-02-16 00:00:00,other,6,0,0
ut,2011,lower,HB 167,UTV00003785,lower,House Comm - Favorable Recommendation,2011-02-11 00:00:00,other,12,0,1
ut,2011,lower,HB 172,UTV00003792,lower,House Comm - Favorable Recommendation,2011-02-16 00:00:00,other,9,0,2
ut,2011,lower,HB 172,UTV00003793,lower,Senate Comm - Favorable Recommendation,2011-02-28 00:00:00,other,4,0,1
ut,2011,lower,HB 173,UTV00003794,lower,House Comm - Favorable Recommendation,2011-02-15 00:00:00,other,10,0,4
ut,2011,lower,HB 174 Substitute,UTV00003797,lower,Senate Comm - Favorable Recommendation,2011-02-25 00:00:00,other,4,0,2
ut,2011,lower,HB 175,UTV00003798,lower,House Comm - Favorable Recommendation,2011-02-07 00:00:00,other,12,0,2
ut,2011,lower,HB 175,UTV00003799,lower,Senate Comm - Favorable Recommendation,2011-02-23 00:00:00,other,7,0,1
ut,2011,lower,HB 176 Substitute,UTV00003800,lower,House Comm - Favorable Recommendation,2011-02-18 00:00:00,other,8,0,2
