state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ut,2011,lower,HB 1,    State Agency and Higher Education Base Budget,2011-01-20 21:29:31.550000,2012-10-17 16:26:27.954000,bill,"Labor and Employment|State Agencies|Education|Budget, Spending, and Taxes"
ut,2011,lower,HB 10,    Renewal of Judgment Act,2011-01-11 20:44:10.826000,2012-10-17 16:26:28.367000,bill,Judiciary
ut,2011,lower,HB 100,    County Nuisance Abatement,2011-02-01 16:31:20.692000,2012-10-17 16:26:32.852000,bill,Legal Issues|Municipal and County Issues
ut,2011,lower,HB 101,    Mobile Home Park Residency Act Amendments,2011-02-01 16:31:20.694000,2012-10-17 16:26:32.866000,bill,Housing and Property|Business and Consumers
ut,2011,lower,HB 101 Substitute,    Mobile Home Park Residency Act Amendments,2011-02-19 00:55:58.512000,2012-10-17 16:26:32.902000,bill,Housing and Property|Business and Consumers
ut,2011,lower,HB 102,    Electronic Scrap Recycling,2011-02-01 16:31:20.696000,2012-10-17 16:26:32.920000,bill,Environmental|Business and Consumers|Technology and Communication
ut,2011,lower,HB 103,    Election Amendments,2011-02-01 16:31:20.698000,2012-10-17 16:26:32.951000,bill,Campaign Finance and Election Issues|State Agencies|Municipal and County Issues
ut,2011,lower,HB 104,    Homeowner Association Amendments,2011-02-02 00:19:12.797000,2012-10-17 16:26:32.982000,bill,Housing and Property|Business and Consumers
ut,2011,lower,HB 104 Second Substitute,    Homeowner Association Amendments,2011-03-11 01:27:19.023000,2012-10-17 16:26:33.061000,bill,Housing and Property|Business and Consumers
ut,2011,lower,HB 104 Substitute,    Homeowner Association Amendments,2011-03-09 01:44:02.207000,2012-10-17 16:26:33.026000,bill,Housing and Property|Business and Consumers
ut,2011,lower,HB 105,    Delinquent Property Tax Certificates,2011-02-02 00:19:12.799000,2012-10-17 16:26:33.085000,bill,"Budget, Spending, and Taxes|Municipal and County Issues"
ut,2011,lower,HB 106,    Electronic Meetings Revisions,2011-02-02 00:19:12.801000,2012-10-17 16:26:33.099000,bill,Education|Technology and Communication|Legislative Affairs
ut,2011,lower,HB 106 Substitute,    Electronic Meetings Revisions,2011-02-15 00:48:10.178000,2012-10-17 16:26:33.148000,bill,Government Reform|Education|Technology and Communication
ut,2011,lower,HB 107,    Volunteer Firefighters' Retirement Amendments,2011-02-03 00:20:59.199000,2012-10-17 16:26:33.187000,bill,Labor and Employment|Public Services|Senior Issues
ut,2011,lower,HB 108,    Adoption Amendments,2011-02-03 00:20:59.200000,2012-10-17 16:26:33.210000,bill,Public Services|Judiciary|Family and Children Issues
