leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
UTL000104,member,2011-2012,57,lower,ut,Republican,,,,,2012-01-06 00:00:00
UTL000104,committee member,2011-2012,,lower,ut,,UTC000014,Education Committee,,,
UTL000104,committee member,2011-2012,,lower,ut,,UTC000016,Government Operations Committee,,,
UTL000043,member,2011-2012,32,lower,ut,Republican,,,,,
UTL000043,committee member,2011-2012,,lower,ut,,UTC000018,Judiciary Committee,,,
UTL000043,committee member,2011-2012,,lower,ut,,UTC000022,Public Utilities and Technology Committee,,,
UTL000107,member,2011-2012,30,lower,ut,Democratic,,,,,
UTL000107,committee member,2011-2012,,lower,ut,,UTC000013,Business and Labor Committee,,,
UTL000107,committee member,2011-2012,,lower,ut,,UTC000018,Judiciary Committee,,,
UTL000003,member,2011-2012,10,upper,ut,Republican,,,,,2011-03-11 00:00:00
UTL000024,member,2011-2012,28,upper,ut,Republican,,,,,2011-04-17 00:00:00
UTL000034,member,2011-2012,30,lower,ut,Democratic,,,,,2011-06-01 00:00:00
UTL000041,member,2011-2012,74,lower,ut,Republican,,,,,2012-01-05 00:00:00
UTL000053,member,2011-2012,17,lower,ut,Republican,,,,,2011-07-01 00:00:00
UTL000053,committee member,2011-2012,,lower,ut,,UTC000024,Revenue and Taxation Committee,,,
UTL000053,committee member,2011-2012,,lower,ut,,UTC000026,Transportation Committee,,,
UTL000091,member,2011-2012,58,lower,ut,Republican,,,,,2011-11-01 00:00:00
UTL000102,member,2011-2012,52,lower,ut,Republican,,,,,2012-01-04 00:00:00
UTL000012,member,2011-2012,23,upper,ut,Republican,,,,,2011-12-01 00:00:00
UTL000012,committee member,2011-2012,,upper,ut,,UTC000001,Business and Labor Committee,,,
UTL000012,committee member,2011-2012,,upper,ut,,UTC000003,Ethics Committee,,,
UTL000012,committee member,2011-2012,,upper,ut,,UTC000008,Retirement and Independent Entities Committee,,,
UTL000012,committee member,2011-2012,,upper,ut,,UTC000010,Rules Committee,,,
UTL000015,member,2011-2012,2,upper,ut,Democratic,,,,,
UTL000015,committee member,2011-2012,,upper,ut,,UTC000003,Ethics Committee,,,
UTL000015,committee member,2011-2012,,upper,ut,,UTC000006,"Judiciary, Law Enforcement, and Criminal Justice Committee",,,
UTL000015,committee member,2011-2012,,upper,ut,,UTC000009,Revenue and Taxation Committee,,,
UTL000016,member,2011-2012,8,upper,ut,Democratic,,,,,
UTL000016,committee member,2011-2012,,upper,ut,,UTC000002,Education Committee,,,
UTL000016,committee member,2011-2012,,upper,ut,,UTC000003,Ethics Committee,,,
UTL000016,committee member,2011-2012,,upper,ut,,UTC000012,Workforce Services and Community and Economic Development Committee,,,
UTL000021,member,2011-2012,7,upper,ut,Democratic,,,,,
UTL000021,committee member,2011-2012,,upper,ut,,UTC000006,"Judiciary, Law Enforcement, and Criminal Justice Committee",,,
UTL000021,committee member,2011-2012,,upper,ut,,UTC000009,Revenue and Taxation Committee,,,
UTL000029,member,2011-2012,6,upper,ut,Republican,,,,,
UTL000029,committee member,2011-2012,,upper,ut,,UTC000006,"Judiciary, Law Enforcement, and Criminal Justice Committee",,,
UTL000029,committee member,2011-2012,,upper,ut,,UTC000012,Workforce Services and Community and Economic Development Committee,,,
UTL000038,member,2011-2012,4,lower,ut,Republican,,,,,
UTL000038,committee member,2011-2012,,lower,ut,,UTC000019,Law Enforcement and Criminal Justice Committee,,,
UTL000038,committee member,2011-2012,,lower,ut,,UTC000024,Revenue and Taxation Committee,,,
UTL000044,member,2011-2012,60,lower,ut,Republican,,,,,
UTL000044,committee member,2011-2012,,lower,ut,,UTC000017,Health and Human Services Committee,,,
UTL000044,committee member,2011-2012,,lower,ut,,UTC000023,Retirement and Independent Entities Committee,,,
UTL000044,committee member,2011-2012,,lower,ut,,UTC000026,Transportation Committee,,,
UTL000046,member,2011-2012,27,lower,ut,Republican,,,,,
UTL000046,committee member,2011-2012,,lower,ut,,UTC000015,Ethics Committee,,,
UTL000046,committee member,2011-2012,,lower,ut,,UTC000022,Public Utilities and Technology Committee,,,
UTL000046,committee member,2011-2012,,lower,ut,,UTC000024,Revenue and Taxation Committee,,,
UTL000055,member,2011-2012,6,lower,ut,Republican,,,,,
UTL000055,committee member,2011-2012,,lower,ut,,UTC000016,Government Operations Committee,,,
UTL000055,committee member,2011-2012,,lower,ut,,UTC000020,"Natural Resources, Agriculture, and Environment Committee",,,
UTL000062,member,2011-2012,33,lower,ut,Democratic,,,,,
UTL000062,committee member,2011-2012,,lower,ut,,UTC000015,Ethics Committee,,,
UTL000062,committee member,2011-2012,,lower,ut,,UTC000020,"Natural Resources, Agriculture, and Environment Committee",,,
UTL000062,committee member,2011-2012,,lower,ut,,UTC000022,Public Utilities and Technology Committee,,,
UTL000062,committee member,2011-2012,,lower,ut,,UTC000025,Rules Committee,,,
UTL000063,member,2011-2012,62,lower,ut,Republican,,,,,
UTL000063,committee member,2011-2012,,lower,ut,,UTC000018,Judiciary Committee,,,
UTL000063,committee member,2011-2012,,lower,ut,,UTC000022,Public Utilities and Technology Committee,,,
UTL000069,member,2011-2012,41,lower,ut,Republican,,,,,
UTL000069,committee member,2011-2012,,lower,ut,,UTC000013,Business and Labor Committee,,,
UTL000069,committee member,2011-2012,,lower,ut,,UTC000026,Transportation Committee,,,
UTL000071,member,2011-2012,26,lower,ut,Democratic,,,,,
UTL000071,committee member,2011-2012,,lower,ut,,UTC000019,Law Enforcement and Criminal Justice Committee,,,
UTL000071,committee member,2011-2012,,lower,ut,,UTC000027,Workforce Services and Community and Economic Development Committee,,,
UTL000076,member,2011-2012,66,lower,ut,Republican,,,,,
UTL000076,committee member,2011-2012,,lower,ut,,UTC000013,Business and Labor Committee,,,
UTL000076,committee member,2011-2012,,lower,ut,,UTC000021,Political Subdivisions Committee,,,
UTL000076,committee member,2011-2012,,lower,ut,,UTC000025,Rules Committee,,,
UTL000078,member,2011-2012,50,lower,ut,Republican,,,,,
UTL000078,committee member,2011-2012,,lower,ut,,UTC000014,Education Committee,,,
UTL000078,committee member,2011-2012,,lower,ut,,UTC000023,Retirement and Independent Entities Committee,,,
UTL000078,committee member,2011-2012,,lower,ut,,UTC000024,Revenue and Taxation Committee,,,
UTL000082,member,2011-2012,67,lower,ut,Republican,,,,,
UTL000082,committee member,2011-2012,,lower,ut,,UTC000020,"Natural Resources, Agriculture, and Environment Committee",,,
UTL000082,committee member,2011-2012,,lower,ut,,UTC000024,Revenue and Taxation Committee,,,
UTL000094,member,2011-2012,56,lower,ut,Republican,,,,,
UTL000094,committee member,2011-2012,,lower,ut,,UTC000014,Education Committee,,,
UTL000094,committee member,2011-2012,,lower,ut,,UTC000026,Transportation Committee,,,
UTL000096,member,2011-2012,69,lower,ut,Democratic,,,,,
UTL000096,committee member,2011-2012,,lower,ut,,UTC000017,Health and Human Services Committee,,,
UTL000096,committee member,2011-2012,,lower,ut,,UTC000020,"Natural Resources, Agriculture, and Environment Committee",,,
UTL000103,member,2011-2012,68,lower,ut,Republican,,,,,
UTL000103,committee member,2011-2012,,lower,ut,,UTC000014,Education Committee,,,
UTL000103,committee member,2011-2012,,lower,ut,,UTC000019,Law Enforcement and Criminal Justice Committee,,,
UTL000103,committee member,2011-2012,,lower,ut,,UTC000025,Rules Committee,,,
UTL000106,member,2011-2012,28,upper,ut,Republican,,,,,
