state,session,chamber,bill_id,type,name,leg_id
va,2010,lower,HB 1,primary,G. Manoli Loupassi,VAL000096
va,2010,lower,HB 10,primary,Robert G. Marshall,VAL000098
va,2010,lower,HB 10,cosponsor,"John M. O'Bannon, III",VAL000111
va,2010,lower,HB 10,cosponsor,"Watkins M. Abbitt, Jr.",VAL000041
va,2010,lower,HB 10,cosponsor,Richard L. Anderson,VAL000045
va,2010,lower,HB 10,cosponsor,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 10,cosponsor,Richard P. Bell,VAL000050
va,2010,lower,HB 10,cosponsor,Robert B. Bell,VAL000051
va,2010,lower,HB 10,cosponsor,Kathy J. Byron,VAL000054
va,2010,lower,HB 10,cosponsor,"Charles W. Carrico, Sr.",VAL000056
va,2010,lower,HB 10,cosponsor,William H. Cleaveland,VAL000057
va,2010,lower,HB 10,cosponsor,Mark L. Cole,VAL000059
va,2010,lower,HB 10,cosponsor,Barbara J. Comstock,VAL000060
va,2010,lower,HB 10,cosponsor,John A. Cox,VAL000062
va,2010,lower,HB 10,cosponsor,M. Kirkland Cox,VAL000063
va,2010,lower,HB 10,cosponsor,Anne B. Crockett-Stark,VAL000064
va,2010,lower,HB 10,cosponsor,"James E. Edmunds, II",VAL000067
va,2010,lower,HB 10,cosponsor,T. Scott Garrett,VAL000070
va,2010,lower,HB 10,cosponsor,Thomas D. Gear,VAL000071
va,2010,lower,HB 10,cosponsor,C. Todd Gilbert,VAL000072
va,2010,lower,HB 10,cosponsor,Thomas A. Greason,VAL000074
va,2010,lower,HB 10,cosponsor,William J. Howell,VAL000079
va,2010,lower,HB 10,cosponsor,Timothy D. Hugo,VAL000080
va,2010,lower,HB 10,cosponsor,Salvatore R. Iaquinto,VAL000081
va,2010,lower,HB 10,cosponsor,Riley E. Ingram,VAL000082
va,2010,lower,HB 10,cosponsor,"Joseph P. Johnson, Jr.",VAL000085
va,2010,lower,HB 10,cosponsor,S. Chris Jones,VAL000086
va,2010,lower,HB 10,cosponsor,Barry D. Knight,VAL000089
va,2010,lower,HB 10,cosponsor,R. Steven Landes,VAL000091
va,2010,lower,HB 10,cosponsor,James M. LeMunyon,VAL000092
va,2010,lower,HB 10,cosponsor,L. Scott Lingamfelter,VAL000094
va,2010,lower,HB 10,cosponsor,Matthew Lohr-Resigned 4/30,
va,2010,lower,HB 10,cosponsor,"Daniel W. Marshall, III",VAL000097
va,2010,lower,HB 10,cosponsor,Joe T. May,VAL000100
va,2010,lower,HB 10,cosponsor,Donald W. Merricks,VAL000103
va,2010,lower,HB 10,cosponsor,Jackson H. Miller,VAL000104
va,2010,lower,HB 10,cosponsor,James W. Morefield,VAL000106
va,2010,lower,HB 10,cosponsor,Harvey B. Morgan,VAL000107
va,2010,lower,HB 10,cosponsor,Sam A. Nixon-Resigned 4/4,
va,2010,lower,HB 10,cosponsor,G. Glenn Oder,VAL000112
va,2010,lower,HB 10,cosponsor,Christopher K. Peace,VAL000114
va,2010,lower,HB 10,cosponsor,Brenda L. Pogge,VAL000117
va,2010,lower,HB 10,cosponsor,Charles D. Poindexter,VAL000118
va,2010,lower,HB 10,cosponsor,Thomas Davis Rust,VAL000123
va,2010,lower,HB 10,cosponsor,Edward T. Scott,VAL000124
va,2010,lower,HB 10,cosponsor,Beverly J. Sherwood,VAL000126
va,2010,lower,HB 10,cosponsor,Robert Tata,VAL000132
va,2010,lower,HB 10,cosponsor,Ronald A. Villanueva,VAL000136
va,2010,lower,HB 10,cosponsor,"R. Lee Ware, Jr.",VAL000139
va,2010,lower,HB 10,cosponsor,"Thomas C. Wright, Jr.",VAL000142
va,2010,lower,HB 10,cosponsor,Charles J. Colgan,VAL000003
va,2010,lower,HB 10,cosponsor,Robert Hurt,VAL000010
va,2010,lower,HB 10,cosponsor,Stephen H. Martin,VAL000015
va,2010,lower,HB 10,cosponsor,Stephen D. Newman,VAL000021
va,2010,lower,HB 10,cosponsor,Mark D. Obenshain,VAL000024
va,2010,lower,HB 10,cosponsor,"Frank M. Ruff, Jr.",VAL000030
va,2010,lower,HB 10,cosponsor,Richard H. Stuart,VAL000034
va,2010,lower,HB 10,cosponsor,Jill Holtzman Vogel,VAL000036
va,2010,lower,HB 10,cosponsor,Frank W. Wagner,VAL000037
va,2010,lower,HB 100,primary,G. Manoli Loupassi,VAL000096
va,2010,lower,HB 100,cosponsor,Stephen H. Martin,VAL000015
va,2010,lower,HB 1000,primary,David A. Nutter,VAL000110
va,2010,lower,HB 1001,primary,David A. Nutter,VAL000110
va,2010,lower,HB 1002,primary,David A. Nutter,VAL000110
va,2010,lower,HB 1002,cosponsor,James M. Shuler,VAL000127
va,2010,lower,HB 1003,primary,David A. Nutter,VAL000110
va,2010,lower,HB 1004,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1004,cosponsor,David B. Albo,VAL000043
va,2010,lower,HB 1004,cosponsor,Jill Holtzman Vogel,VAL000036
va,2010,lower,HB 1005,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1006,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1006,cosponsor,"Watkins M. Abbitt, Jr.",VAL000041
va,2010,lower,HB 1006,cosponsor,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1006,cosponsor,Robert G. Marshall,VAL000098
va,2010,lower,HB 1007,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1008,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1009,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 101,primary,G. Manoli Loupassi,VAL000096
va,2010,lower,HB 101,cosponsor,Stephen H. Martin,VAL000015
va,2010,lower,HB 1010,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1011,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1011,cosponsor,Robert Tata,VAL000132
va,2010,lower,HB 1012,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1012,cosponsor,Mark L. Cole,VAL000059
va,2010,lower,HB 1012,cosponsor,S. Chris Jones,VAL000086
va,2010,lower,HB 1013,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1013,cosponsor,James W. Morefield,VAL000106
va,2010,lower,HB 1014,primary,"Clifford L. Athey, Jr.",VAL000047
va,2010,lower,HB 1015,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1016,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1017,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1018,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1019,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 102,primary,G. Manoli Loupassi,VAL000096
va,2010,lower,HB 1020,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1021,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1022,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1022,cosponsor,Ronald A. Villanueva,VAL000136
va,2010,lower,HB 1023,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1023,cosponsor,Charniele L. Herring,VAL000076
va,2010,lower,HB 1024,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1025,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1026,primary,Timothy D. Hugo,VAL000080
va,2010,lower,HB 1026,cosponsor,James M. LeMunyon,VAL000092
va,2010,lower,HB 1027,primary,"Albert C. Pollard, Jr.",VAL000119
va,2010,lower,HB 1027,cosponsor,J. Chapman Petersen,VAL000025
va,2010,lower,HB 1027,cosponsor,Richard H. Stuart,VAL000034
va,2010,lower,HB 1028,primary,"Albert C. Pollard, Jr.",VAL000119
va,2010,lower,HB 1028,cosponsor,Richard H. Stuart,VAL000034
va,2010,lower,HB 1029,primary,"Albert C. Pollard, Jr.",VAL000119
va,2010,lower,HB 1029,cosponsor,Christopher K. Peace,VAL000114
va,2010,lower,HB 103,primary,G. Manoli Loupassi,VAL000096
va,2010,lower,HB 103,cosponsor,David B. Albo,VAL000043
va,2010,lower,HB 1030,primary,"Albert C. Pollard, Jr.",VAL000119
va,2010,lower,HB 1030,cosponsor,Richard H. Stuart,VAL000034
va,2010,lower,HB 1031,primary,"Albert C. Pollard, Jr.",VAL000119
va,2010,lower,HB 1032,primary,"Albert C. Pollard, Jr.",VAL000119
va,2010,lower,HB 1033,primary,Kathy J. Byron,VAL000054
va,2010,lower,HB 1033,cosponsor,Benjamin L. Cline,VAL000058
va,2010,lower,HB 1033,cosponsor,Mark L. Cole,VAL000059
va,2010,lower,HB 1033,cosponsor,T. Scott Garrett,VAL000070
va,2010,lower,HB 1033,cosponsor,Thomas A. Greason,VAL000074
va,2010,lower,HB 1033,cosponsor,Timothy D. Hugo,VAL000080
