state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
va,2011,upper,SB 963,VAV00018222,upper,Reconsideration of passage agreed to by Senate ,2011-01-20 00:00:00,other,38,0,0
va,2011,upper,SB 1446,VAV00018716,lower,House concurred in Governor's recommendation Amendment #3 ,2011-04-06 00:00:00,other,58,40,0
va,2013,lower,HB 1568,VAV00031764,lower,Subcommittee recommends no action ,2013-01-31 00:00:00,other,8,0,0
va,2013,lower,HB 2168,VAV00031836,lower,Subcommittee recommends no action ,2013-01-31 00:00:00,other,8,0,0
va,2013,upper,SB 687,VAV00030727,upper,Passed by indefinitely in General Laws and Technology ,2013-01-28 00:00:00,other,15,0,0
va,2013,upper,SB 688,VAV00029604,upper,Reported from Local Government with amendment ,2013-01-22 00:00:00,other,15,0,0
va,2013,upper,SB 689,VAV00030729,upper,Passed by indefinitely in General Laws and Technology ,2013-01-28 00:00:00,other,15,0,0
va,2013,upper,SB 690,VAV00029605,upper,Reported from Privileges and Elections ,2013-01-22 00:00:00,other,10,5,0
va,2013,upper,SB 695,VAV00030731,upper,Passed by indefinitely in General Laws and Technology ,2013-01-28 00:00:00,other,15,0,0
va,2013,upper,SB 696,VAV00030732,upper,Passed by indefinitely in General Laws and Technology ,2013-01-28 00:00:00,other,15,0,0
va,2013,upper,SB 701,VAV00029606,upper,Reported from General Laws and Technology with amendments ,2013-01-21 00:00:00,other,8,7,0
va,2013,upper,SB 701,VAV00030439,upper,Read third time and passed Senate ,2013-01-25 00:00:00,other,24,16,0
va,2013,upper,SB 703,VAV00028669,upper,Reported from Courts of Justice ,2013-01-14 00:00:00,other,15,0,0
va,2013,upper,SB 703,VAV00028760,upper,Constitutional reading dispensed ,2013-01-15 00:00:00,other,40,0,0
va,2013,upper,SB 706,VAV00031886,upper,Bills placed in block ,2013-02-01 00:00:00,other,39,0,0
va,2013,upper,SB 706,VAV00031887,upper,Read third time and passed Senate ,2013-02-01 00:00:00,other,39,0,0
va,2013,upper,SB 707,VAV00028670,upper,Reported from Courts of Justice ,2013-01-14 00:00:00,other,15,0,0
va,2013,upper,SB 707,VAV00028761,upper,Constitutional reading dispensed ,2013-01-15 00:00:00,other,40,0,0
va,2013,upper,SB 708,VAV00030440,upper,Stricken at request of Patron in Rehabilitation and Social Services ,2013-01-25 00:00:00,other,15,0,0
va,2013,upper,SB 709,VAV00030736,upper,Read third time and passed Senate ,2013-01-29 00:00:00,other,40,0,0
va,2013,upper,SB 709,VAV00032967,lower,"Reported from Health, Welfare and Institutions ",2013-02-07 00:00:00,other,22,0,0
va,2013,upper,SB 713,VAV00031337,upper,Incorporated by Transportation (SB1305-Wagner) ,2013-01-30 00:00:00,other,15,0,0
va,2013,upper,SB 715,VAV00030741,upper,Read third time and passed Senate ,2013-01-29 00:00:00,other,40,0,0
va,2013,upper,SB 716,VAV00031338,upper,Incorporated by Transportation (SB1305-Wagner) ,2013-01-30 00:00:00,other,15,0,0
va,2013,upper,SB 718,VAV00028762,upper,Constitutional reading dispensed ,2013-01-15 00:00:00,other,40,0,0
va,2013,upper,SB 721,VAV00031340,upper,Constitutional reading dispensed ,2013-01-30 00:00:00,other,40,0,0
va,2013,upper,SB 724,VAV00029408,upper,Read third time and passed Senate ,2013-01-21 00:00:00,other,28,9,0
