leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
VAL000068,member,2009-2011,45,lower,va,Democratic,,,,,
VAL000068,committee member,2009-2011,,lower,va,,VAC000006,"Agriculture, Chesapeake and Natural Resources",,,
VAL000068,committee member,2009-2011,,lower,va,,VAC000014,Finance,,,
VAL000068,committee member,2009-2011,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000068,member,2012-2013,45,lower,va,Democratic,,,,,2012-08-31 00:00:00
VAL000068,committee member,2012-2013,,lower,va,,VAC000006,"Agriculture, Chesapeake and Natural Resources",,,
VAL000068,committee member,2012-2013,,lower,va,,VAC000014,Finance,,,
VAL000068,committee member,2012-2013,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000020,member,2009-2011,5,upper,va,Democratic,,,,,
VAL000020,committee member,2009-2011,,upper,va,,VAC000016,Commerce and Labor,,,
VAL000020,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000020,committee member,2009-2011,,upper,va,,VAC000023,Rehabilitation and Social Services,,,
VAL000020,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000020,committee member,2009-2011,,upper,va,,VAC000018,Transportation,,,
VAL000020,member,2012-2013,5,upper,va,Democratic,,,,,2012-07-03 00:00:00
VAL000020,committee member,2012-2013,,upper,va,,VAC000016,Commerce and Labor,,,
VAL000020,committee member,2012-2013,,upper,va,,VAC000017,Finance,,,
VAL000020,committee member,2012-2013,,upper,va,,VAC000023,Rehabilitation and Social Services,,,
VAL000020,committee member,2012-2013,,upper,va,,VAC000018,Transportation,,,
VAL000008,member,2009-2011,17,upper,va,Democratic,,,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000020,Education and Health,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000018,Transportation,,,
VAL000010,member,2009-2011,19,upper,va,Republican,,,,,
VAL000010,committee member,2009-2011,,upper,va,,VAC000019,Courts of Justice,,,
VAL000010,committee member,2009-2011,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000010,committee member,2009-2011,,upper,va,,VAC000023,Rehabilitation and Social Services,,,
VAL000028,member,2009-2011,13,upper,va,Republican,,,,,
VAL000028,committee member,2009-2011,,upper,va,,VAC000019,Courts of Justice,,,
VAL000028,committee member,2009-2011,,upper,va,,VAC000020,Education and Health,,,
VAL000028,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000028,committee member,2009-2011,,upper,va,,VAC000021,Local Government,,,
VAL000028,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000029,member,2009-2011,20,upper,va,Democratic,,,,,
VAL000029,committee member,2009-2011,,upper,va,,VAC000015,"Agriculture, Conservation and Natural Resources",,,
VAL000029,committee member,2009-2011,,upper,va,,VAC000019,Courts of Justice,,,
VAL000029,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000029,committee member,2009-2011,,upper,va,,VAC000021,Local Government,,,
VAL000035,member,2009-2011,30,upper,va,Democratic,,,,,
VAL000035,committee member,2009-2011,,upper,va,,VAC000015,"Agriculture, Conservation and Natural Resources",,,
VAL000035,committee member,2009-2011,,upper,va,,VAC000021,Local Government,,,
VAL000035,committee member,2009-2011,,upper,va,,VAC000023,Rehabilitation and Social Services,,,
VAL000035,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000035,committee member,2009-2011,,upper,va,,VAC000018,Transportation,,,
VAL000038,member,2009-2011,40,upper,va,Republican,,,,,
VAL000038,committee member,2009-2011,,upper,va,,VAC000016,Commerce and Labor,,,
VAL000038,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000038,committee member,2009-2011,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000038,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000040,member,2009-2011,31,upper,va,Democratic,,,,,
VAL000040,committee member,2009-2011,,upper,va,,VAC000015,"Agriculture, Conservation and Natural Resources",,,
VAL000040,committee member,2009-2011,,upper,va,,VAC000020,Education and Health,,,
VAL000040,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000040,committee member,2009-2011,,upper,va,,VAC000024,Privileges and Elections,,,
VAL000040,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000041,member,2009-2011,59,lower,va,Independent,,,,,
VAL000041,committee member,2009-2011,,lower,va,,VAC000001,Appropriations,,,
VAL000041,committee member,2009-2011,,lower,va,,VAC000004,General Laws,,,
VAL000041,committee member,2009-2011,,lower,va,,VAC000005,Rules,,,
VAL000042,member,2009-2011,93,lower,va,Democratic,,,,,
VAL000042,committee member,2009-2011,,lower,va,,VAC000014,Finance,,,
VAL000042,committee member,2009-2011,,lower,va,,VAC000010,Science and Technology,,,
VAL000046,member,2009-2011,10,lower,va,Democratic,,,,,
VAL000046,committee member,2009-2011,,lower,va,,VAC000011,Courts of Justice,,,
VAL000046,committee member,2009-2011,,lower,va,,VAC000014,Finance,,,
VAL000046,committee member,2009-2011,,lower,va,,VAC000005,Rules,,,
VAL000047,member,2009-2011,18,lower,va,Republican,,,,,
VAL000047,committee member,2009-2011,,lower,va,,VAC000011,Courts of Justice,,,
VAL000047,committee member,2009-2011,,lower,va,,VAC000013,Education,,,
VAL000047,committee member,2009-2011,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000047,committee member,2009-2011,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000049,member,2009-2011,64,lower,va,Democratic,,,,,
VAL000049,committee member,2009-2011,,lower,va,,VAC000011,Courts of Justice,,,
VAL000049,committee member,2009-2011,,lower,va,,VAC000004,General Laws,,,
VAL000049,committee member,2009-2011,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000057,member,2009-2011,17,lower,va,Republican,,,,,
VAL000057,committee member,2009-2011,,lower,va,,VAC000011,Courts of Justice,,,
VAL000057,committee member,2009-2011,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000057,committee member,2009-2011,,lower,va,,VAC000012,Transportation,,,
VAL000071,member,2009-2011,91,lower,va,Republican,,,,,
VAL000071,committee member,2009-2011,,lower,va,,VAC000013,Education,,,
VAL000071,committee member,2009-2011,,lower,va,,VAC000014,Finance,,,
VAL000071,committee member,2009-2011,,lower,va,,VAC000004,General Laws,,,
VAL000071,committee member,2009-2011,,lower,va,,VAC000012,Transportation,,,
VAL000075,member,2009-2011,8,lower,va,Republican,,,,,
VAL000075,committee member,2009-2011,,lower,va,,VAC000011,Courts of Justice,,,
VAL000075,committee member,2009-2011,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000075,committee member,2009-2011,,lower,va,,VAC000005,Rules,,,
VAL000083,member,2009-2011,56,lower,va,Republican,,,,,
VAL000083,committee member,2009-2011,,lower,va,,VAC000007,Commerce and Labor,,,
VAL000083,committee member,2009-2011,,lower,va,,VAC000011,Courts of Justice,,,
VAL000083,committee member,2009-2011,,lower,va,,VAC000003,Privileges and Elections,,,
VAL000083,committee member,2009-2011,,lower,va,,VAC000005,Rules,,,
VAL000095,member,2009-2011,26,lower,va,Republican,,,,,
VAL000095,committee member,2009-2011,,lower,va,,VAC000006,"Agriculture, Chesapeake and Natural Resources",,,
VAL000095,committee member,2009-2011,,lower,va,,VAC000008,"Counties, Cities and Towns",,,
VAL000095,committee member,2009-2011,,lower,va,,VAC000014,Finance,,,
VAL000105,member,2009-2011,87,lower,va,Democratic,,,,,
VAL000105,committee member,2009-2011,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000105,committee member,2009-2011,,lower,va,,VAC000010,Science and Technology,,,
VAL000107,member,2009-2011,98,lower,va,Republican,,,,,
VAL000107,committee member,2009-2011,,lower,va,,VAC000006,"Agriculture, Chesapeake and Natural Resources",,,
VAL000107,committee member,2009-2011,,lower,va,,VAC000001,Appropriations,,,
VAL000107,committee member,2009-2011,,lower,va,,VAC000007,Commerce and Labor,,,
VAL000109,member,2009-2011,27,lower,va,Republican,,,,,
VAL000109,committee member,2009-2011,,lower,va,,VAC000007,Commerce and Labor,,,
VAL000109,committee member,2009-2011,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000109,committee member,2009-2011,,lower,va,,VAC000010,Science and Technology,,,
VAL000110,member,2009-2011,7,lower,va,Republican,,,,,
VAL000110,committee member,2009-2011,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000110,committee member,2009-2011,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000110,committee member,2009-2011,,lower,va,,VAC000010,Science and Technology,,,
VAL000112,member,2009-2011,94,lower,va,Republican,,,,,
VAL000112,committee member,2009-2011,,lower,va,,VAC000008,"Counties, Cities and Towns",,,
VAL000112,committee member,2009-2011,,lower,va,,VAC000004,General Laws,,,
VAL000112,committee member,2009-2011,,lower,va,,VAC000012,Transportation,,,
VAL000115,member,2009-2011,2,lower,va,Democratic,,,,,
VAL000115,committee member,2009-2011,,lower,va,,VAC000001,Appropriations,,,
VAL000115,committee member,2009-2011,,lower,va,,VAC000004,General Laws,,,
VAL000115,committee member,2009-2011,,lower,va,,VAC000003,Privileges and Elections,,,
VAL000119,member,2009-2011,99,lower,va,Democratic,,,,,
VAL000119,committee member,2009-2011,,lower,va,,VAC000008,"Counties, Cities and Towns",,,
VAL000119,committee member,2009-2011,,lower,va,,VAC000014,Finance,,,
VAL000127,member,2009-2011,12,lower,va,Democratic,,,,,
VAL000127,committee member,2009-2011,,lower,va,,VAC000006,"Agriculture, Chesapeake and Natural Resources",,,
VAL000127,committee member,2009-2011,,lower,va,,VAC000013,Education,,,
VAL000127,committee member,2009-2011,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000165,member,2012-2013,87,lower,va,Republican,,,,,
VAL000165,committee member,2012-2013,,lower,va,,VAC000003,Privileges and Elections,,,
VAL000165,committee member,2012-2013,,lower,va,,VAC000010,Science and Technology,,,
VAL000175,member,2012-2013,89,lower,va,Democratic,,,,,
VAL000175,committee member,2012-2013,,lower,va,,VAC000013,Education,,,
VAL000175,committee member,2012-2013,,lower,va,,VAC000003,Privileges and Elections,,,
VAL000079,member,2012-2013,28,lower,va,Republican,,,,,
VAL000079,committee member,2012-2013,,lower,va,,VAC000005,Rules,,,
VAL000079,member,2009-2011,28,lower,va,Republican,,,,,
VAL000079,committee member,2009-2011,,lower,va,,VAC000005,Rules,,,
VAL000156,member,2012-2013,2,lower,va,Republican,,,,,
VAL000156,committee member,2012-2013,,lower,va,,VAC000013,Education,,,
VAL000156,committee member,2012-2013,,lower,va,,VAC000010,Science and Technology,,,
VAL000156,committee member,2012-2013,,lower,va,,VAC000012,Transportation,,,
VAL000157,member,2012-2013,59,lower,va,Republican,,,,,
VAL000157,committee member,2012-2013,,lower,va,,VAC000006,"Agriculture, Chesapeake and Natural Resources",,,
VAL000157,committee member,2012-2013,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000158,member,2012-2013,56,lower,va,Republican,,,,,
VAL000158,committee member,2012-2013,,lower,va,,VAC000011,Courts of Justice,,,
VAL000158,committee member,2012-2013,,lower,va,,VAC000004,General Laws,,,
VAL000159,member,2012-2013,17,lower,va,Republican,,,,,
VAL000159,committee member,2012-2013,,lower,va,,VAC000014,Finance,,,
VAL000159,committee member,2012-2013,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000160,member,2012-2013,98,lower,va,Republican,,,,,
VAL000160,committee member,2012-2013,,lower,va,,VAC000008,"Counties, Cities and Towns",,,
VAL000160,committee member,2012-2013,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000164,member,2012-2013,5,lower,va,Republican,,,,,
VAL000164,committee member,2012-2013,,lower,va,,VAC000014,Finance,,,
VAL000164,committee member,2012-2013,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000164,committee member,2012-2013,,lower,va,,VAC000003,Privileges and Elections,,,
VAL000167,member,2012-2013,7,lower,va,Republican,,,,,
VAL000167,committee member,2012-2013,,lower,va,,VAC000004,General Laws,,,
VAL000167,committee member,2012-2013,,lower,va,,VAC000009,"Militia, Police and Public Safety",,,
VAL000138,member,2012-2013,11,lower,va,Democratic,,,,,
VAL000138,committee member,2012-2013,,lower,va,,VAC000001,Appropriations,,,
VAL000138,committee member,2012-2013,,lower,va,,VAC000008,"Counties, Cities and Towns",,,
VAL000138,committee member,2012-2013,,lower,va,,VAC000013,Education,,,
VAL000138,member,2009-2011,11,lower,va,Democratic,,,,,
VAL000138,committee member,2009-2011,,lower,va,,VAC000001,Appropriations,,,
VAL000138,committee member,2009-2011,,lower,va,,VAC000008,"Counties, Cities and Towns",,,
VAL000138,committee member,2009-2011,,lower,va,,VAC000013,Education,,,
VAL000043,member,2012-2013,42,lower,va,Republican,,,,,
VAL000043,committee member,2012-2013,,lower,va,,VAC000011,Courts of Justice,,,
VAL000043,committee member,2012-2013,,lower,va,,VAC000004,General Laws,,,
VAL000043,committee member,2012-2013,,lower,va,,VAC000003,Privileges and Elections,,,
VAL000043,member,2009-2011,42,lower,va,Republican,,,,,
VAL000043,committee member,2009-2011,,lower,va,,VAC000011,Courts of Justice,,,
VAL000043,committee member,2009-2011,,lower,va,,VAC000004,General Laws,,,
VAL000043,committee member,2009-2011,,lower,va,,VAC000003,Privileges and Elections,,,
VAL000045,member,2012-2013,51,lower,va,Republican,,,,,
VAL000045,committee member,2012-2013,,lower,va,,VAC000014,Finance,,,
VAL000045,committee member,2012-2013,,lower,va,,VAC000004,General Laws,,,
VAL000045,committee member,2012-2013,,lower,va,,VAC000010,Science and Technology,,,
VAL000045,committee member,2012-2013,,lower,va,,VAC000012,Transportation,,,
VAL000045,member,2009-2011,51,lower,va,Republican,,,,,
VAL000045,committee member,2009-2011,,lower,va,,VAC000014,Finance,,,
VAL000045,committee member,2009-2011,,lower,va,,VAC000004,General Laws,,,
VAL000045,committee member,2009-2011,,lower,va,,VAC000010,Science and Technology,,,
VAL000048,member,2012-2013,95,lower,va,Democratic,,,,,
VAL000048,committee member,2012-2013,,lower,va,,VAC000001,Appropriations,,,
VAL000048,committee member,2012-2013,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000048,committee member,2012-2013,,lower,va,,VAC000012,Transportation,,,
VAL000048,member,2009-2011,95,lower,va,Democratic,,,,,
VAL000048,committee member,2009-2011,,lower,va,,VAC000001,Appropriations,,,
VAL000048,committee member,2009-2011,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
VAL000048,committee member,2009-2011,,lower,va,,VAC000012,Transportation,,,
VAL000050,member,2012-2013,20,lower,va,Republican,,,,,
VAL000050,committee member,2012-2013,,lower,va,,VAC000013,Education,,,
VAL000050,committee member,2012-2013,,lower,va,,VAC000014,Finance,,,
VAL000050,committee member,2012-2013,,lower,va,,VAC000002,"Health, Welfare and Institutions",,,
