state,session,chamber,bill_id,date,action,actor,type
vt,2009-2010,lower,H 1,2009-01-08 00:00:00,Read First Time and Referred to the Committee on Transportation,lower,bill:introduced
vt,2009-2010,lower,H 10,2009-01-09 00:00:00,Read First Time and Referred to the Committee on Government Operations,lower,bill:introduced
vt,2009-2010,lower,H 100,2009-01-29 00:00:00,Read First Time and Referred to the Committee on Health Care,lower,bill:introduced
vt,2009-2010,lower,H 101,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Ways and Means,lower,bill:introduced
vt,2009-2010,lower,H 102,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Commerce and Economic Development,lower,bill:introduced
vt,2009-2010,lower,H 103,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Ways and Means,lower,bill:introduced
vt,2009-2010,lower,H 103,2010-01-29 00:00:00,Rep. Clarkson of Woodstock moved that the bill be committed to the committee on Government Operations which was agreed to.,lower,other
vt,2009-2010,lower,H 104,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Transportation,lower,bill:introduced
vt,2009-2010,lower,H 105,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Human Services,lower,bill:introduced
vt,2009-2010,lower,H 106,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Natural Resources and Energy,lower,bill:introduced
vt,2009-2010,lower,H 107,2009-01-30 00:00:00,"Read First Time and Referred to the Committee on Fish, Wildlife & Water Resources",lower,bill:introduced
vt,2009-2010,lower,H 108,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Government Operations,lower,bill:introduced
vt,2009-2010,lower,H 109,2009-01-30 00:00:00,Read First Time and Referred to the Committee on Commerce and Economic Development,lower,bill:introduced
vt,2009-2010,lower,H 109,2009-02-19 00:00:00,Referred to Committee on Ways and Means per Rule 35(a),lower,other
vt,2009-2010,lower,H 109,2009-02-26 00:00:00,Rep. Dickinson of St. Albans Town reported for the committee on Commerce and Economic Development,lower,other
vt,2009-2010,lower,H 109,2009-02-26 00:00:00,"Rep. Zuckerman of Burlington, recommended for the committee on Ways and Means",lower,other
vt,2009-2010,lower,H 109,2009-02-26 00:00:00,Read Second Time and Report of Committee on Commerce and Economic Development Agreed to and Third Reading Ordered,lower,other
vt,2009-2010,lower,H 109,2009-02-27 00:00:00,Read Third time and Passed,lower,bill:passed
vt,2009-2010,lower,H 109,2009-03-20 00:00:00,In Senate,lower,other
vt,2009-2010,lower,H 109,2009-03-20 00:00:00,Read 1st time & referred to Committee on Agriculture,upper,other
vt,2009-2010,lower,H 11,2009-01-09 00:00:00,Read First Time and Referred to the Committee on Judiciary,lower,bill:introduced
vt,2009-2010,lower,H 11,2009-01-16 00:00:00,Rep. Jewett of Ripton reported for the committee on Judiciary,lower,other
vt,2009-2010,lower,H 11,2009-01-15 00:00:00,"Reported Favorable with Amendment by the Committee on Judiciary, and placed on Calendar for Notice on January 15, 2009",lower,other
vt,2009-2010,lower,H 11,2009-01-16 00:00:00,Read Second Time and Report of Committee on Judiciary Agreed to and Third Reading Ordered,lower,other
vt,2009-2010,lower,H 11,2009-01-20 00:00:00,Read Third time and Passed,lower,bill:passed
vt,2009-2010,lower,H 11,2009-01-22 00:00:00,Read 1st time & referred to Committee on Judiciary,upper,other
vt,2009-2010,lower,H 11,2009-03-17 00:00:00,Second Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-17 00:00:00,Favorable report with proposal of amendment by Committee on Judiciary,upper,committee:passed:favorable
vt,2009-2010,lower,H 11,2009-03-20 00:00:00,New Business/Second Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-20 00:00:00,Favorable report with proposal of amendment by Committee on Judiciary,upper,committee:passed:favorable
vt,2009-2010,lower,H 11,2009-04-01 00:00:00,Unfinished Business/Third Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-23 00:00:00,Unfinished Business/Second Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-23 00:00:00,Favorable report with proposal of amendment by Committee on Judiciary,upper,committee:passed:favorable
vt,2009-2010,lower,H 11,2009-03-24 00:00:00,Unfinished Business/Second Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-24 00:00:00,Favorable report with proposal of amendment by Committee on Judiciary,upper,committee:passed:favorable
vt,2009-2010,lower,H 11,2009-03-24 00:00:00,Read 2nd time,upper,other
vt,2009-2010,lower,H 11,2009-03-24 00:00:00,Reported favorably by Senator Campbell for Committee on Judiciary with proposal of amendment,upper,committee:passed:favorable
vt,2009-2010,lower,H 11,2009-03-24 00:00:00,Proposal of amendment by Committee on Judiciary agreed to,upper,amendment:passed
vt,2009-2010,lower,H 11,2009-03-24 00:00:00,3rd reading ordered,upper,other
vt,2009-2010,lower,H 11,2009-03-25 00:00:00,New Business/Third Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-27 00:00:00,Unfinished Business/Third Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-27 00:00:00,Consideration postponed to next legislative day,upper,other
vt,2009-2010,lower,H 11,2009-03-31 00:00:00,Unfinished Business/Third Reading,upper,other
vt,2009-2010,lower,H 11,2009-03-31 00:00:00,Consideration postponed to next legislative day,upper,other
vt,2009-2010,lower,H 11,2009-04-01 00:00:00,Proposal of amendment to be offered by Senator(s) Campbell,upper,other
vt,2009-2010,lower,H 11,2009-04-01 00:00:00,Proposal of amendment to be offered by Senator(s) McCormack,upper,other
vt,2009-2010,lower,H 11,2009-04-02 00:00:00,Unfinished Business/Third Reading,upper,other
vt,2009-2010,lower,H 11,2009-04-02 00:00:00,"Pending third reading, motion to amend to be offered by Senator(s) Campbell",upper,other
vt,2009-2010,lower,H 11,2009-04-02 00:00:00,"Pending third reading, motion to amend to be offered by Senator(s) McCormack",upper,other
vt,2009-2010,lower,H 11,2009-04-02 00:00:00,Ordered to lie on motion of Senator Campbell,upper,other
vt,2009-2010,lower,H 11,2009-04-10 00:00:00,"Called up by Senator Sears & placed on action calendar for April 14, 2009",upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,New Business/Called up/Third Reading,upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,Proposal of amendment to be offered by Senator Campbell #1,upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,Proposal of amendment to be offered by Senator Campbell #2,upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,Proposal of amendment to be offered by Senator(s) McCormack,upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,"Pending third reading, motion to amend Senate proposal of amendment by Senator Campbell #1 agreed to",upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,"Pending third reading, motion to amend Senate proposal of amendment by Senator Campbell #2 agreed to",upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,"Pending third reading, motion to amend Senate proposal of amendment agreed to on division Illuzzi",upper,other
vt,2009-2010,lower,H 11,2009-04-14 00:00:00,Committed to Committee on Government Operations on motion of Senator Shumlin,upper,committee:referred
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Second Reading,upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Favorable report with proposal of amendment by Committee on Government Operations,upper,committee:passed:favorable
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,"Rules suspended & taken up for immediate consideration, on motion of Senator Shumlin",upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Read 2nd time,upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Reported favorably by Senator White for Committee on Government Operations with proposal of amendment,upper,committee:passed:favorable
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Floor amendment by Senator Illuzzi agreed to,upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Floor amendment by Senator Sears agreed to,upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Floor amendment by Senator Sears agreed to,upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,"Proposal of amendment  by Committee on Government Operations, as amended, agreed to",upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,3rd reading ordered,upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,"Rules suspended & bill placed on all remaining stages of passage, on motion of Senator Shumlin",upper,other
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,Read 3rd time & passed in concurrence with proposal of amendment,upper,bill:passed
vt,2009-2010,lower,H 11,2009-04-17 00:00:00,"Rules suspended & messaged to House forthwith, on motion of Senator Mazza",upper,other
vt,2009-2010,lower,H 11,2009-04-21 00:00:00,Senate Proposal of Amendment not concurred in and Committee of Conference requested upon motion of Rep. Lippert of Hinesburg,lower,other
vt,2009-2010,lower,H 110,2009-02-03 00:00:00,Read First Time and Referred to the Committee on Government Operations,lower,bill:introduced
vt,2009-2010,lower,H 111,2009-02-03 00:00:00,Read First Time and Referred to the Committee on Human Services,lower,bill:introduced
vt,2009-2010,lower,H 112,2009-02-03 00:00:00,Read First Time and Referred to the Committee on Natural Resources and Energy,lower,bill:introduced
vt,2009-2010,lower,H 113,2009-02-03 00:00:00,Read First Time and Referred to the Committee on Natural Resources and Energy,lower,bill:introduced
vt,2009-2010,lower,H 114,2009-02-03 00:00:00,Read First Time and Referred to the Committee on Natural Resources and Energy,lower,bill:introduced
vt,2009-2010,lower,H 115,2009-02-03 00:00:00,"Read First Time and Referred to the Committee on Fish, Wildlife & Water Resources",lower,bill:introduced
vt,2009-2010,lower,H 116,2009-02-03 00:00:00,"Read First Time and Referred to the Committee on Fish, Wildlife & Water Resources",lower,bill:introduced
vt,2009-2010,lower,H 117,2009-02-03 00:00:00,"Read First Time and Referred to the Committee on Fish, Wildlife & Water Resources",lower,bill:introduced
vt,2009-2010,lower,H 118,2009-02-03 00:00:00,"Read First Time and Referred to the Committee on General, Housing and Military Affairs",lower,bill:introduced
vt,2009-2010,lower,H 119,2009-02-03 00:00:00,Read First Time and Referred to the Committee on Government Operations,lower,bill:introduced
vt,2009-2010,lower,H 12,2009-01-13 00:00:00,Committee bill read the first time and placed on Notice Calendar on 1/14/2009,lower,other
vt,2009-2010,lower,H 12,2009-01-14 00:00:00,Committed to Committee on Appropriations by motion of Rep. Hube of Londonderry,lower,committee:referred
vt,2009-2010,lower,H 12,2009-01-15 00:00:00,Committed to Committee on Appropriations by motion of Rep. Hube of Londonderry,lower,committee:referred
vt,2009-2010,lower,H 12,2009-01-22 00:00:00,"Reported Favorable, and placed on Calendar for Notice on 1/29/2009",lower,other
vt,2009-2010,lower,H 12,2009-01-23 00:00:00,Rep. Hube of Londonderry reported for the committee on Ways and Means,lower,other
