vote_id,leg_id,name,vote
VTV00000505,VTL000002,Ayer,yes
VTV00000505,VTL000181,Benning,yes
VTV00000505,VTL000004,Brock,yes
VTV00000505,VTL000005,Campbell,yes
VTV00000505,VTL000006,Carris,yes
VTV00000505,VTL000011,Flory,yes
VTV00000505,VTL000013,Hartwell,yes
VTV00000505,VTL000014,Illuzzi,yes
VTV00000505,VTL000015,Kitchel,yes
VTV00000505,VTL000019,Mazza,yes
VTV00000505,VTL000021,Miller,yes
VTV00000505,VTL000022,Mullin,yes
VTV00000505,VTL000023,Nitka,yes
VTV00000505,VTL000026,Sears,yes
VTV00000505,VTL000028,Snelling,yes
VTV00000505,VTL000001,Ashe,no
VTV00000505,VTL000180,Baruth,no
VTV00000505,VTL000008,Cummings,no
VTV00000505,VTL000009,Doyle,no
VTV00000505,VTL000182,Fox,no
VTV00000505,VTL000183,Galbraith,no
VTV00000505,VTL000012,Giard,no
VTV00000505,VTL000016,Kittell,no
VTV00000505,VTL000017,Lyons,no
VTV00000505,VTL000018,MacDonald,no
VTV00000505,VTL000020,McCormack,no
VTV00000505,VTL000184,Pollina,no
VTV00000505,VTL000029,Starr,no
VTV00000505,VTL000185,Westman,no
VTV00000505,VTL000030,White,no
VTV00000314,VTL000001,Ashe,yes
VTV00000314,VTL000002,Ayer,yes
VTV00000314,VTL000180,Baruth,yes
VTV00000314,VTL000005,Campbell,yes
VTV00000314,VTL000006,Carris,yes
VTV00000314,VTL000008,Cummings,yes
VTV00000314,VTL000182,Fox,yes
VTV00000314,VTL000183,Galbraith,yes
VTV00000314,VTL000012,Giard,yes
VTV00000314,VTL000013,Hartwell,yes
VTV00000314,VTL000015,Kitchel,yes
VTV00000314,VTL000016,Kittell,yes
VTV00000314,VTL000017,Lyons,yes
VTV00000314,VTL000018,MacDonald,yes
VTV00000314,VTL000020,McCormack,yes
VTV00000314,VTL000021,Miller,yes
VTV00000314,VTL000022,Mullin,yes
VTV00000314,VTL000023,Nitka,yes
VTV00000314,VTL000184,Pollina,yes
VTV00000314,VTL000026,Sears,yes
VTV00000314,VTL000030,White,yes
VTV00000314,VTL000181,Benning,no
VTV00000314,VTL000004,Brock,no
VTV00000314,VTL000009,Doyle,no
VTV00000314,VTL000011,Flory,no
VTV00000314,VTL000014,Illuzzi,no
VTV00000314,VTL000019,Mazza,no
VTV00000314,VTL000028,Snelling,no
VTV00000314,VTL000029,Starr,no
VTV00000314,VTL000185,Westman,no
VTV00000510,VTL000001,Ashe,yes
VTV00000510,VTL000002,Ayer,yes
VTV00000510,VTL000180,Baruth,yes
VTV00000510,VTL000043,Bray,yes
VTV00000510,VTL000005,Campbell,yes
VTV00000510,VTL000217,Collins,yes
VTV00000510,VTL000008,Cummings,yes
VTV00000510,VTL000009,Doyle,yes
VTV00000510,VTL000182,Fox,yes
VTV00000510,VTL000072,French of Shrewsbury,yes
VTV00000510,VTL000183,Galbraith,yes
VTV00000510,VTL000013,Hartwell,yes
VTV00000510,VTL000015,Kitchel,yes
VTV00000510,VTL000018,MacDonald,yes
VTV00000510,VTL000019,Mazza,yes
VTV00000510,VTL000020,McCormack,yes
VTV00000510,VTL000022,Mullin,yes
VTV00000510,VTL000023,Nitka,yes
VTV00000510,VTL000184,Pollina,yes
VTV00000510,VTL000151,Rodgers,yes
VTV00000510,VTL000026,Sears,yes
VTV00000510,VTL000028,Snelling,yes
VTV00000510,VTL000029,Starr,yes
VTV00000510,VTL000185,Westman,yes
VTV00000510,VTL000030,White,yes
VTV00000510,VTL000179,Zuckerman,yes
VTV00000510,VTL000181,Benning,no
VTV00000510,VTL000011,Flory,no
VTV00000510,VTL000118,McAllister,no
VTV00000510,VTL000017,Lyons,other
VTV00000001,VTL000031,Acinapura,yes
VTV00000001,VTL000032,Adams,yes
VTV00000001,VTL000033,Ainsworth,yes
VTV00000001,VTL000034,Ancel,yes
VTV00000001,VTL000035,Andrews,yes
VTV00000001,VTL000036,Aswad,yes
VTV00000001,VTL000037,Atkins,yes
VTV00000001,VTL000038,Baker,yes
VTV00000001,VTL000039,Bissonnette,yes
VTV00000001,VTL000040,Bohi,yes
VTV00000001,VTL000041,Botzow,yes
VTV00000001,VTL000042,Branagan,yes
VTV00000001,VTL000043,Bray,yes
VTV00000001,VTL000044,Brennan,yes
VTV00000001,VTL000045,Browning,yes
VTV00000001,VTL000046,Burke,yes
VTV00000001,VTL000047,Canfield,yes
VTV00000001,VTL000050,Clarkson,yes
VTV00000001,VTL000051,Clerkin,yes
VTV00000001,VTL000052,Condon,yes
VTV00000001,VTL000053,Conquest,yes
VTV00000001,VTL000054,Consejo,yes
VTV00000001,VTL000055,Copeland-Hanzas,yes
VTV00000001,VTL000056,Corcoran,yes
VTV00000001,VTL000057,Courcelle,yes
VTV00000001,VTL000058,Crawford,yes
VTV00000001,VTL000059,Davis,yes
VTV00000001,VTL000060,Deen,yes
VTV00000001,VTL000061,Devereux,yes
VTV00000001,VTL000062,Dickinson,yes
VTV00000001,VTL000063,Donaghy,yes
VTV00000001,VTL000064,Donahue,yes
VTV00000001,VTL000065,Donovan,yes
VTV00000001,VTL000067,Emmons,yes
VTV00000001,VTL000068,Evans,yes
VTV00000001,VTL000069,Fagan,yes
VTV00000001,VTL000070,Fisher,yes
VTV00000001,VTL000011,Flory,yes
VTV00000001,VTL000071,Frank,yes
VTV00000001,,French,yes
VTV00000001,,French,yes
VTV00000001,VTL000074,Geier,yes
VTV00000001,VTL000075,Gilbert,yes
VTV00000001,VTL000077,Greshin,yes
VTV00000001,VTL000078,Haas,yes
VTV00000001,VTL000079,Head,yes
VTV00000001,VTL000080,Heath,yes
VTV00000001,VTL000081,Helm,yes
VTV00000001,VTL000082,Higley,yes
