state,session,chamber,bill_id,type,name,leg_id
vt,2009-2010,lower,H 1,primary,"Donahue, Anne B.",VTL000064
vt,2009-2010,lower,H 1,primary,"Pugh, Ann",VTL000148
vt,2009-2010,lower,H 10,primary,"Jewett, Willem",VTL000089
vt,2009-2010,lower,H 100,primary,"Obuchowski, Michael J.",VTL000137
vt,2009-2010,lower,H 100,primary,"Botzow, Bill",VTL000041
vt,2009-2010,lower,H 100,primary,"Clarkson, Alison H.",VTL000050
vt,2009-2010,lower,H 100,primary,"Deen, David L.",VTL000060
vt,2009-2010,lower,H 100,primary,"Fisher, Michael",VTL000070
vt,2009-2010,lower,H 100,primary,"French, Patsy",VTL000073
vt,2009-2010,lower,H 100,primary,"Hooper, Mary S.",VTL000083
vt,2009-2010,lower,H 100,primary,"Lippert, William J.",VTL000107
vt,2009-2010,lower,H 100,primary,"Macaig, Terry",VTL000109
vt,2009-2010,lower,H 100,primary,"Mrowicki, Michael",VTL000131
vt,2009-2010,lower,H 100,primary,"Nuovo, Betty A.",VTL000134
vt,2009-2010,lower,H 100,primary,"Partridge, Carolyn W.",VTL000140
vt,2009-2010,lower,H 100,primary,"Poirier, Paul N.",VTL000146
vt,2009-2010,lower,H 100,primary,"Shand, Ernie",VTL000154
vt,2009-2010,lower,H 100,primary,"Sharpe, Dave",VTL000155
vt,2009-2010,lower,H 100,primary,"Trombley, Ira",
vt,2009-2010,lower,H 100,primary,"Zenie, John",VTL000178
vt,2009-2010,lower,H 100,primary,"Zuckerman, David",VTL000179
vt,2009-2010,lower,H 101,primary,"Morrissey, Mary A.",VTL000130
vt,2009-2010,lower,H 101,primary,"Corcoran, Timothy R.",VTL000056
vt,2009-2010,lower,H 101,primary,"Jerman, Tim",VTL000088
vt,2009-2010,lower,H 101,primary,"Komline, Patti",VTL000097
vt,2009-2010,lower,H 101,primary,"Krawczyk, Joseph L.",VTL000098
vt,2009-2010,lower,H 102,primary,"Heath, Martha",VTL000080
vt,2009-2010,lower,H 103,primary,"Atkins, Kenneth W.",VTL000037
vt,2009-2010,lower,H 103,primary,"Adams, Steve",VTL000032
vt,2009-2010,lower,H 103,primary,"Aswad, William N.",VTL000036
vt,2009-2010,lower,H 103,primary,"Audette, Albert ""Sonny"" C.",
vt,2009-2010,lower,H 103,primary,"Baker, Joseph",VTL000038
