state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
vt,2011-2012,lower,H 781,VTV00000505,upper,Shall the Senate substitute the amendment of Senator Snelling for the Proposal of amendment of Senator McCormack to the report of the Committee on Appropriation?,2012-04-26 00:00:00,other,16,15,0
vt,2011-2012,lower,H 202,VTV00000314,upper,Shall the Senate accept and adopt the report of the Committee of Conference?,2011-05-03 00:00:00,other,21,9,0
vt,2013-2014,upper,S 14,VTV00000510,upper,"Shall the bill be amended as recommended by the Committee on Economic Development, Housing and General Affairs?",2013-02-01 00:00:00,other,26,3,1
vt,2009-2010,lower,H 12,VTV00000001,lower,Shall the bill be read a third time?,2009-01-23 00:00:00,,136,0,13
vt,2009-2010,lower,H 12,VTV00000002,upper,Shall the Senate propose to the House that the bill be amended as recommended by the Committee on Finance?,2009-05-09 00:00:00,,23,0,7
vt,2009-2010,lower,H 12,VTV00000003,lower,Shall the rules be suspended to take up the bill for immediate consideration pending its enterance on the Notice Calander?,2009-05-09 00:00:00,,133,2,14
vt,2009-2010,lower,H 125,VTV00000004,lower,Shall the bill be amended as offered by the Committee on Agriculture?,2009-04-30 00:00:00,,96,40,13
vt,2009-2010,lower,H 125,VTV00000005,lower,Shall the bill be amended as offered by Rep. Branagan of Georgia and Dickinson of St. Albans Town?,2009-05-01 00:00:00,,53,73,23
vt,2009-2010,lower,H 125,VTV00000006,lower,Shall the bill be amended as offered by Rep. Savage of Swanton?,2009-05-01 00:00:00,,56,67,26
vt,2009-2010,lower,H 125,VTV00000007,upper,Shall the bill be read the third time?,2009-05-07 00:00:00,,19,2,9
vt,2009-2010,lower,H 125,VTV00000008,upper,Shall the bill pass in concurrence with proposals of amendment?,2009-05-07 00:00:00,,22,3,5
vt,2009-2010,lower,H 125,VTV00000009,lower,Shall the House concur with the Senate proposal of amendment?,2009-05-08 00:00:00,,102,38,9
vt,2009-2010,lower,H 145,VTV00000010,lower,Shall the bill be amended as offered by Rep. Scheuermann of Stowe?,2009-03-19 00:00:00,,36,98,15
vt,2009-2010,lower,H 147,VTV00000011,lower,Shall the bill pass?,2009-04-15 00:00:00,,104,40,5
