leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
VTL000006,member,2009-2010,Rutland,upper,vt,Democratic,,,,,
VTL000006,member,2013-2014,Rutland,upper,vt,Democratic,,,,,2012-12-17 00:00:00
VTL000006,member,2011-2012,Rutland,upper,vt,Democratic,,,,,
VTL000006,committee member,2011-2012,,upper,vt,,VTC000003,"Economic Development, Housing And General Affairs",,,
VTL000006,committee member,2011-2012,,upper,vt,,VTC000005,Finance,,,
VTL000006,committee member,2011-2012,,upper,vt,,VTC000008,Institutions,,,
VTL000006,committee member,2011-2012,,upper,vt,,VTC000012,Senate Rules Committee,,,
VTL000122,member,2009-2010,Rutland-4,lower,vt,Republican,,,,,
VTL000122,member,2011-2012,Rutland-4,lower,vt,Republican/Democratic,,,,,
VTL000122,committee member,2011-2012,,lower,vt,,VTC000013,Agriculture,,,
VTL000138,member,2009-2010,Windham-Bennington-Windsor-1,lower,vt,Republican,,,,,
VTL000138,member,2011-2012,Windham-Bennington-Windsor-1,lower,vt,Republican,,,,,
VTL000138,committee member,2011-2012,,lower,vt,,VTC000026,Ways And Means,,,
VTL000177,member,2009-2010,Franklin-3,lower,vt,Democratic,,,,,
VTL000200,member,2011-2012,Chittenden-3-9,lower,vt,Democratic,,,,,
VTL000200,committee member,2011-2012,,lower,vt,,VTC000018,"Fish, Wildlife And Water Resources",,,
VTL000003,member,2009-2010,Lamoille,upper,vt,Democratic,,,,,
VTL000007,member,2009-2010,Caledonia,upper,vt,Democratic,,,,,
VTL000010,member,2009-2010,Chittenden,upper,vt,Democratic,,,,,
VTL000024,member,2009-2010,Chittenden,upper,vt,Democratic,,,,,
VTL000025,member,2009-2010,Washington,upper,vt,Republican,,,,,
VTL000027,member,2009-2010,Windham,upper,vt,Democratic,,,,,
VTL000032,member,2009-2010,Windsor-4,lower,vt,Republican,,,,,
VTL000033,member,2009-2010,Windsor-Orange-1,lower,vt,Republican,,,,,
VTL000038,member,2009-2010,Rutland-1-2,lower,vt,Republican,,,,,
VTL000051,member,2009-2010,Windsor-6-2,lower,vt,Republican,,,,,
VTL000074,member,2009-2010,Chittenden-3-7,lower,vt,Democratic,,,,,
VTL000085,member,2009-2010,Rutland-5-3,lower,vt,Democratic,,,,,
VTL000098,member,2009-2010,Bennington-2-1,lower,vt,Republican,,,,,
VTL000102,member,2009-2010,Chittenden-3-2,lower,vt,Democratic,,,,,
VTL000102,member,2011-2012,Chittenden-3-2,lower,vt,Democratic,,,,,2011-08-17 00:00:00
VTL000110,member,2009-2010,Addison-1,lower,vt,Democratic,,,,,
VTL000120,member,2009-2010,Washington-3-3,lower,vt,Republican,,,,,
VTL000123,member,2009-2010,Windham-3-1,lower,vt,Democratic,,,,,
VTL000125,member,2009-2010,Washington-Chittenden-1,lower,vt,Democratic,,,,,
VTL000126,member,2009-2010,Windsor-6-1,lower,vt,Democratic,,,,,
VTL000126,member,2011-2012,Windsor-6-1,lower,vt,Democratic,,,,,2011-05-06 00:00:00
VTL000126,committee member,2011-2012,,lower,vt,,VTC000024,Natural Resources And Energy,,,
VTL000129,member,2009-2010,Orleans-Caledonia-1,lower,vt,Republican,,,,,
VTL000133,member,2009-2010,Lamoille-3,lower,vt,Democratic,,,,,
VTL000133,member,2011-2012,Lamoille-3,lower,vt,Democratic,,,,,2011-01-13 00:00:00
VTL000136,member,2009-2010,Windham-1,lower,vt,Republican,,,,,
VTL000137,member,2009-2010,Windham-4,lower,vt,Democratic,,,,,
VTL000137,member,2011-2012,Windham-4,lower,vt,Democratic,,,,,2011-01-10 00:00:00
VTL000139,member,2009-2010,Chittenden-1-2,lower,vt,Democratic,,,,,
VTL000143,member,2009-2010,Windsor-1-1,lower,vt,Democratic,,,,,
VTL000157,member,2009-2010,Rutland-Windsor-1,lower,vt,Democratic,,,,,
VTL000171,member,2009-2010,Chittenden-3-3,lower,vt,Democratic,,,,,
VTL000171,member,2011-2012,Chittenden-3-3,lower,vt,Democratic,,,,,2012-02-22 00:00:00
VTL000171,committee member,2011-2012,,lower,vt,,VTC000026,Ways And Means,,,
VTL000172,member,2009-2010,Orleans-1,lower,vt,Republican,,,,,
VTL000178,member,2009-2010,Chittenden-7-1,lower,vt,Democratic,,,,,
VTL000194,member,2011-2012,Franklin-3,lower,vt,Republican,,,,,
VTL000194,committee member,2011-2012,,lower,vt,,VTC000018,"Fish, Wildlife And Water Resources",,,
VTL000195,member,2011-2012,Rutland-Windsor-1,lower,vt,Republican,,,,,
VTL000195,committee member,2011-2012,,lower,vt,,VTC000021,Health Care,,,
VTL000049,member,2009-2010,Addison-3,lower,vt,Republican,,,,,
VTL000049,member,2011-2012,Addison-3,lower,vt,Republican,,,,,2012-11-30 00:00:00
VTL000049,committee member,2011-2012,,lower,vt,,VTC000017,Education,,,
VTL000004,member,2009-2010,Franklin,upper,vt,Republican,,,,,
VTL000004,member,2011-2012,Franklin,upper,vt,Republican,,,,,
VTL000004,committee member,2011-2012,,upper,vt,,VTC000005,Finance,,,
VTL000004,committee member,2011-2012,,upper,vt,,VTC000010,Natural Resources And Energy,,,
VTL000012,member,2009-2010,Addison,upper,vt,Democratic,,,,,
VTL000012,member,2011-2012,Addison,upper,vt,Democratic,,,,,
VTL000012,committee member,2011-2012,,upper,vt,,VTC000001,Agriculture,,,
VTL000012,committee member,2011-2012,,upper,vt,,VTC000008,Institutions,,,
VTL000014,member,2009-2010,Essex-Orleans,upper,vt,V,,,,,
VTL000014,member,2011-2012,Essex-Orleans,upper,vt,Republican,,,,,
VTL000014,committee member,2011-2012,,upper,vt,,VTC000002,Appropriations,,,
VTL000014,committee member,2011-2012,,upper,vt,,VTC000003,"Economic Development, Housing And General Affairs",,,
VTL000014,committee member,2011-2012,,upper,vt,,VTC000028,Reapportionment,,,
VTL000016,member,2009-2010,Franklin,upper,vt,Democratic,,,,,
VTL000016,member,2011-2012,Franklin,upper,vt,Democratic,,,,,
VTL000016,committee member,2011-2012,,upper,vt,,VTC000001,Agriculture,,,
VTL000016,committee member,2011-2012,,upper,vt,,VTC000004,Education,,,
VTL000021,member,2009-2010,Chittenden,upper,vt,Democratic,,,,,
VTL000021,member,2011-2012,Chittenden,upper,vt,Democratic,,,,,
VTL000021,committee member,2011-2012,,upper,vt,,VTC000002,Appropriations,,,
VTL000021,committee member,2011-2012,,upper,vt,,VTC000007,Health And Welfare,,,
VTL000031,member,2009-2010,Rutland-7,lower,vt,Republican,,,,,
VTL000031,member,2011-2012,Rutland-7,lower,vt,Republican/Democratic,,,,,
VTL000031,committee member,2011-2012,,lower,vt,,VTC000014,Appropriations,,,
VTL000035,member,2009-2010,Rutland-5-2,lower,vt,Democratic,,,,,
VTL000035,member,2011-2012,Rutland-5-2,lower,vt,Democratic,,,,,
VTL000035,committee member,2011-2012,,lower,vt,,VTC000019,"General, Housing And Military Affairs",,,
VTL000036,member,2009-2010,Chittenden-3-1,lower,vt,Democratic,,,,,
VTL000036,member,2011-2012,Chittenden-3-1,lower,vt,Democratic,,,,,
VTL000036,committee member,2011-2012,,lower,vt,,VTC000025,Transportation,,,
VTL000037,member,2009-2010,Chittenden-3-6,lower,vt,Democratic,,,,,
VTL000037,member,2011-2012,Chittenden-3-6,lower,vt,Democratic,,,,,
VTL000037,committee member,2011-2012,,lower,vt,,VTC000020,Government Operations,,,
VTL000040,member,2009-2010,Windsor-6-2,lower,vt,Democratic,,,,,
VTL000040,member,2011-2012,Windsor-6-2,lower,vt,Democratic,,,,,
VTL000040,committee member,2011-2012,,lower,vt,,VTC000025,Transportation,,,
VTL000057,member,2009-2010,Rutland-5-4,lower,vt,Democratic,,,,,
VTL000057,member,2011-2012,Rutland-5-4,lower,vt,Democratic,,,,,
VTL000057,committee member,2011-2012,,lower,vt,,VTC000025,Transportation,,,
VTL000058,member,2009-2010,Caledonia-4,lower,vt,Republican,,,,,
VTL000058,member,2011-2012,Caledonia-4,lower,vt,Republican/Democratic,,,,,
VTL000058,committee member,2011-2012,,lower,vt,,VTC000017,Education,,,
VTL000066,member,2009-2010,Windham-3-3,lower,vt,Progressive,,,,,
VTL000066,member,2011-2012,Windham-3-3,lower,vt,Democratic,,,,,
VTL000066,committee member,2011-2012,,lower,vt,,VTC000024,Natural Resources And Energy,,,
VTL000075,member,2009-2010,Franklin-1,lower,vt,Democratic,,,,,
VTL000075,member,2011-2012,Franklin-1,lower,vt,Democratic,,,,,
VTL000075,committee member,2011-2012,,lower,vt,,VTC000017,Education,,,
VTL000084,member,2009-2010,Lamoille-4,lower,vt,Republican,,,,,
VTL000084,member,2011-2012,Lamoille-4,lower,vt,Republican,,,,,
VTL000084,committee member,2011-2012,,lower,vt,,VTC000025,Transportation,,,
VTL000086,member,2009-2010,Franklin-2,lower,vt,Democratic,,,,,
VTL000086,member,2011-2012,Franklin-2,lower,vt,Democratic,,,,,
VTL000086,committee member,2011-2012,,lower,vt,,VTC000013,Agriculture,,,
VTL000105,member,2009-2010,Caledonia-2,lower,vt,Democratic,,,,,
VTL000105,member,2011-2012,Caledonia-2,lower,vt,Democratic,,,,,
VTL000105,committee member,2011-2012,,lower,vt,,VTC000018,"Fish, Wildlife And Water Resources",,,
VTL000105,committee member,2011-2012,,lower,vt,,VTC000027,House Rules Committee,,,
VTL000106,member,2009-2010,Orleans-1,lower,vt,Republican,,,,,
VTL000106,member,2011-2012,Orleans-1,lower,vt,Republican,,,,,
VTL000106,committee member,2011-2012,,lower,vt,,VTC000018,"Fish, Wildlife And Water Resources",,,
VTL000108,member,2009-2010,Chittenden-3-3,lower,vt,Democratic,,,,,
VTL000108,member,2011-2012,Chittenden-3-3,lower,vt,Democratic,,,,,
VTL000108,committee member,2011-2012,,lower,vt,,VTC000016,Corrections And Institutions,,,
VTL000142,member,2009-2010,Essex-Caledonia,lower,vt,Republican,,,,,
VTL000142,member,2011-2012,Essex-Caledonia,lower,vt,Republican,,,,,
VTL000142,committee member,2011-2012,,lower,vt,,VTC000025,Transportation,,,
VTL000145,member,2009-2010,Franklin-4,lower,vt,Republican,,,,,
VTL000145,member,2011-2012,Franklin-4,lower,vt,Republican,,,,,
VTL000145,committee member,2011-2012,,lower,vt,,VTC000017,Education,,,
VTL000150,member,2009-2010,Caledonia-3,lower,vt,Republican,,,,,
VTL000150,member,2011-2012,Caledonia-3,lower,vt,Republican,,,,,
VTL000150,committee member,2011-2012,,lower,vt,,VTC000023,Judiciary,,,
VTL000154,member,2009-2010,Windsor-2,lower,vt,Democratic,,,,,
VTL000154,member,2011-2012,Windsor-2,lower,vt,Democratic,,,,,
VTL000154,committee member,2011-2012,,lower,vt,,VTC000015,Commerce And Economic Development,,,
VTL000140,member,2013-2014,Windham-3,lower,vt,Democratic,,,,,
VTL000140,committee member,2013-2014,,lower,vt,,VTC000029,Agriculture And Forest Products,,,
VTL000140,member,2009-2010,Windham-4,lower,vt,Democratic,,,,,
VTL000140,member,2011-2012,Windham-4,lower,vt,Democratic,,,,,
VTL000140,committee member,2011-2012,,lower,vt,,VTC000013,Agriculture,,,
VTL000223,member,2013-2014,Franklin-5,lower,vt,Republican,,,,,
VTL000223,committee member,2013-2014,,lower,vt,,VTC000018,"Fish, Wildlife And Water Resources",,,
VTL000073,member,2013-2014,Orange-Washington-Addison,lower,vt,Democratic,,,,,
VTL000073,committee member,2013-2014,,lower,vt,,VTC000022,Human Services,,,
VTL000073,member,2009-2010,Orange-Addison-1,lower,vt,Democratic,,,,,
VTL000073,member,2011-2012,Orange-Addison-1,lower,vt,Democratic,,,,,
VTL000073,committee member,2011-2012,,lower,vt,,VTC000022,Human Services,,,
VTL000087,member,2013-2014,Chittenden-10,lower,vt,Republican,,,,,
VTL000087,committee member,2013-2014,,lower,vt,,VTC000020,Government Operations,,,
VTL000087,member,2009-2010,Chittenden-9,lower,vt,Republican,,,,,
VTL000087,member,2011-2012,Chittenden-9,lower,vt,Republican,,,,,
VTL000087,committee member,2011-2012,,lower,vt,,VTC000020,Government Operations,,,
VTL000090,member,2013-2014,Grand Isle-Chittenden,lower,vt,Democratic,,,,,
VTL000090,committee member,2013-2014,,lower,vt,,VTC000014,Appropriations,,,
VTL000090,member,2009-2010,Grand Isle-Chittenden-1-1,lower,vt,Democratic,,,,,
VTL000090,member,2011-2012,Grand Isle-Chittenden-1-1,lower,vt,Democratic,,,,,
VTL000090,committee member,2011-2012,,lower,vt,,VTC000014,Appropriations,,,
VTL000094,member,2013-2014,Washington-4,lower,vt,Democratic,,,,,
VTL000094,committee member,2013-2014,,lower,vt,,VTC000015,Commerce And Economic Development,,,
VTL000094,member,2009-2010,Washington-5,lower,vt,Democratic,,,,,
VTL000094,member,2011-2012,Washington-5,lower,vt,Democratic,,,,,
