leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
VTL000006,William H Carris,William,H,Carris,,,False,vt,,,,23822e9bce5340cca03f6bcc26487b6f,http://vermont-elections.org/2009-2010BioBook/jpegs/carris.jpg,2010-11-19 23:19:39.045000,2013-01-24 15:05:09.116000
VTL000122,Jim L McNeil,Jim,L,McNeil,,,False,vt,,,,0edb02730b70434193752155162748a4,http://vermont-elections.org/2009-2010BioBook/jpegs/mcneil.jpg,2010-11-19 23:19:39.328000,2013-01-05 00:02:21.810000
VTL000138,Oliver K Olsen,Oliver,K,Olsen,,,False,vt,,,,b6d996fde2434a098c923dd46580b371,,2010-11-19 23:19:39.365000,2013-01-05 00:02:21.820000
VTL000177,Jeff E Young,Jeff,E,Young,,,False,vt,,,,,,2010-11-19 23:19:39.465000,2011-01-07 21:07:29.840000
VTL000200,Bert L Munger,Bert,L,Munger,,,False,vt,,,,e0e12bfcbe9f4a3893d17e5a3c1ea15d,,2011-01-14 22:24:08.254000,2013-01-05 00:02:21.855000
VTL000003,Susan J Bartlett,Susan,J,Bartlett,,,False,vt,,,,8c04548fb6874a1d9e7bfcff5a472504,,2010-11-19 23:19:39.040000,2011-01-07 21:07:29.847000
VTL000007,Matthew A Choate,Matthew,A,Choate,,,False,vt,,,,beb0626644e64f1585684958d42ffec3,,2010-11-19 23:19:39.046000,2011-01-07 21:07:29.846000
VTL000010,Ed S Flanagan,Ed,S,Flanagan,,,False,vt,,,,74a9db163b634a59a8bb29bf531d1974,,2010-11-19 23:19:39.051000,2011-01-07 21:07:29.846000
VTL000024,Douglas A Racine,Douglas,A,Racine,,,False,vt,,,,b1e1b25c514d4f8fb94535398dac0768,,2010-11-19 23:19:39.093000,2011-01-07 21:07:29.846000
VTL000025,Phil B Scott,Phil,B,Scott,,,False,vt,,,,d1272636ef734912ac534488132de620,,2010-11-19 23:19:39.095000,2011-01-07 21:07:29.847000
VTL000027,Peter E Shumlin,Peter,E,Shumlin,,,False,vt,,,,61786b6ad59945579f8187900f20f86e,,2010-11-19 23:19:39.098000,2011-01-07 21:07:29.848000
VTL000032,Steve C Adams,Steve,C,Adams,,,False,vt,,,,cf5eb8f68b77421b8f4e35353d5b066f,,2010-11-19 23:19:39.106000,2011-01-07 21:07:29.844000
VTL000033,David M Ainsworth,David,M,Ainsworth,,,False,vt,,,,67446cdae56f4c3ebe10631c57aedf68,,2010-11-19 23:19:39.108000,2011-01-07 21:07:29.845000
