state,session,chamber,bill_id,type,name,leg_id
wa,2011-2012,lower,HB 1000,primary,Hurst,WAL000091
wa,2011-2012,lower,HB 1000,primary,Stanford,WAL000137
wa,2011-2012,lower,HB 1000,primary,Blake,WAL000059
wa,2011-2012,lower,HB 1000,primary,Finn,WAL000076
wa,2011-2012,lower,HB 1000,primary,Ladenburg,WAL000102
wa,2011-2012,lower,HB 1000,primary,Goodman,WAL000079
wa,2011-2012,lower,HB 1000,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1000,primary,Pearson,WAL000118
wa,2011-2012,lower,HB 1000,primary,Moeller,WAL000109
wa,2011-2012,lower,HB 1001,primary,Goodman,WAL000079
wa,2011-2012,lower,HB 1001,primary,Kelley,WAL000096
wa,2011-2012,lower,HB 1001,primary,Green,WAL000080
wa,2011-2012,lower,HB 1001,primary,Kirby,WAL000098
wa,2011-2012,lower,HB 1001,primary,Fitzgibbon,WAL000077
wa,2011-2012,lower,HB 1001,primary,Stanford,WAL000137
wa,2011-2012,lower,HB 1001,primary,Kagi,WAL000095
wa,2011-2012,lower,HB 1001,primary,Ladenburg,WAL000102
wa,2011-2012,lower,HB 1001,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1001,primary,Hurst,WAL000091
wa,2011-2012,lower,HB 1001,primary,Darneille,WAL000070
wa,2011-2012,lower,HB 1001,primary,Moeller,WAL000109
wa,2011-2012,lower,HB 1002,primary,Hunt,WAL000089
wa,2011-2012,lower,HB 1002,primary,Jinkins,WAL000093
wa,2011-2012,lower,HB 1002,primary,Kenney,WAL000097
wa,2011-2012,lower,HB 1002,primary,Reykdal,WAL000122
wa,2011-2012,lower,HB 1002,primary,Ladenburg,WAL000102
wa,2011-2012,lower,HB 1002,primary,McCoy,WAL000106
wa,2011-2012,lower,HB 1002,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1003,primary,Morris,WAL000110
wa,2011-2012,lower,HB 1003,primary,Stanford,WAL000137
wa,2011-2012,lower,HB 1003,primary,Frockt,WAL000078
wa,2011-2012,lower,HB 1003,primary,Moeller,WAL000109
wa,2011-2012,lower,HB 1003,primary,Upthegrove,WAL000142
wa,2011-2012,lower,HB 1004,primary,Dickerson,WAL000072
wa,2011-2012,lower,HB 1004,primary,Orwall,WAL000115
wa,2011-2012,lower,HB 1004,primary,Haigh,WAL000081
wa,2011-2012,lower,HB 1004,primary,Kagi,WAL000095
wa,2011-2012,lower,HB 1004,primary,Roberts,WAL000124
wa,2011-2012,lower,HB 1004,primary,Takko,WAL000139
wa,2011-2012,lower,HB 1004,primary,Liias,WAL000103
wa,2011-2012,lower,HB 1004,primary,Rolfes,WAL000126
wa,2011-2012,lower,HB 1004,primary,Hurst,WAL000091
wa,2011-2012,lower,HB 1004,primary,Kenney,WAL000097
wa,2011-2012,lower,HB 1004,primary,Frockt,WAL000078
wa,2011-2012,lower,HB 1004,primary,Goodman,WAL000079
wa,2011-2012,lower,HB 1004,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1005,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1005,primary,Rolfes,WAL000126
wa,2011-2012,lower,HB 1006,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1006,primary,Ladenburg,WAL000102
wa,2011-2012,lower,HB 1007,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1007,primary,Darneille,WAL000070
wa,2011-2012,lower,HB 1008,primary,Appleton,WAL000054
wa,2011-2012,lower,HB 1008,primary,Hunt,WAL000089
wa,2011-2012,lower,HB 1009,primary,Chandler,WAL000062
