state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
wa,2013-2014,upper,SB 5507,WAV00003211,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5449,WAV00003212,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5459,WAV00003213,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5221,WAV00003214,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5630,WAV00003215,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5308,WAV00003216,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5335,WAV00003217,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5235,WAV00003218,upper,3rd Reading & Final Passage,2013-02-27 00:00:00,other,49,0,0
wa,2013-2014,upper,SR 8601,WAV00003105,upper,Adopt,2013-01-14 00:00:00,other,25,23,0
wa,2013-2014,upper,SR 8607,WAV00003107,upper,Motion to Adopt,2013-01-23 00:00:00,other,24,25,0
wa,2013-2014,upper,SB 5445,WAV00003131,upper,3rd Reading & Final Passage,2013-02-11 00:00:00,other,47,0,2
wa,2013-2014,upper,SB 5197,WAV00003132,upper,3rd Reading & Final Passage,2013-02-11 00:00:00,other,47,0,2
wa,2013-2014,upper,SB 5147,WAV00003108,upper,3rd Reading & Final Passage,2013-01-30 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5046,WAV00003109,upper,3rd Reading & Final Passage,2013-01-30 00:00:00,other,48,0,1
wa,2013-2014,upper,SB 5052,WAV00003110,upper,3rd Reading & Final Passage,2013-01-30 00:00:00,other,48,1,0
wa,2013-2014,upper,SB 5022,WAV00003111,upper,3rd Reading & Final Passage,2013-01-30 00:00:00,other,49,0,0
wa,2013-2014,upper,SB 5021,WAV00003112,upper,3rd Reading & Final Passage,2013-01-30 00:00:00,other,45,4,0
wa,2013-2014,lower,HR 4608,WAV00003114,lower,4  Wilcox  Pg 21 Ln 37,2013-02-01 00:00:00,other,93,0,5
wa,2013-2014,lower,HR 4608,WAV00003115,lower,3  Wilcox  Pg 21 Ln 37,2013-02-01 00:00:00,other,41,52,5
wa,2011-2012,upper,SJM 8016,WAV00002241,upper,3rd Reading & Final Passage,2012-02-10 00:00:00,other,46,1,2
wa,2011-2012,upper,SJM 8016,WAV00002242,lower,Final Passage,2012-02-27 00:00:00,other,67,30,1
wa,2011-2012,upper,SJM 8011,WAV00001806,upper,3rd Reading & Final Passage,2011-05-25 00:00:00,other,45,0,4
