id,state,chamber,committee,subcommittee,parent_id
WAC000021,wa,lower,Education,,
WAC000023,wa,lower,Environment,,
WAC000029,wa,lower,Labor & Workforce Development,,
WAC000016,wa,lower,Agriculture & Natural Resources,,
WAC000051,wa,lower,Appropriations Subcommittee on Education,,
WAC000018,wa,lower,Capital Budget,,
WAC000054,wa,lower,"Community Development, Housing & Tribal Affairs",,
WAC000055,wa,lower,Finance,,
WAC000026,wa,lower,Health Care & Wellness,,
WAC000027,wa,lower,Higher Education,,
WAC000028,wa,lower,Judiciary,,
WAC000030,wa,lower,Local Government,,
WAC000058,wa,lower,Public Safety,,
WAC000052,wa,lower,Appropriations Subcommittee on General Government,,
WAC000053,wa,lower,Appropriations Subcommittee on Health & Human Services,,
WAC000056,wa,lower,Government Accountability & Oversight,,
WAC000050,wa,lower,Appropriations,,
WAC000017,wa,lower,Business & Financial Services,,
WAC000020,wa,lower,Early Learning & Human Services,,
WAC000057,wa,lower,Government Operations & Elections,,
WAC000032,wa,lower,Rules,,
WAC000059,wa,lower,Technology & Economic Development,,
WAC000035,wa,lower,Transportation,,
WAC000037,wa,upper,"Agriculture, Water & Rural Economic Development",,
WAC000002,wa,upper,Early Learning & K-12 Education,,
WAC000015,wa,upper,Ways & Means,,
WAC000049,wa,upper,Trade & Economic Development,,
WAC000041,wa,upper,Commerce & Labor,,
WAC000042,wa,upper,"Energy, Environment & Telecommunications",,
WAC000065,wa,upper,"Financial Institutions, Housing & Insurance",,
WAC000061,wa,upper,Governmental Operations,,
WAC000062,wa,upper,Higher Education,,
WAC000063,wa,upper,Law & Justice,,
WAC000064,wa,upper,Natural Resources & Parks,,
WAC000014,wa,upper,Transportation,,
WAC000009,wa,upper,Human Services & Corrections,,
WAC000045,wa,upper,Health Care,,
WAC000066,wa,upper,Rules,,
