leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
WAL000156,member,2011-2012,5,upper,wa,Republican,,,,,
WAL000037,member,2011-2012,49,upper,wa,Democratic,,,,,
WAL000037,committee member,2011-2012,,upper,wa,,WAC000039,Environment,,,
WAL000037,committee member,2011-2012,,upper,wa,,WAC000006,"Government Operations, Tribal Relations & Elections",,,
WAL000037,committee member,2011-2012,,upper,wa,,WAC000007,Health & Long-Term Care,,,
WAL000037,committee member,2011-2012,,upper,wa,,WAC000015,Ways & Means,,,
WAL000023,member,2011-2012,25,upper,wa,Democratic,,,,,
WAL000023,committee member,2011-2012,,upper,wa,,WAC000003,"Economic Development, Trade & Innovation",,,
WAL000023,committee member,2011-2012,,upper,wa,,WAC000008,Higher Education & Workforce Development,,,
WAL000023,committee member,2011-2012,,upper,wa,,WAC000015,Ways & Means,,,
WAL000025,member,2011-2012,26,upper,wa,Democratic,,,,,
WAL000025,committee member,2011-2012,,upper,wa,,WAC000003,"Economic Development, Trade & Innovation",,,
WAL000025,committee member,2011-2012,,upper,wa,,WAC000008,Higher Education & Workforce Development,,,
WAL000025,committee member,2011-2012,,upper,wa,,WAC000015,Ways & Means,,,
WAL000036,member,2011-2012,11,upper,wa,Democratic,,,,,
WAL000036,committee member,2011-2012,,upper,wa,,WAC000005,"Financial Institutions, Housing & Insurance",,,
WAL000036,committee member,2011-2012,,upper,wa,,WAC000006,"Government Operations, Tribal Relations & Elections",,,
WAL000036,committee member,2011-2012,,upper,wa,,WAC000013,Rules,,,
WAL000036,committee member,2011-2012,,upper,wa,,WAC000014,Transportation,,,
WAL000041,member,2011-2012,23,upper,wa,Democratic,,,,,2011-07-01 00:00:00
WAL000048,member,2011-2012,46,upper,wa,Democratic,,,,,2011-10-20 00:00:00
WAL000092,member,2011-2012,49,lower,wa,Democratic,,,,,2011-03-25 00:00:00
WAL000039,member,2011-2012,27,upper,wa,Democratic,,,,,
WAL000039,committee member,2011-2012,,upper,wa,,WAC000038,"Energy, Natural Resources & Marine Waters",,,
WAL000039,committee member,2011-2012,,upper,wa,,WAC000009,Human Services & Corrections,,,
WAL000039,committee member,2011-2012,,upper,wa,,WAC000010,Judiciary,,,
WAL000039,committee member,2011-2012,,upper,wa,,WAC000013,Rules,,,
WAL000039,committee member,2011-2012,,upper,wa,,WAC000015,Ways & Means,,,
WAL000017,member,2011-2012,10,upper,wa,Democratic,,,,,
WAL000017,committee member,2011-2012,,upper,wa,,WAC000037,"Agriculture, Water & Rural Economic Development",,,
WAL000017,committee member,2011-2012,,upper,wa,,WAC000005,"Financial Institutions, Housing & Insurance",,,
WAL000017,committee member,2011-2012,,upper,wa,,WAC000013,Rules,,,
WAL000017,committee member,2011-2012,,upper,wa,,WAC000014,Transportation,,,
WAL000050,member,2011-2012,6,lower,wa,Republican,,,,,
WAL000050,committee member,2011-2012,,lower,wa,,WAC000040,Community & Economic Development & Housing,,,
WAL000050,committee member,2011-2012,,lower,wa,,WAC000021,Education,,,
WAL000050,committee member,2011-2012,,lower,wa,,WAC000024,General Government Appropriations & Oversight,,,
