state,session,chamber,bill_id,type,name,leg_id
wi,2009 Regular Session,lower,AB 1,primary,Clark,WIL000357
wi,2009 Regular Session,lower,AB 1,primary,Molepske Jr.,WIL000392
wi,2009 Regular Session,lower,AB 1,primary,Bernard Schaber,WIL000353
wi,2009 Regular Session,lower,AB 1,primary,Benedict,WIL000351
wi,2009 Regular Session,lower,AB 1,primary,Berceau,WIL000352
wi,2009 Regular Session,lower,AB 1,primary,Black,WIL000355
wi,2009 Regular Session,lower,AB 1,primary,Danou,WIL000360
wi,2009 Regular Session,lower,AB 1,primary,Hixson,WIL000373
wi,2009 Regular Session,lower,AB 1,primary,Mason,WIL000389
wi,2009 Regular Session,lower,AB 1,primary,Nelson,WIL000397
wi,2009 Regular Session,lower,AB 1,primary,Parisi,WIL000403
wi,2009 Regular Session,lower,AB 1,primary,Pasch,WIL000404
wi,2009 Regular Session,lower,AB 1,primary,Pope-Roberts,WIL000408
wi,2009 Regular Session,lower,AB 1,primary,Radcliffe,WIL000410
wi,2009 Regular Session,lower,AB 1,primary,Richards,WIL000412
wi,2009 Regular Session,lower,AB 1,primary,Roys,WIL000415
wi,2009 Regular Session,lower,AB 1,primary,Seidel,WIL000417
wi,2009 Regular Session,lower,AB 1,primary,Sheridan,WIL000418
wi,2009 Regular Session,lower,AB 1,primary,Shilling,WIL000419
wi,2009 Regular Session,lower,AB 1,primary,Sinicki,WIL000420
wi,2009 Regular Session,lower,AB 1,primary,Smith,WIL000421
wi,2009 Regular Session,lower,AB 1,primary,Van Akkeren,WIL000433
wi,2009 Regular Session,lower,AB 1,primary,A. Williams,WIL000439
wi,2009 Regular Session,lower,AB 1,primary,Zigmunt,WIL000444
wi,2009 Regular Session,lower,AB 1,primary,Jorgensen,WIL000378
wi,2009 Regular Session,lower,AB 1,primary,Barca,WIL000350
wi,2009 Regular Session,lower,AB 1,cosponsor,Plale,WIL000341
wi,2009 Regular Session,lower,AB 1,cosponsor,Erpenbach,WIL000322
wi,2009 Regular Session,lower,AB 10,primary,A. Ott,WIL000402
wi,2009 Regular Session,lower,AB 10,primary,Ballweg,WIL000349
wi,2009 Regular Session,lower,AB 10,primary,Barca,WIL000350
wi,2009 Regular Session,lower,AB 10,primary,Brooks,WIL000356
wi,2009 Regular Session,lower,AB 10,primary,Davis,WIL000361
wi,2009 Regular Session,lower,AB 10,primary,Gunderson,WIL000369
wi,2009 Regular Session,lower,AB 10,primary,Huebsch,WIL000377
wi,2009 Regular Session,lower,AB 10,primary,Jorgensen,WIL000378
wi,2009 Regular Session,lower,AB 10,primary,Kaufert,WIL000379
wi,2009 Regular Session,lower,AB 10,primary,LeMahieu,WIL000387
wi,2009 Regular Session,lower,AB 10,primary,Molepske Jr.,WIL000392
wi,2009 Regular Session,lower,AB 10,primary,Murtha,WIL000395
wi,2009 Regular Session,lower,AB 10,primary,Nerison,WIL000398
wi,2009 Regular Session,lower,AB 10,primary,Ripp,WIL000413
wi,2009 Regular Session,lower,AB 10,primary,Spanbauer,WIL000423
wi,2009 Regular Session,lower,AB 10,primary,Strachota,WIL000427
wi,2009 Regular Session,lower,AB 10,primary,Suder,WIL000428
wi,2009 Regular Session,lower,AB 10,primary,Tauchen,WIL000429
wi,2009 Regular Session,lower,AB 10,primary,Townsend,WIL000431
wi,2009 Regular Session,lower,AB 10,primary,M. Williams,WIL000438
wi,2009 Regular Session,lower,AB 10,primary,Ziegelbauer,WIL000443
wi,2009 Regular Session,lower,AB 10,cosponsor,Vinehout,WIL000347
wi,2009 Regular Session,lower,AB 10,cosponsor,Kapanke,WIL000331
wi,2009 Regular Session,lower,AB 10,cosponsor,Darling,WIL000319
wi,2009 Regular Session,lower,AB 10,cosponsor,Lazich,WIL000336
wi,2009 Regular Session,lower,AB 10,cosponsor,Leibham,WIL000338
wi,2009 Regular Session,lower,AB 10,cosponsor,Olsen,WIL000340
wi,2009 Regular Session,lower,AB 10,cosponsor,Schultz,WIL000344
wi,2009 Regular Session,lower,AB 100,primary,Richards,WIL000412
wi,2009 Regular Session,lower,AB 100,primary,Roys,WIL000415
wi,2009 Regular Session,lower,AB 100,primary,Hraychuck,WIL000375
wi,2009 Regular Session,lower,AB 100,primary,Seidel,WIL000417
wi,2009 Regular Session,lower,AB 100,primary,Clark,WIL000357
wi,2009 Regular Session,lower,AB 100,primary,Berceau,WIL000352
wi,2009 Regular Session,lower,AB 100,primary,A. Williams,WIL000439
wi,2009 Regular Session,lower,AB 100,cosponsor,Vinehout,WIL000347
wi,2009 Regular Session,lower,AB 100,cosponsor,Erpenbach,WIL000322
wi,2009 Regular Session,lower,AB 100,cosponsor,Robson,WIL000343
wi,2009 Regular Session,lower,AB 100,cosponsor,Lehman,WIL000337
wi,2009 Regular Session,lower,AB 100,cosponsor,Carpenter,WIL000316
wi,2009 Regular Session,lower,AB 100,cosponsor,Wirch,WIL000348
wi,2009 Regular Session,lower,AB 100,cosponsor,Taylor,WIL000346
wi,2009 Regular Session,lower,AB 100,cosponsor,Coggs,WIL000317
wi,2009 Regular Session,lower,AB 100,cosponsor,Hansen,WIL000325
wi,2009 Regular Session,lower,AB 100,cosponsor,Miller,WIL000339
wi,2009 Regular Session,lower,AB 100,cosponsor,Kreitlow,WIL000333
wi,2009 Regular Session,lower,AB 101,primary,Vruwink,WIL000436
wi,2009 Regular Session,lower,AB 101,primary,Sherman,
wi,2009 Regular Session,lower,AB 101,primary,Garthwaite,WIL000366
wi,2009 Regular Session,lower,AB 101,primary,Milroy,WIL000391
wi,2009 Regular Session,lower,AB 101,primary,Zepnick,WIL000442
wi,2009 Regular Session,lower,AB 101,primary,A. Ott,WIL000402
wi,2009 Regular Session,lower,AB 101,primary,Nygren,WIL000400
wi,2009 Regular Session,lower,AB 101,primary,Gunderson,WIL000369
wi,2009 Regular Session,lower,AB 101,primary,Townsend,WIL000431
wi,2009 Regular Session,lower,AB 101,primary,Petrowski,WIL000406
wi,2009 Regular Session,lower,AB 101,primary,Molepske Jr.,WIL000392
wi,2009 Regular Session,lower,AB 101,primary,Steinbrink,WIL000425
wi,2009 Regular Session,lower,AB 101,primary,Ziegelbauer,WIL000443
wi,2009 Regular Session,lower,AB 101,primary,Mursau,WIL000394
wi,2009 Regular Session,lower,AB 101,primary,Benedict,WIL000351
