state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
wi,2013 Regular Session,upper,SJR 1,WIV00005691,lower,"Concurred in, Ayes 98, Noes 0",2013-01-07 00:00:00,other,98,0,0
wi,2013 Regular Session,upper,SR 3,WIV00005700,upper,"Senate Amendment 10 laid on table, Ayes 18, Noes 14",2013-01-15 00:00:00,other,18,14,0
wi,2013 Regular Session,lower,AJR 2,WIV00005706,lower,"Report Assembly Amendment 1 introduction and adoption recommended by committee on Transportation, Ayes 15, Noes 0",2013-01-30 00:00:00,amendment,15,0,0
wi,2013 Regular Session,lower,AJR 2,WIV00005707,lower,"Report adoption as amended recommended by Committee on Transportation, Ayes 15, Noes 0",2013-01-30 00:00:00,other,15,0,0
wi,2013 Regular Session,lower,AR 1,WIV00005702,lower,"Adopted, Ayes 95, Noes 0",2013-01-07 00:00:00,passage,98,0,0
wi,2013 Regular Session,lower,AR 2,WIV00005686,lower,"Adopted, Ayes 98, Noes 0",2013-01-07 00:00:00,passage,98,0,0
wi,2013 Regular Session,lower,AR 3,WIV00005687,lower,"Adopted, Ayes 96, Noes 0",2013-01-10 00:00:00,passage,96,0,0
wi,2013 Regular Session,lower,AR 4,WIV00005704,lower,"Assembly Amendment 2 laid on table, Ayes 58, Noes 38",2013-01-10 00:00:00,other,58,38,0
wi,2013 Regular Session,lower,AR 4,WIV00005690,lower,"Adopted, Ayes 59, Noes 37, Paired 2",2013-01-10 00:00:00,passage,59,37,0
wi,2013 Regular Session,upper,SB 1,WIV00005718,upper,"Report adoption of Senate Amendment 11 recommended by Committee on Workforce Development, Forestry, Mining, and Revenue, Ayes 3, Noes 2",2013-02-07 00:00:00,amendment,3,2,0
wi,2013 Regular Session,upper,SR 3,WIV00005699,upper,"Senate Amendment 8 laid on table, Ayes 18, Noes 14",2013-01-15 00:00:00,other,18,14,0
wi,2009 Regular Session,lower,AB 1,WIV00000001,lower,"Report Assembly Amendment 1 adoption recommended by committee on Jobs, the Economy and Small Business, Ayes 11, Noes 0",2009-01-23 00:00:00,amendment,11,0,0
wi,2009 Regular Session,lower,AB 1,WIV00000002,lower,"Report Assembly Amendment 2 adoption recommended by committee on Jobs, the Economy and Small Business, Ayes 11, Noes 0",2009-01-23 00:00:00,amendment,11,0,0
wi,2009 Regular Session,lower,AB 1,WIV00000003,lower,"Report passage as amended recommended by committee on Jobs, the Economy and Small Business, Ayes 9, Noes 2",2009-01-23 00:00:00,passage,9,2,0
wi,2009 Regular Session,lower,AB 1,WIV00000004,lower,"Assembly amendment 1 to Assembly amendment 1 adopted, Ayes 95, Noes 4",2009-01-27 00:00:00,amendment,95,4,0
wi,2009 Regular Session,lower,AB 1,WIV00000005,lower,"Read a third time and passed, Ayes 77, Noes 22",2009-01-27 00:00:00,passage,77,22,0
wi,2009 Regular Session,lower,AB 100,WIV00000006,lower,"Report Assembly Amendment 1 adoption recommended by committee on Health and Healthcare Reform, Ayes 8, Noes 3",2009-04-21 00:00:00,amendment,8,3,0
wi,2009 Regular Session,lower,AB 100,WIV00000007,lower,"Report passage as amended recommended by committee on Health and Healthcare Reform, Ayes 8, Noes 3",2009-04-21 00:00:00,passage,8,3,0
wi,2009 Regular Session,lower,AB 100,WIV00000008,lower,"Assembly amendment 7 rejected, Ayes 50, Noes 46",2009-04-23 00:00:00,amendment,50,46,3
wi,2009 Regular Session,lower,AB 100,WIV00000009,lower,"Assembly amendment 8 laid on table, Ayes 51, Noes 45",2009-04-23 00:00:00,amendment,51,45,3
wi,2009 Regular Session,lower,AB 100,WIV00000010,lower,"Read a third time and passed, Ayes 61, Noes 38",2009-04-28 00:00:00,passage,61,38,0
wi,2009 Regular Session,lower,AB 102,WIV00000011,lower,"Report Assembly Amendment 1 adoption recommended by committee on Labor, Ayes 8, Noes 0",2009-04-23 00:00:00,amendment,8,0,0
wi,2009 Regular Session,lower,AB 102,WIV00000012,lower,"Report Assembly Amendment 2 adoption recommended by committee on Labor, Ayes 8, Noes 0",2009-04-23 00:00:00,amendment,8,0,0
wi,2009 Regular Session,lower,AB 102,WIV00000013,lower,"Report passage as amended recommended by committee on Labor, Ayes 5, Noes 3",2009-04-23 00:00:00,passage,5,3,0
wi,2009 Regular Session,lower,AB 103,WIV00000014,lower,"Report passage recommended by committee on Health and Healthcare Reform, Ayes 11, Noes 0",2009-04-07 00:00:00,passage,11,0,0
wi,2009 Regular Session,lower,AB 104,WIV00000015,lower,"Report passage recommended by committee on Elections and Campaign Reform, Ayes 8, Noes 0",2009-12-18 00:00:00,passage,8,0,0
wi,2009 Regular Session,lower,AB 105,WIV00000016,lower,"Report passage recommended by committee on Labor, Ayes 5, Noes 3",2009-04-23 00:00:00,passage,5,3,0
wi,2009 Regular Session,lower,AB 106,WIV00000017,lower,"Report Assembly Amendment 1 adoption recommended by committee on Urban and Local Affairs, Ayes 8, Noes 0",2009-10-27 00:00:00,amendment,8,0,0
wi,2009 Regular Session,lower,AB 106,WIV00000018,lower,"Report passage as amended recommended by committee on Urban and Local Affairs, Ayes 5, Noes 3",2009-10-27 00:00:00,passage,5,3,0
wi,2009 Regular Session,lower,AB 106,WIV00000019,lower,"Read a third time and passed, Ayes 56, Noes 41",2010-04-15 00:00:00,passage,56,41,2
wi,2009 Regular Session,lower,AB 108,WIV00000020,lower,"Report Assembly Amendment 1 adoption recommended by committee on Health and Healthcare Reform, Ayes 11, Noes 0",2009-06-16 00:00:00,amendment,11,0,0
wi,2009 Regular Session,lower,AB 108,WIV00000021,lower,"Report Assembly Amendment 3 adoption recommended by committee on Health and Healthcare Reform, Ayes 11, Noes 0",2009-06-16 00:00:00,amendment,11,0,0
wi,2009 Regular Session,lower,AB 108,WIV00000022,lower,"Report passage as amended recommended by committee on Health and Healthcare Reform, Ayes 8, Noes 3",2009-06-16 00:00:00,passage,8,3,0
wi,2009 Regular Session,lower,AB 11,WIV00000023,lower,"Report passage recommended by committee on Agriculture, Ayes 11, Noes 0",2009-06-23 00:00:00,passage,11,0,0
wi,2009 Regular Session,lower,AB 11,WIV00000024,upper,"Report concurrence recommended by committee on Agriculture and Higher Education, Ayes 5, Noes 0",2010-02-24 00:00:00,passage,5,0,0
wi,2009 Regular Session,lower,AB 110,WIV00000025,lower,"Report passage recommended by committee on Criminal Justice, Ayes 11, Noes 0",2009-06-16 00:00:00,passage,11,0,0
wi,2009 Regular Session,lower,AB 111,WIV00000026,lower,"Report passage recommended by committee on Health and Healthcare Reform, Ayes 13, Noes 0",2009-05-08 00:00:00,passage,13,0,0
wi,2009 Regular Session,lower,AB 112,WIV00000027,lower,"Report passage recommended by committee on Health and Healthcare Reform, Ayes 13, Noes 0",2009-05-08 00:00:00,passage,13,0,0
wi,2009 Regular Session,lower,AB 114,WIV00000028,lower,"Report Assembly Amendment 1 adoption recommended by committee on Natural Resources, Ayes 9, Noes 5",2009-03-19 00:00:00,amendment,9,5,0
wi,2009 Regular Session,lower,AB 114,WIV00000029,lower,"Report passage as amended recommended by committee on Natural Resources, Ayes 9, Noes 5",2009-03-19 00:00:00,passage,9,5,0
wi,2009 Regular Session,lower,AB 116,WIV00000030,lower,"Report passage recommended by committee on Education, Ayes 7, Noes 6",2009-09-17 00:00:00,passage,7,6,0
wi,2009 Regular Session,lower,AB 116,WIV00000031,lower,"Assembly amendment 3 laid on table, Ayes 51, Noes 45",2010-01-28 00:00:00,amendment,51,45,3
wi,2009 Regular Session,lower,AB 119,WIV00000033,lower,"Report Assembly Substitute Amendment 1 adoption recommended by committee on Education, Ayes 11, Noes 1",2009-06-16 00:00:00,amendment,11,1,0
