leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
WIL000447,member,2011-2012,29,upper,wi,Republican,,,,,2012-03-16 00:00:00
WIL000334,member,2009-2010,1,upper,wi,Republican,,,,,
WIL000334,committee member,2009-2010,,upper,wi,,,Committee on  Ethics Reform and Government Operations,,,
WIL000334,committee member,2009-2010,,upper,wi,,,"Committee on  Labor, Elections and Urban Affairs",,,
WIL000345,member,2009-2010,5,upper,wi,Democratic,,,,,
WIL000345,committee member,2009-2010,,upper,wi,,,"Committee on  Judiciary, Corrections, Insurance, Campaign Finance Reform, and Housing",,,
WIL000345,committee member,2009-2010,,upper,wi,,,"Committee on  Transportation, Tourism, Forestry, and Natural Resources",,,
WIL000345,committee member,2009-2010,,upper,wi,,,"Committee on  Veterans and Military Affairs, Biotechnology, and Financial Institutions",,,
WIL000351,member,2009-2010,45,lower,wi,Democratic,,,,,
WIL000351,committee member,2009-2010,,lower,wi,,,Committee on  Corrections and the Courts,,,
WIL000351,committee member,2009-2010,,lower,wi,,,Committee on  Public Health,,,
WIL000351,committee member,2009-2010,,lower,wi,,,Committee on  Health and Healthcare Reform,,,
WIL000351,committee member,2009-2010,,lower,wi,,,"Committee on  Jobs, the Economy and Small Business",,,
WIL000358,member,2009-2010,8,lower,wi,Democratic,,,,,
WIL000365,member,2009-2010,35,lower,wi,Republican,,,,,
WIL000365,committee member,2009-2010,,lower,wi,,,Committee on  Criminal Justice,,,
WIL000365,committee member,2009-2010,,lower,wi,,,Committee on  Forestry,,,
WIL000365,committee member,2009-2010,,lower,wi,,,"Committee on  Jobs, the Economy and Small Business",,,
WIL000399,member,2009-2010,33,lower,wi,Republican,,,,,
WIL000399,committee member,2009-2010,,lower,wi,,,Committee on  Housing,,,
WIL000399,committee member,2009-2010,,lower,wi,,,Committee on  Financial Institutions,,,
WIL000399,committee member,2009-2010,,lower,wi,,,Committee on  Public Health,,,
WIL000433,member,2009-2010,26,lower,wi,Democratic,,,,,
WIL000433,committee member,2009-2010,,lower,wi,,,Committee on  Labor,,,
WIL000433,committee member,2009-2010,,lower,wi,,,"Committee on  Tourism, Recreation and State Properties",,,
WIL000433,committee member,2009-2010,,lower,wi,,,Committee on  Urban and Local Affairs,,,
WIL000440,member,2009-2010,67,lower,wi,Independent,,,,,
