vote_id,leg_id,name,vote
WVV00000001,WVL000046,Anderson,yes
WVV00000001,WVL000041,Ferro,yes
WVV00000001,WVL000119,Marshall,yes
WVV00000001,WVL000044,Romine,yes
WVV00000001,WVL000097,Armstead,yes
WVV00000001,WVL000118,Fleischauer,yes
WVV00000001,WVL000053,Martin,yes
WVV00000001,WVL000126,Rowan,yes
WVV00000001,WVL000051,Ashley,yes
WVV00000001,WVL000110,Fragale,yes
WVV00000001,WVL000123,Michael,yes
WVV00000001,WVL000056,Savilla,yes
WVV00000001,WVL000048,Azinger,yes
WVV00000001,WVL000077,Frazier,yes
WVV00000001,WVL000112,Miley,yes
WVV00000001,WVL000122,Shaver,yes
WVV00000001,WVL000117,Barill,yes
WVV00000001,WVL000075,Gearheart,yes
WVV00000001,WVL000058,"Miller, C.",yes
WVV00000001,WVL000102,Sigler,yes
WVV00000001,WVL000065,Barker,yes
WVV00000001,WVL000038,Givens,yes
WVV00000001,WVL000129,"Miller, J.",yes
WVV00000001,WVL000094,Skaff,yes
WVV00000001,WVL000101,Boggs,yes
WVV00000001,WVL000090,Guthrie,yes
WVV00000001,WVL000074,Moore,yes
WVV00000001,WVL000106,Smith,yes
WVV00000001,WVL000047,Border,yes
WVV00000001,WVL000072,Hall,yes
WVV00000001,WVL000059,Morgan,yes
WVV00000001,WVL000082,Snuffer,yes
WVV00000001,WVL000089,Brown,yes
WVV00000001,WVL000107,Hamilton,yes
WVV00000001,WVL000080,Moye,yes
WVV00000001,WVL000061,Sobonya,yes
WVV00000001,WVL000066,Butcher,yes
WVV00000001,WVL000105,Hartman,yes
WVV00000001,WVL000093,Nelson,yes
WVV00000001,WVL000088,Staggers,yes
WVV00000001,WVL000104,"Campbell, D.",yes
WVV00000001,WVL000091,Hatfield,yes
WVV00000001,WVL000081,O'Neal,yes
WVV00000001,WVL000062,Stephens,yes
WVV00000001,WVL000084,"Campbell, T.",yes
WVV00000001,WVL000132,Householder,yes
WVV00000001,WVL000131,Overington,yes
WVV00000001,WVL000040,Storch,yes
WVV00000001,WVL000109,Cann,yes
WVV00000001,WVL000125,Howell,yes
WVV00000001,WVL000120,Pasdon,yes
WVV00000001,WVL000069,Stowers,yes
WVV00000001,WVL000085,Canterbury,yes
WVV00000001,WVL000092,Hunt,yes
WVV00000001,WVL000054,Paxton,yes
WVV00000001,WVL000083,Sumner,yes
WVV00000001,WVL000114,Caputo,yes
WVV00000001,WVL000111,Iaquinta,yes
WVV00000001,WVL000063,Perdue,yes
WVV00000001,WVL000036,Swartzmiller,yes
WVV00000001,WVL000052,Carmichael,yes
WVV00000001,WVL000045,Ireland,yes
WVV00000001,WVL000086,Perry,yes
WVV00000001,WVL000103,Talbott,yes
WVV00000001,WVL000127,Cowles,yes
WVV00000001,WVL000035,Jones,yes
WVV00000001,WVL000043,Pethtel,yes
WVV00000001,WVL000042,Varner,yes
WVV00000001,WVL000057,Craig,yes
WVV00000001,WVL000070,Kominar,yes
WVV00000001,WVL000073,"Phillips, L.",yes
WVV00000001,WVL000100,Walker,yes
WVV00000001,WVL000133,Doyle,yes
WVV00000001,WVL000128,Kump,yes
WVV00000001,WVL000067,"Phillips, R.",yes
WVV00000001,WVL000099,Walters,yes
WVV00000001,WVL000130,Duke,yes
WVV00000001,WVL000098,Lane,yes
WVV00000001,WVL000087,Pino,yes
WVV00000001,WVL000095,Wells,yes
WVV00000001,WVL000049,Ellem,yes
WVV00000001,WVL000134,Lawrence,yes
WVV00000001,WVL000050,"Poling, D.",yes
WVV00000001,WVL000071,White,yes
WVV00000001,WVL000076,Ellington,yes
WVV00000001,WVL000115,Longstreth,yes
WVV00000001,WVL000108,"Poling, M.",yes
