state,session,chamber,bill_id,type,name,leg_id
wv,2011,lower,HB 2001,primary,Boggs,WVL000101
wv,2011,lower,HB 2001,cosponsor,Armstead,WVL000097
wv,2011,lower,HB 2002,primary,Iaquinta,WVL000111
wv,2011,lower,HB 2002,cosponsor,Miley,WVL000112
wv,2011,lower,HB 2002,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2003,primary,Doyle,WVL000133
wv,2011,lower,HB 2003,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2003,cosponsor,Duke,WVL000130
wv,2011,lower,HB 2003,cosponsor,Manchin,WVL000116
wv,2011,lower,HB 2004,primary,Perry,WVL000086
wv,2011,lower,HB 2004,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2004,cosponsor,Evans,WVL000124
wv,2011,lower,HB 2005,primary,Doyle,WVL000133
wv,2011,lower,HB 2005,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2006,primary,Staggers,WVL000088
wv,2011,lower,HB 2006,cosponsor,Moye,WVL000080
wv,2011,lower,HB 2006,cosponsor,Shaver,WVL000122
wv,2011,lower,HB 2006,cosponsor,Perry,WVL000086
wv,2011,lower,HB 2006,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2006,cosponsor,Smith,WVL000106
wv,2011,lower,HB 2006,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2006,cosponsor,Michael,WVL000123
wv,2011,lower,HB 2007,primary,Canterbury,WVL000085
wv,2011,lower,HB 2007,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2008,primary,Doyle,WVL000133
wv,2011,lower,HB 2008,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2009,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2009,cosponsor,Hatfield,WVL000091
wv,2011,lower,HB 2009,cosponsor,Craig,WVL000057
wv,2011,lower,HB 2009,cosponsor,Guthrie,WVL000090
wv,2011,lower,HB 2009,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2009,cosponsor,Kominar,WVL000070
wv,2011,lower,HB 2009,cosponsor,Poore,WVL000096
wv,2011,lower,HB 2010,primary,Miley,WVL000112
wv,2011,lower,HB 2010,cosponsor,Barker,WVL000065
wv,2011,lower,HB 2010,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2010,cosponsor,Ferro,WVL000041
wv,2011,lower,HB 2010,cosponsor,Ellem,WVL000049
wv,2011,lower,HB 2011,primary,Guthrie,WVL000090
wv,2011,lower,HB 2011,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2011,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2012,primary,Mr. Speaker,
wv,2011,lower,HB 2012,cosponsor,Armstead,WVL000097
wv,2011,lower,HB 2013,primary,Hamilton,WVL000107
wv,2011,lower,HB 2013,cosponsor,Staggers,WVL000088
wv,2011,lower,HB 2014,primary,Perry,WVL000086
wv,2011,lower,HB 2014,cosponsor,Staggers,WVL000088
wv,2011,lower,HB 2015,primary,Mahan,WVL000079
wv,2011,lower,HB 2015,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2015,cosponsor,Overington,WVL000131
wv,2011,lower,HB 2015,cosponsor,"Poling, D.",WVL000050
wv,2011,lower,HB 2016,primary,Doyle,WVL000133
wv,2011,lower,HB 2016,cosponsor,Overington,WVL000131
wv,2011,lower,HB 2016,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2016,cosponsor,Michael,WVL000123
wv,2011,lower,HB 2017,primary,Marshall,WVL000119
wv,2011,lower,HB 2017,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2018,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2018,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2018,cosponsor,Fragale,WVL000110
wv,2011,lower,HB 2018,cosponsor,Frazier,WVL000077
wv,2011,lower,HB 2018,cosponsor,Manypenny,WVL000113
wv,2011,lower,HB 2018,cosponsor,Williams,
wv,2011,lower,HB 2019,primary,Perdue,WVL000063
wv,2011,lower,HB 2019,cosponsor,Morgan,WVL000059
wv,2011,lower,HB 2019,cosponsor,Staggers,WVL000088
wv,2011,lower,HB 2020,primary,Skaff,WVL000094
wv,2011,lower,HB 2020,cosponsor,Hamilton,WVL000107
wv,2011,lower,HB 2020,cosponsor,Hall,
wv,2011,lower,HB 2021,primary,Staggers,WVL000088
wv,2011,lower,HB 2021,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2022,primary,Moore,WVL000074
wv,2011,lower,HB 2022,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2022,cosponsor,Shaver,WVL000122
wv,2011,lower,HB 2022,cosponsor,Perdue,WVL000063
wv,2011,lower,HB 2022,cosponsor,Guthrie,WVL000090
wv,2011,lower,HB 2022,cosponsor,Hatfield,WVL000091
wv,2011,lower,HB 2022,cosponsor,"Campbell, T.",WVL000084
wv,2011,lower,HB 2023,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2023,cosponsor,Barker,WVL000065
wv,2011,lower,HB 2023,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2023,cosponsor,Brown,WVL000089
wv,2011,lower,HB 2023,cosponsor,Lawrence,WVL000134
wv,2011,lower,HB 2024,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2024,cosponsor,Manypenny,WVL000113
wv,2011,lower,HB 2024,cosponsor,Brown,WVL000089
wv,2011,lower,HB 2024,cosponsor,Staggers,WVL000088
wv,2011,lower,HB 2025,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2025,cosponsor,Manypenny,WVL000113
wv,2011,lower,HB 2026,primary,Manypenny,WVL000113
wv,2011,lower,HB 2027,primary,Manypenny,WVL000113
wv,2011,lower,HB 2027,cosponsor,Frazier,WVL000077
wv,2011,lower,HB 2027,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2028,primary,Rodighiero,WVL000068
wv,2011,lower,HB 2028,cosponsor,Staggers,WVL000088
wv,2011,lower,HB 2029,primary,Caputo,WVL000114
wv,2011,lower,HB 2029,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2029,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2029,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2030,primary,Doyle,WVL000133
wv,2011,lower,HB 2030,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2030,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2031,primary,Frazier,WVL000077
wv,2011,lower,HB 2031,cosponsor,Stowers,WVL000069
wv,2011,lower,HB 2031,cosponsor,Shaver,WVL000122
wv,2011,lower,HB 2032,primary,Staggers,WVL000088
wv,2011,lower,HB 2032,cosponsor,Moye,WVL000080
wv,2011,lower,HB 2032,cosponsor,Manypenny,WVL000113
wv,2011,lower,HB 2033,primary,Azinger,WVL000048
wv,2011,lower,HB 2033,cosponsor,Evans,WVL000124
wv,2011,lower,HB 2033,cosponsor,"Poling, D.",WVL000050
wv,2011,lower,HB 2034,primary,Ellem,WVL000049
wv,2011,lower,HB 2034,cosponsor,"Poling, D.",WVL000050
wv,2011,lower,HB 2035,primary,Rodighiero,WVL000068
wv,2011,lower,HB 2035,cosponsor,"Miller, J.",WVL000129
wv,2011,lower,HB 2035,cosponsor,"Poling, D.",WVL000050
wv,2011,lower,HB 2035,cosponsor,Moye,WVL000080
wv,2011,lower,HB 2036,primary,Rodighiero,WVL000068
wv,2011,lower,HB 2036,cosponsor,Moye,WVL000080
wv,2011,lower,HB 2036,cosponsor,"Miller, J.",WVL000129
wv,2011,lower,HB 2036,cosponsor,"Poling, D.",WVL000050
wv,2011,lower,HB 2037,primary,Rowan,WVL000126
wv,2011,lower,HB 2038,primary,Butcher,WVL000066
wv,2011,lower,HB 2038,cosponsor,Stowers,WVL000069
wv,2011,lower,HB 2039,primary,Wells,
wv,2011,lower,HB 2039,cosponsor,Iaquinta,WVL000111
wv,2011,lower,HB 2040,primary,Doyle,WVL000133
wv,2011,lower,HB 2041,primary,"Campbell, T.",WVL000084
wv,2011,lower,HB 2041,cosponsor,Paxton,WVL000054
wv,2011,lower,HB 2041,cosponsor,Williams,
wv,2011,lower,HB 2042,primary,Ennis,WVL000037
wv,2011,lower,HB 2042,cosponsor,Swartzmiller,WVL000036
wv,2011,lower,HB 2042,cosponsor,Shaver,WVL000122
wv,2011,lower,HB 2042,cosponsor,Williams,
wv,2011,lower,HB 2043,primary,Rodighiero,WVL000068
wv,2011,lower,HB 2043,cosponsor,Barker,WVL000065
wv,2011,lower,HB 2044,primary,Armstead,WVL000097
wv,2011,lower,HB 2044,cosponsor,Anderson,WVL000046
wv,2011,lower,HB 2044,cosponsor,Craig,WVL000057
wv,2011,lower,HB 2045,primary,Doyle,WVL000133
wv,2011,lower,HB 2045,cosponsor,Brown,WVL000089
wv,2011,lower,HB 2045,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2045,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2045,cosponsor,Michael,WVL000123
wv,2011,lower,HB 2045,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2046,primary,Marshall,WVL000119
wv,2011,lower,HB 2046,cosponsor,Hatfield,WVL000091
wv,2011,lower,HB 2046,cosponsor,Miley,WVL000112
wv,2011,lower,HB 2046,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2047,primary,Butcher,WVL000066
wv,2011,lower,HB 2047,cosponsor,Stowers,WVL000069
wv,2011,lower,HB 2047,cosponsor,Barker,WVL000065
wv,2011,lower,HB 2047,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2048,primary,Sobonya,WVL000061
wv,2011,lower,HB 2048,cosponsor,Sumner,WVL000083
wv,2011,lower,HB 2048,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2048,cosponsor,Rowan,WVL000126
wv,2011,lower,HB 2049,primary,Ellem,WVL000049
wv,2011,lower,HB 2049,cosponsor,"Poling, D.",WVL000050
wv,2011,lower,HB 2049,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2050,primary,Overington,WVL000131
wv,2011,lower,HB 2050,cosponsor,Cowles,WVL000127
wv,2011,lower,HB 2050,cosponsor,"Miller, J.",WVL000129
wv,2011,lower,HB 2050,cosponsor,Andes,WVL000055
wv,2011,lower,HB 2051,primary,Frazier,WVL000077
wv,2011,lower,HB 2051,cosponsor,Shaver,WVL000122
wv,2011,lower,HB 2051,cosponsor,Givens,WVL000038
wv,2011,lower,HB 2051,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2052,primary,Marshall,WVL000119
wv,2011,lower,HB 2052,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2052,cosponsor,Mahan,WVL000079
wv,2011,lower,HB 2052,cosponsor,Guthrie,WVL000090
wv,2011,lower,HB 2052,cosponsor,Kominar,WVL000070
wv,2011,lower,HB 2052,cosponsor,Moye,WVL000080
wv,2011,lower,HB 2053,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2053,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2053,cosponsor,Manypenny,WVL000113
wv,2011,lower,HB 2053,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2053,cosponsor,Lawrence,WVL000134
wv,2011,lower,HB 2054,primary,Shaver,WVL000122
wv,2011,lower,HB 2054,cosponsor,Duke,WVL000130
wv,2011,lower,HB 2054,cosponsor,Butcher,WVL000066
wv,2011,lower,HB 2055,primary,Hamilton,WVL000107
wv,2011,lower,HB 2056,primary,Guthrie,WVL000090
wv,2011,lower,HB 2057,primary,Fragale,WVL000110
wv,2011,lower,HB 2058,primary,Fragale,WVL000110
wv,2011,lower,HB 2059,primary,Givens,WVL000038
wv,2011,lower,HB 2060,primary,Fragale,WVL000110
wv,2011,lower,HB 2061,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2062,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2063,primary,Ferro,WVL000041
wv,2011,lower,HB 2064,primary,Evans,WVL000124
wv,2011,lower,HB 2065,primary,Ennis,WVL000037
wv,2011,lower,HB 2066,primary,Ellem,WVL000049
wv,2011,lower,HB 2067,primary,Ellem,WVL000049
wv,2011,lower,HB 2068,primary,Ellem,WVL000049
wv,2011,lower,HB 2069,primary,Craig,WVL000057
wv,2011,lower,HB 2070,primary,Craig,WVL000057
wv,2011,lower,HB 2071,primary,Caputo,WVL000114
wv,2011,lower,HB 2072,primary,Marshall,WVL000119
wv,2011,lower,HB 2073,primary,Overington,WVL000131
wv,2011,lower,HB 2074,primary,Moye,WVL000080
wv,2011,lower,HB 2075,primary,Morgan,WVL000059
wv,2011,lower,HB 2076,primary,"Miller, J.",WVL000129
wv,2011,lower,HB 2077,primary,Iaquinta,WVL000111
wv,2011,lower,HB 2078,primary,Hall,
wv,2011,lower,HB 2079,primary,Fleischauer,WVL000118
wv,2011,lower,HB 2079,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2079,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2080,primary,Perdue,WVL000063
wv,2011,lower,HB 2080,cosponsor,Hatfield,WVL000091
wv,2011,lower,HB 2081,primary,Manypenny,WVL000113
wv,2011,lower,HB 2081,cosponsor,Perdue,WVL000063
wv,2011,lower,HB 2081,cosponsor,Kominar,WVL000070
wv,2011,lower,HB 2082,primary,Ellem,WVL000049
wv,2011,lower,HB 2083,primary,Caputo,WVL000114
wv,2011,lower,HB 2084,primary,Overington,WVL000131
wv,2011,lower,HB 2084,cosponsor,Duke,WVL000130
wv,2011,lower,HB 2084,cosponsor,"Miller, J.",WVL000129
wv,2011,lower,HB 2085,primary,Caputo,WVL000114
wv,2011,lower,HB 2085,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2086,primary,Fragale,WVL000110
wv,2011,lower,HB 2086,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2087,primary,Walters,WVL000099
wv,2011,lower,HB 2087,cosponsor,Iaquinta,WVL000111
wv,2011,lower,HB 2087,cosponsor,Crosier,WVL000078
wv,2011,lower,HB 2087,cosponsor,Azinger,WVL000048
wv,2011,lower,HB 2088,primary,Caputo,WVL000114
wv,2011,lower,HB 2088,cosponsor,Paxton,WVL000054
wv,2011,lower,HB 2089,primary,Fragale,WVL000110
wv,2011,lower,HB 2089,cosponsor,Iaquinta,WVL000111
wv,2011,lower,HB 2090,primary,Cowles,WVL000127
wv,2011,lower,HB 2091,primary,Cowles,WVL000127
wv,2011,lower,HB 2092,primary,Cowles,WVL000127
wv,2011,lower,HB 2093,primary,Cowles,WVL000127
wv,2011,lower,HB 2094,primary,Cowles,WVL000127
wv,2011,lower,HB 2095,primary,"Miller, C.",WVL000058
wv,2011,lower,HB 2096,primary,Guthrie,WVL000090
wv,2011,lower,HB 2097,primary,Doyle,WVL000133
wv,2011,lower,HB 2098,primary,Duke,WVL000130
wv,2011,lower,HB 2099,primary,Wells,
wv,2011,lower,HB 2100,primary,Cann,WVL000109
wv,2011,lower,HB 2100,cosponsor,Fragale,WVL000110
wv,2011,lower,HB 2100,cosponsor,Iaquinta,WVL000111
wv,2011,lower,HB 2100,cosponsor,Miley,WVL000112
wv,2011,lower,HB 2101,primary,Hamilton,WVL000107
wv,2011,lower,HB 2101,cosponsor,Duke,WVL000130
wv,2011,lower,HB 2101,cosponsor,Sumner,WVL000083
wv,2011,lower,HB 2102,primary,Williams,
wv,2011,lower,HB 2103,primary,Fragale,WVL000110
wv,2011,lower,HB 2103,cosponsor,Iaquinta,WVL000111
wv,2011,lower,HB 2104,primary,Iaquinta,WVL000111
wv,2011,lower,HB 2104,cosponsor,Barker,WVL000065
wv,2011,lower,HB 2104,cosponsor,Fragale,WVL000110
wv,2011,lower,HB 2104,cosponsor,Azinger,WVL000048
wv,2011,lower,HB 2105,primary,Ireland,WVL000045
wv,2011,lower,HB 2105,cosponsor,Romine,WVL000044
wv,2011,lower,HB 2106,primary,Walters,WVL000099
wv,2011,lower,HB 2106,cosponsor,Azinger,WVL000048
wv,2011,lower,HB 2107,primary,Evans,WVL000124
wv,2011,lower,HB 2107,cosponsor,Romine,WVL000044
wv,2011,lower,HB 2107,cosponsor,Azinger,WVL000048
wv,2011,lower,HB 2107,cosponsor,Rowan,WVL000126
wv,2011,lower,HB 2108,primary,Fragale,WVL000110
wv,2011,lower,HB 2108,cosponsor,Iaquinta,WVL000111
wv,2011,lower,HB 2108,cosponsor,Miley,WVL000112
wv,2011,lower,HB 2109,primary,Ennis,WVL000037
wv,2011,lower,HB 2110,primary,Romine,WVL000044
wv,2011,lower,HB 2110,cosponsor,Ellem,WVL000049
wv,2011,lower,HB 2111,primary,Shaver,WVL000122
wv,2011,lower,HB 2111,cosponsor,Williams,
wv,2011,lower,HB 2112,primary,Duke,WVL000130
wv,2011,lower,HB 2112,cosponsor,"Miller, J.",WVL000129
wv,2011,lower,HB 2112,cosponsor,Romine,WVL000044
wv,2011,lower,HB 2112,cosponsor,Ireland,WVL000045
wv,2011,lower,HB 2113,primary,Craig,WVL000057
wv,2011,lower,HB 2113,cosponsor,Morgan,WVL000059
wv,2011,lower,HB 2114,primary,Caputo,WVL000114
wv,2011,lower,HB 2114,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2115,primary,Doyle,WVL000133
wv,2011,lower,HB 2115,cosponsor,Overington,WVL000131
wv,2011,lower,HB 2116,primary,Ennis,WVL000037
wv,2011,lower,HB 2117,primary,Perry,WVL000086
wv,2011,lower,HB 2118,primary,Perry,WVL000086
wv,2011,lower,HB 2119,primary,Rodighiero,WVL000068
wv,2011,lower,HB 2120,primary,Rodighiero,WVL000068
wv,2011,lower,HB 2121,primary,Rodighiero,WVL000068
wv,2011,lower,HB 2122,primary,Hunt,WVL000092
wv,2011,lower,HB 2123,primary,Hunt,WVL000092
wv,2011,lower,HB 2124,primary,Hunt,WVL000092
wv,2011,lower,HB 2125,primary,Hunt,WVL000092
wv,2011,lower,HB 2126,primary,Paxton,WVL000054
wv,2011,lower,HB 2127,primary,Paxton,WVL000054
wv,2011,lower,HB 2128,primary,Paxton,WVL000054
wv,2011,lower,HB 2129,primary,Paxton,WVL000054
wv,2011,lower,HB 2130,primary,Paxton,WVL000054
wv,2011,lower,HB 2131,primary,Paxton,WVL000054
wv,2011,lower,HB 2132,primary,Perry,WVL000086
wv,2011,lower,HB 2133,primary,Canterbury,WVL000085
wv,2011,lower,HB 2134,primary,"Miller, C.",WVL000058
wv,2011,lower,HB 2135,primary,Manypenny,WVL000113
wv,2011,lower,HB 2135,cosponsor,Marshall,WVL000119
wv,2011,lower,HB 2135,cosponsor,Guthrie,WVL000090
wv,2011,lower,HB 2135,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2135,cosponsor,Martin,WVL000053
wv,2011,lower,HB 2135,cosponsor,Fleischauer,WVL000118
wv,2011,lower,HB 2135,cosponsor,Talbott,WVL000103
wv,2011,lower,HB 2136,primary,Doyle,WVL000133
wv,2011,lower,HB 2136,cosponsor,Brown,WVL000089
wv,2011,lower,HB 2136,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2137,primary,Boggs,WVL000101
wv,2011,lower,HB 2137,cosponsor,Perry,WVL000086
wv,2011,lower,HB 2137,cosponsor,Moore,WVL000074
wv,2011,lower,HB 2137,cosponsor,Miley,WVL000112
wv,2011,lower,HB 2137,cosponsor,Kominar,WVL000070
wv,2011,lower,HB 2137,cosponsor,Azinger,WVL000048
