state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
wv,2011,upper,SB 35,WVV00000001,lower,PASSAGE,2011-03-12 00:00:00,other,98,0,2
wv,2011,upper,SB 60,WVV00000002,lower,PASSAGE,2011-03-04 00:00:00,other,98,0,2
wv,2011,upper,SB 60,WVV00000003,lower,EFFECT FROM PASSAGE,2011-03-04 00:00:00,other,98,0,2
wv,2011,upper,SB 61,WVV00000004,lower,PASSAGE,2011-03-04 00:00:00,other,97,0,3
wv,2011,upper,SB 93,WVV00000005,lower,PASSAGE,2011-03-10 00:00:00,other,98,0,2
wv,2011,upper,SB 96,WVV00000006,lower,PASSAGE,2011-03-10 00:00:00,other,84,15,1
wv,2011,upper,SB 96,WVV00000007,lower,"EFFECT JULY 1, 2011",2011-03-10 00:00:00,other,91,8,1
wv,2011,upper,SB 112,WVV00000008,lower,PASSAGE,2011-03-11 00:00:00,other,68,30,2
wv,2011,upper,SB 112,WVV00000009,lower,EFFECT FROM PASSAGE,2011-03-11 00:00:00,other,75,24,1
wv,2011,upper,SB 121,WVV00000010,lower,PASSAGE,2011-03-11 00:00:00,other,67,32,1
wv,2011,upper,SB 121,WVV00000011,lower,EFFECT FROM PASSAGE,2011-03-11 00:00:00,other,72,27,1
wv,2011,upper,SB 121,WVV00000012,lower,OVERRIDE VETO,2011-03-18 00:00:00,other,61,29,10
wv,2011,upper,SB 121,WVV00000013,lower,EFFECT FROM PASSAGE,2011-03-18 00:00:00,other,65,25,10
wv,2011,upper,SB 177,WVV00000014,lower,PASSAGE,2011-03-11 00:00:00,other,72,27,1
wv,2011,upper,SB 177,WVV00000015,lower,EFFECT FROM PASSAGE,2011-03-11 00:00:00,other,73,25,2
wv,2011,upper,SB 184,WVV00000016,lower,PASSAGE,2011-02-04 00:00:00,other,92,0,8
wv,2011,upper,SB 186,WVV00000017,lower,PASSAGE,2011-03-10 00:00:00,other,98,0,2
wv,2011,upper,SB 192,WVV00000018,lower,HFA MILEY 3-12 #1,2011-03-12 00:00:00,other,53,44,3
wv,2011,upper,SB 192,WVV00000019,lower,PASSAGE,2011-03-12 00:00:00,other,85,13,2
wv,2011,upper,SB 192,WVV00000020,lower,PASSAGE,2011-03-12 00:00:00,other,90,9,1
wv,2011,upper,SB 193,WVV00000021,lower,PASSAGE,2011-03-12 00:00:00,other,99,0,1
wv,2011,upper,SB 200,WVV00000022,lower,PASSAGE,2011-02-07 00:00:00,other,97,0,3
wv,2011,upper,SB 200,WVV00000023,lower,EFFECT FROM PASSAGE,2011-02-07 00:00:00,other,97,0,3
wv,2011,upper,SB 205,WVV00000024,lower,PASSAGE,2011-02-18 00:00:00,other,95,0,5
wv,2011,upper,SB 205,WVV00000025,lower,EFFECT FROM PASSAGE,2011-02-18 00:00:00,other,94,1,5
wv,2011,upper,SB 213,WVV00000026,lower,PASSAGE,2011-03-10 00:00:00,other,99,0,1
wv,2011,upper,SB 215,WVV00000027,lower,PASSAGE,2011-02-18 00:00:00,other,95,0,5
wv,2011,upper,SB 215,WVV00000028,lower,EFFECT FROM PASSAGE,2011-02-18 00:00:00,other,94,0,6
