state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
wv,2011,lower,HB 2001,Providing that inmates serving life sentences shall be considered for parole only once every three years,2011-07-25 15:16:25.454000,2012-03-20 20:43:01.019000,bill,
wv,2011,lower,HB 2002,Relating to the denial of course credits for unexcused absences in school,2011-07-25 15:16:25.461000,2012-03-20 20:43:01.232000,bill,
wv,2011,lower,HB 2003,Giving state institutions of higher education more flexibility in the planning and operation of their schools,2011-07-25 15:16:25.465000,2012-03-20 20:43:01.391000,bill,
wv,2011,lower,HB 2004,"Creating and issuing special registration plates bearing the inscription ""In God We Trust""",2011-07-25 15:16:25.468000,2012-03-20 20:43:01.605000,bill,
wv,2011,lower,HB 2005,Extending the provisions of the Higher Education Flexibility Act,2011-07-25 15:16:25.471000,2012-03-20 20:43:01.755000,bill,
wv,2011,lower,HB 2006,Providing a rebuttable presumption that a firefighter has developed a pulmonary disease or sustained a cardiovascular injury,2011-07-25 15:16:25.474000,2012-03-20 20:43:01.962000,bill,
wv,2011,lower,HB 2007,Authorizing counties to create urban growth boundaries,2011-07-25 15:16:25.477000,2012-03-20 20:43:02.122000,bill,
wv,2011,lower,HB 2008,Relating to licensing exemptions of persons who only perform the duty of hair washing for a licensed barber or cosmetologist,2011-07-25 15:16:25.490000,2012-03-20 20:43:02.335000,bill,
wv,2011,lower,HB 2009,Providing a tax incentive to dental practitioners to perform dental services at no cost to indigent patients,2011-07-25 15:16:25.494000,2012-03-20 20:43:02.608000,bill,
wv,2011,lower,HB 2010,Uniform Collateral Consequences of Conviction Act,2011-07-25 15:16:25.497000,2012-03-20 20:43:02.830000,bill,
wv,2011,lower,HB 2011,Using the Crime Victims Fund to fill-in a portion of the property damage deductible for victims of the negligence of an uninsured driver,2011-07-25 15:16:25.500000,2012-03-20 20:43:03.067000,bill,
wv,2011,lower,HB 2012,"Budget Bill, making appropriations of public money out of the treasury in accordance with section fifty-one, article six of the Constitution",2011-07-25 15:16:25.540000,2012-03-20 20:43:03.780000,bill,
wv,2011,lower,HB 2013,Requiring the West Virginia Enhanced 911 Council to propose Emergency Medical Dispatch procedures,2011-07-25 15:16:25.552000,2012-03-20 20:43:04.605000,bill,
wv,2011,lower,HB 2014,Relating to the practice of medical imaging and radiation therapy,2011-07-25 15:16:25.556000,2012-03-20 20:43:04.817000,bill,
