id,state,chamber,committee,subcommittee,parent_id
WVC000022,wv,lower,Constitutional Revision,,
WVC000026,wv,lower,Government Organization,,
WVC000029,wv,lower,Interstate Cooperation,,
WVC000030,wv,lower,Judiciary,,
WVC000020,wv,lower,Agriculture,,
WVC000021,wv,lower,Banking & Insurance,,
WVC000023,wv,lower,Education,,
WVC000024,wv,lower,Enrolled Bills,,
WVC000025,wv,lower,Finance,,
WVC000027,wv,lower,Health & Human Resources,,
WVC000028,wv,lower,"Energy, Industry & Labor, Economic Development & Small Business",,
WVC000031,wv,lower,Natural Resources,,
WVC000032,wv,lower,Pensions & Retirement,,
WVC000033,wv,lower,Political Subdivisions,,
WVC000034,wv,lower,Roads & Transportation,,
WVC000036,wv,lower,Senior Citizen Issues,,
WVC000037,wv,lower,Veterans Affairs & Homeland Security,,
WVC000035,wv,lower,Rules,,
WVC000002,wv,upper,Banking and Insurance,,
WVC000038,wv,upper,Select Committee on Children and Poverty,,
WVC000011,wv,upper,Interstate Cooperation,,
WVC000004,wv,upper,Economic Development,,
WVC000005,wv,upper,Education,,
WVC000007,wv,upper,Enrolled Bills,,
WVC000008,wv,upper,Finance,,
WVC000010,wv,upper,Health and Human Resources,,
WVC000018,wv,upper,Select Committee on Redistricting,,
WVC000019,wv,upper,Transportation and Infrastructure,,
WVC000001,wv,upper,Agriculture and Rural Development,,
WVC000003,wv,upper,Confirmations,,
WVC000006,wv,upper,"Energy, Industry and Mining",,
WVC000009,wv,upper,Government Organization,,
WVC000012,wv,upper,Judiciary,,
WVC000013,wv,upper,Labor,,
WVC000014,wv,upper,Military,,
WVC000015,wv,upper,Natural Resources,,
WVC000016,wv,upper,Pensions,,
WVC000017,wv,upper,Rules,,
