leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
WVL000015,member,2011-2012,17,upper,wv,Democratic,,,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Health,Subcommittee A,,
WVL000015,committee member,2011-2012,,upper,wv,,,Pensions and Retirement,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Minority Issues,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Education,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Education,Subcommittee A - Student Wellness,,
WVL000015,committee member,2011-2012,,upper,wv,,,Education,Subcommittee C - Judicial Issues,,
WVL000015,committee member,2011-2012,,upper,wv,,,Equal Pay Commission,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Government Organization,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Government Organization,Subcommittee C,,
WVL000015,committee member,2011-2012,,upper,wv,,,Health,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Health and Human Resources Accountability,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Judiciary,,,
WVL000015,committee member,2011-2012,,upper,wv,,,Judiciary,Subcommittee A,,
WVL000015,committee member,2011-2012,,upper,wv,,,"PEIA, Seniors and Long Term Care",,,
WVL000019,member,2011-2012,9,upper,wv,Democratic,,,,,
WVL000019,committee member,2011-2012,,upper,wv,,,Economic Development,,,
WVL000019,committee member,2011-2012,,upper,wv,,,Education,,,
WVL000019,committee member,2011-2012,,upper,wv,,,Education Accountability,,,
WVL000019,committee member,2011-2012,,upper,wv,,,Education,Subcommittee A - Student Wellness,,
WVL000019,committee member,2011-2012,,upper,wv,,,Education,Subcommittee B - Education Audit & Fiscal Issues,,
WVL000019,committee member,2011-2012,,upper,wv,,,Government Organization,,,
WVL000019,committee member,2011-2012,,upper,wv,,,Government Organization,Subcommittee C,,
WVL000019,committee member,2011-2012,,upper,wv,,,Judiciary,,,
WVL000019,committee member,2011-2012,,upper,wv,,,Judiciary,Subcommittee B,,
WVL000019,committee member,2011-2012,,upper,wv,,,Judiciary,Subcommittee C,,
WVL000019,committee member,2011-2012,,upper,wv,,,Outcomes-Based Funding Models in Higher Education,,,
WVL000012,member,2011-2012,6,upper,wv,Democratic,,,,,
WVL000012,committee member,2011-2012,,upper,wv,,,"Children, Juveniles and Other Issues",,,
WVL000012,committee member,2011-2012,,upper,wv,,,Forest Management Review Commission,,,
WVL000012,committee member,2011-2012,,upper,wv,,,Intern Committee,,,
WVL000012,committee member,2011-2012,,upper,wv,,,Judiciary,,,
WVL000012,committee member,2011-2012,,upper,wv,,,Judiciary,Subcommittee B,,
WVL000012,committee member,2011-2012,,upper,wv,,,Technology,,,
WVL000038,member,2011-2012,2,lower,wv,Democratic,,,,,
WVL000038,committee member,2011-2012,,lower,wv,,,Government Organization,,,
WVL000038,committee member,2011-2012,,lower,wv,,,Pensions and Retirement,,,
WVL000038,committee member,2011-2012,,lower,wv,,,Veterans Affairs/ Homeland Security,,,
WVL000038,committee member,2011-2012,,lower,wv,,,Government Organization,,,
WVL000038,committee member,2011-2012,,lower,wv,,,Government Organization,Subcommittee C,,
WVL000038,committee member,2011-2012,,lower,wv,,,Pensions and Retirement,,,
WVL000042,member,2011-2012,4,lower,wv,Democratic,,,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Constitutional Revision,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Finance,,,
WVL000042,committee member,2011-2012,,lower,wv,,,House Rules,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Natural Resources,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Political Subdivisions,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Finance,Subcommittee C,,
WVL000042,committee member,2011-2012,,lower,wv,,,Intern Committee,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Technology,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Finance,,,
WVL000042,committee member,2011-2012,,lower,wv,,,Government Operations,,,
WVL000053,member,2011-2012,13,lower,wv,Democratic,,,,,
WVL000053,committee member,2011-2012,,lower,wv,,,Agriculture,,,
WVL000053,committee member,2011-2012,,lower,wv,,,Government Organization,,,
WVL000053,committee member,2011-2012,,lower,wv,,,"Energy, Industry and Labor/Economic Development and Small Business",,,
WVL000053,committee member,2011-2012,,lower,wv,,,Natural Resources,,,
WVL000053,committee member,2011-2012,,lower,wv,,,Government Organization,,,
WVL000053,committee member,2011-2012,,lower,wv,,,Government Organization,Subcommittee A,,
WVL000053,committee member,2011-2012,,lower,wv,,,Government Organization,Subcommittee C,,
WVL000056,member,2011-2012,14,lower,wv,Republican,,,,,
WVL000056,committee member,2011-2012,,lower,wv,,,Banking and Insurance,,,
WVL000056,committee member,2011-2012,,lower,wv,,,Education,,,
WVL000056,committee member,2011-2012,,lower,wv,,,"Energy, Industry and Labor/Economic Development and Small Business",,,
WVL000056,committee member,2011-2012,,lower,wv,,,Roads and Transportation,,,
WVL000056,committee member,2011-2012,,lower,wv,,,Education,,,
WVL000056,committee member,2011-2012,,lower,wv,,,Education,Subcommittee B - Education Audit & Fiscal Issues,,
WVL000078,member,2011-2012,26,lower,wv,Democratic,,,,,
WVL000078,committee member,2011-2012,,lower,wv,,,Natural Resources,,,
WVL000078,committee member,2011-2012,,lower,wv,,,Education,,,
