state,session,chamber,bill_id,date,action,actor,type
wy,2011,lower,HB 1,2011-02-03 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 1,2011-02-03 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 1,2011-02-14 00:00:00,Introduced and Referred to COW,lower,bill:introduced|committee:referred
wy,2011,lower,HB 1,2011-02-14 00:00:00,Passed CoW,lower,other
wy,2011,lower,HB 1,2011-02-15 00:00:00,Passed 2nd Reading,lower,bill:reading:2
wy,2011,lower,HB 1,2011-02-17 00:00:00,Passed 3rd Reading,lower,bill:reading:3|bill:passed
wy,2011,lower,HB 1,2011-02-18 00:00:00,Received for Introduction,upper,other
wy,2011,lower,HB 1,2011-02-18 00:00:00,Introduced and Referred to S02,upper,bill:introduced|committee:referred
wy,2011,lower,HB 1,2011-02-22 00:00:00,Pursuant to Joint Rule 14-1 Sent to JCC01,upper,other
wy,2011,lower,HB 1,2011-02-22 00:00:00,Appointed  JCC01 Members,upper,other
wy,2011,lower,HB 1,2011-02-22 00:00:00,Appointed JCC01 Members,lower,other
wy,2011,lower,HB 1,2011-02-25 00:00:00,See Mirror Bill SF0001,lower,other
wy,2011,lower,HB 10,2010-11-22 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 10,2011-01-11 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 10,2011-01-11 00:00:00,Introduced and Referred to H07,lower,bill:introduced|committee:referred
wy,2011,lower,HB 10,2011-01-18 00:00:00,H07 Recommended Amend and Do Pass,lower,committee:passed:favorable
wy,2011,lower,HB 10,2011-01-18 00:00:00,Placed on General File; Did Not Consider in CoW,lower,other
wy,2011,lower,HB 100,2011-01-10 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 100,2011-01-11 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 100,2011-01-12 00:00:00,Introduced and Referred to H06,lower,bill:introduced|committee:referred
wy,2011,lower,HB 100,2011-01-17 00:00:00,H06 Recommended Do Pass,lower,committee:passed:favorable
wy,2011,lower,HB 100,2011-01-17 00:00:00,Placed on General File,lower,other
wy,2011,lower,HB 100,2011-01-18 00:00:00,Passed CoW,lower,other
wy,2011,lower,HB 100,2011-01-19 00:00:00,Passed 2nd Reading,lower,bill:reading:2
wy,2011,lower,HB 100,2011-01-20 00:00:00,Passed 3rd Reading,lower,bill:reading:3|bill:passed
wy,2011,lower,HB 100,2011-01-20 00:00:00,Received for Introduction,upper,other
wy,2011,lower,HB 100,2011-01-27 00:00:00,Introduced and Referred to S06,upper,bill:introduced|committee:referred
wy,2011,lower,HB 100,2011-02-01 00:00:00,S06 Recommended Do Pass,upper,committee:passed:favorable
wy,2011,lower,HB 100,2011-02-01 00:00:00,Placed on General File,upper,other
wy,2011,lower,HB 100,2011-02-23 00:00:00,Passed CoW,upper,other
wy,2011,lower,HB 100,2011-02-24 00:00:00,Passed 2nd Reading,upper,bill:reading:2
wy,2011,lower,HB 100,2011-02-25 00:00:00,Passed 3rd Reading,upper,bill:reading:3|bill:passed
wy,2011,lower,HB 100,2011-02-25 00:00:00,Received for Concurrence,lower,other
wy,2011,lower,HB 100,2011-02-25 00:00:00,Did Not Concur,lower,other
wy,2011,lower,HB 100,2011-02-25 00:00:00,Appointed JCC01 Members,lower,other
wy,2011,lower,HB 100,2011-02-25 00:00:00,Appointed  JCC01 Members,upper,other
wy,2011,lower,HB 100,2011-03-01 00:00:00,Adopted HB0100JC01,lower,other
wy,2011,lower,HB 100,2011-03-02 00:00:00,Adopted HB0100JC01,upper,other
wy,2011,lower,HB 100,2011-03-02 00:00:00,Assigned Number HEA No. 0100,upper,other
wy,2011,lower,HB 100,2011-03-03 00:00:00,Speaker Signed HEA No. 0100,lower,other
wy,2011,lower,HB 100,2011-03-03 00:00:00,President Signed HEA No. 0100,upper,other
wy,2011,lower,HB 100,2011-03-10 00:00:00,Governor Signed HEA No. 0100,upper,governor:signed
wy,2011,lower,HB 100,2011-03-10 00:00:00,Assigned Chapter Number,upper,other
wy,2011,lower,HB 101,2011-01-10 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 101,2011-01-11 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 101,2011-01-13 00:00:00,Introduced and Referred to H06,lower,bill:introduced|committee:referred
wy,2011,lower,HB 101,2011-01-20 00:00:00,H06 Recommended Amend and Do Pass,lower,committee:passed:favorable
wy,2011,lower,HB 101,2011-01-20 00:00:00,Placed on General File,lower,other
wy,2011,lower,HB 101,2011-01-21 00:00:00,Passed CoW,lower,other
wy,2011,lower,HB 101,2011-01-24 00:00:00,Passed 2nd Reading,lower,bill:reading:2
wy,2011,lower,HB 101,2011-01-25 00:00:00,Passed 3rd Reading,lower,bill:reading:3|bill:passed
wy,2011,lower,HB 101,2011-01-27 00:00:00,Received for Introduction,upper,other
wy,2011,lower,HB 101,2011-01-28 00:00:00,Introduced and Referred to S06,upper,bill:introduced|committee:referred
wy,2011,lower,HB 101,2011-02-03 00:00:00,S06 Recommended Amend and Do Pass,upper,committee:passed:favorable
wy,2011,lower,HB 101,2011-02-03 00:00:00,Placed on General File,upper,other
wy,2011,lower,HB 101,2011-02-10 00:00:00,Failed CoW; Indef Postponed,upper,other
wy,2011,lower,HB 102,2011-01-10 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 102,2011-01-11 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 102,2011-01-13 00:00:00,Introduced and Referred to H06; No Report Prior to CoW Cutoff,lower,bill:introduced|committee:referred
wy,2011,lower,HB 102,2011-01-21 00:00:00,Motion to Do Pass Failed,lower,committee:failed
wy,2011,lower,HB 102,2011-03-01 00:00:00,Committee Returned Bill Pursuant to HR 4-3(c),lower,other
wy,2011,lower,HB 103,2011-01-10 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 103,2011-01-11 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 103,2011-01-12 00:00:00,Introduced and Referred to H10,lower,bill:introduced|committee:referred
wy,2011,lower,HB 103,2011-01-28 00:00:00,H10 Recommended Amend and Do Pass,lower,committee:passed:favorable
wy,2011,lower,HB 103,2011-01-28 00:00:00,Placed on General File,lower,other
wy,2011,lower,HB 103,2011-02-01 00:00:00,Passed CoW,lower,other
wy,2011,lower,HB 103,2011-02-02 00:00:00,Passed 2nd Reading,lower,bill:reading:2
wy,2011,lower,HB 103,2011-02-03 00:00:00,Passed 3rd Reading,lower,bill:reading:3|bill:passed
wy,2011,lower,HB 103,2011-02-04 00:00:00,Received for Introduction,upper,other
wy,2011,lower,HB 103,2011-02-04 00:00:00,Introduced and Referred to S10,upper,bill:introduced|committee:referred
wy,2011,lower,HB 103,2011-02-17 00:00:00,S10 Recommended Amend and Do Pass,upper,committee:passed:favorable
wy,2011,lower,HB 103,2011-02-17 00:00:00,Placed on General File,upper,other
wy,2011,lower,HB 103,2011-02-25 00:00:00,Passed CoW,upper,other
wy,2011,lower,HB 103,2011-02-28 00:00:00,Passed 2nd Reading,upper,bill:reading:2
wy,2011,lower,HB 103,2011-03-01 00:00:00,Passed 3rd Reading,upper,bill:reading:3|bill:passed
wy,2011,lower,HB 103,2011-03-01 00:00:00,Received for Concurrence,lower,other
wy,2011,lower,HB 103,2011-03-02 00:00:00,Did Concur,lower,other
wy,2011,lower,HB 103,2011-03-02 00:00:00,Assigned Number HEA No. 0095,lower,other
wy,2011,lower,HB 103,2011-03-03 00:00:00,Speaker Signed HEA No. 0095,lower,other
wy,2011,lower,HB 103,2011-03-03 00:00:00,President Signed HEA No. 0095,upper,other
wy,2011,lower,HB 103,2011-03-03 00:00:00,Governor Signed HEA No. 0095,upper,governor:signed
wy,2011,lower,HB 103,2011-03-03 00:00:00,Assigned Chapter Number,upper,other
wy,2011,lower,HB 104,2011-01-10 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 104,2011-01-11 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 104,2011-01-12 00:00:00,Introduced and Referred to H03; No Report Prior to CoW Cutoff,lower,bill:introduced|committee:referred
wy,2011,lower,HB 104,2011-03-01 00:00:00,Committee Returned Bill Pursuant to HR 4-3(c),lower,other
wy,2011,lower,HB 105,2011-01-11 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 105,2011-01-12 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 105,2011-01-13 00:00:00,Introduced and Referred to H01,lower,bill:introduced|committee:referred
wy,2011,lower,HB 105,2011-01-20 00:00:00,H01 Recommended Amend and Do Pass,lower,committee:passed:favorable
wy,2011,lower,HB 105,2011-01-20 00:00:00,Placed on General File,lower,other
wy,2011,lower,HB 105,2011-01-21 00:00:00,Passed CoW,lower,other
wy,2011,lower,HB 105,2011-01-24 00:00:00,Passed 2nd Reading,lower,bill:reading:2
wy,2011,lower,HB 105,2011-01-25 00:00:00,Passed 3rd Reading,lower,bill:reading:3|bill:passed
wy,2011,lower,HB 105,2011-01-27 00:00:00,Received for Introduction,upper,other
wy,2011,lower,HB 105,2011-01-28 00:00:00,Introduced and Referred to S01,upper,bill:introduced|committee:referred
wy,2011,lower,HB 105,2011-02-02 00:00:00,S01 Recommended Do Pass,upper,committee:passed:favorable
wy,2011,lower,HB 105,2011-02-02 00:00:00,Placed on General File,upper,other
wy,2011,lower,HB 105,2011-02-10 00:00:00,Passed CoW,upper,other
wy,2011,lower,HB 105,2011-02-11 00:00:00,Laid Back Without Prejudice,upper,other
wy,2011,lower,HB 105,2011-02-14 00:00:00,Passed 2nd Reading,upper,bill:reading:2
wy,2011,lower,HB 105,2011-02-15 00:00:00,Passed 3rd Reading,upper,bill:reading:3|bill:passed
wy,2011,lower,HB 105,2011-02-15 00:00:00,Received for Concurrence,lower,other
wy,2011,lower,HB 105,2011-02-16 00:00:00,Did Concur,lower,other
wy,2011,lower,HB 105,2011-02-16 00:00:00,Assigned Number HEA No. 0026,lower,other
wy,2011,lower,HB 105,2011-02-16 00:00:00,Speaker Signed HEA No. 0026,lower,other
wy,2011,lower,HB 105,2011-02-16 00:00:00,President Signed HEA No. 0026,upper,other
wy,2011,lower,HB 105,2011-02-18 00:00:00,Governor Signed HEA No. 0026,upper,governor:signed
wy,2011,lower,HB 105,2011-02-18 00:00:00,Assigned Chapter Number,upper,other
wy,2011,lower,HB 106,2011-01-11 00:00:00,Bill Number Assigned,lower,other
wy,2011,lower,HB 106,2011-01-12 00:00:00,Received for Introduction,lower,other
wy,2011,lower,HB 106,2011-01-13 00:00:00,Introduced and Referred to H10,lower,bill:introduced|committee:referred
