vote_id,leg_id,name,vote
WYV00001802,WYL000032,Berger,yes
WYV00001802,WYL000048,Edmonds,yes
WYV00001802,WYL000050,"Esquibel, K.",yes
WYV00001802,WYL000057,Harshman,yes
WYV00001802,WYL000076,Pedersen,yes
WYV00001802,WYL000083,Steward,yes
WYV00001802,WYL000088,Wallis,yes
WYV00001837,WYL000032,Berger,yes
WYV00001837,WYL000048,Edmonds,yes
WYV00001837,WYL000050,"Esquibel, K.",yes
WYV00001837,WYL000057,Harshman,yes
WYV00001837,WYL000076,Pedersen,yes
WYV00001837,WYL000083,Steward,yes
WYV00001837,WYL000088,Wallis,yes
WYV00002652,WYL000004,Burns,yes
WYV00002652,WYL000006,Christensen,yes
WYV00002652,WYL000012,"Esquibel, F.",yes
WYV00002652,WYL000015,Hicks,yes
WYV00002652,WYL000028,Schiffer,yes
WYV00002551,WYL000008,Cooper,yes
WYV00002551,WYL000019,Landen,yes
WYV00002551,WYL000028,Schiffer,yes
WYV00002551,WYL000030,Von Flatern,yes
WYV00002551,WYL000012,"Esquibel, F.",no
WYV00003000,WYL000032,Berger,yes
WYV00003000,WYL000034,Blikre,yes
WYV00003000,WYL000041,Byrd,yes
WYV00003000,WYL000056,Greene,yes
WYV00003000,WYL000106,Paxton,yes
WYV00003000,WYL000078,Petroff,yes
WYV00003000,WYL000089,"Zwonitzer, Dn.",yes
WYV00003000,WYL000052,Gay,no
WYV00003000,WYL000103,Kirkbride,no
WYV00001524,WYL000014,Hastert,yes
WYV00001524,WYL000021,Meier,yes
WYV00001524,WYL000022,"Nicholas, P.",yes
WYV00001524,WYL000025,Peterson,yes
WYV00001524,WYL000030,Von Flatern,yes
WYV00001581,WYL000014,Hastert,yes
WYV00001581,WYL000021,Meier,yes
WYV00001581,WYL000022,"Nicholas, P.",yes
WYV00001581,WYL000025,Peterson,yes
WYV00001581,WYL000030,Von Flatern,yes
WYV00001587,WYL000003,Bebout,yes
WYV00001587,WYL000007,Coe,yes
WYV00001587,WYL000008,Cooper,yes
WYV00001587,WYL000017,Jennings,yes
WYV00001587,WYL000027,Rothfuss,yes
WYV00001588,WYL000014,Hastert,yes
WYV00001588,WYL000021,Meier,yes
WYV00001588,WYL000022,"Nicholas, P.",yes
WYV00001588,WYL000025,Peterson,yes
WYV00001588,WYL000030,Von Flatern,yes
WYV00001627,WYL000004,Burns,yes
WYV00001627,WYL000006,Christensen,yes
WYV00001627,WYL000012,"Esquibel, F.",yes
WYV00001627,WYL000015,Hicks,yes
WYV00001627,WYL000024,Perkins,yes
WYV00001790,WYL000009,Dockstader,yes
WYV00001790,WYL000023,Nutting,yes
WYV00001790,WYL000029,Scott,yes
WYV00001790,WYL000020,Martin,no
WYV00001790,WYL000028,Schiffer,no
WYV00003392,WYL000001,Anderson JD S02,yes
WYV00003392,WYL000093,Anderson JL S28,yes
WYV00003392,WYL000002,Barnard,yes
WYV00003392,WYL000003,Bebout,yes
WYV00003392,WYL000004,Burns,yes
WYV00003392,WYL000006,Christensen,yes
WYV00003392,WYL000007,Coe,yes
WYV00003392,WYL000046,Craft,yes
WYV00003392,WYL000010,Driskill,yes
WYV00003392,WYL000011,Emerich,yes
WYV00003392,WYL000013,Geis,yes
WYV00003392,WYL000014,Hastert,yes
WYV00003392,WYL000015,Hicks,yes
WYV00003392,WYL000019,Landen,yes
WYV00003392,WYL000021,Meier,yes
WYV00003392,WYL000023,Nutting,yes
WYV00003392,WYL000025,Peterson,yes
WYV00003392,WYL000026,Ross,yes
WYV00003392,WYL000027,Rothfuss,yes
WYV00003392,WYL000028,Schiffer,yes
WYV00003392,WYL000030,Von Flatern.,yes
WYV00003392,WYL000005,Case,no
WYV00003392,WYL000008,Cooper,no
WYV00003392,WYL000009,Dockstader,no
WYV00003392,WYL000012,"Esquibel, F.",no
WYV00003392,WYL000016,Hines,no
WYV00003392,WYL000018,Johnson,no
WYV00003392,WYL000029,Scott.,no
WYV00003392,WYL000022,Nicholas P,other
WYV00003392,WYL000024,Perkins.,other
WYV00003390,WYL000001,Anderson JD S02,yes
WYV00003390,WYL000002,Barnard,yes
WYV00003390,WYL000004,Burns,yes
WYV00003390,WYL000008,Cooper,yes
WYV00003390,WYL000046,Craft,yes
WYV00003390,WYL000009,Dockstader,yes
WYV00003390,WYL000010,Driskill,yes
WYV00003390,WYL000012,"Esquibel, F.",yes
WYV00003390,WYL000014,Hastert,yes
WYV00003390,WYL000018,Johnson,yes
WYV00003390,WYL000019,Landen,yes
WYV00003390,WYL000021,Meier,yes
WYV00003390,WYL000025,Peterson,yes
WYV00003390,WYL000027,Rothfuss.,yes
WYV00003390,WYL000093,Anderson JL S28,no
WYV00003390,WYL000003,Bebout,no
WYV00003390,WYL000005,Case,no
WYV00003390,WYL000006,Christensen,no
WYV00003390,WYL000007,Coe,no
WYV00003390,WYL000011,Emerich,no
WYV00003390,WYL000013,Geis,no
WYV00003390,WYL000015,Hicks,no
WYV00003390,WYL000016,Hines,no
WYV00003390,WYL000023,Nutting,no
WYV00003390,WYL000026,Ross,no
WYV00003390,WYL000028,Schiffer,no
WYV00003390,WYL000029,Scott,no
WYV00003390,WYL000030,Von Flatern.,no
WYV00003390,WYL000022,Nicholas P,other
WYV00003390,WYL000024,Perkins.,other
WYV00003398,WYL000093,Anderson JL S28,yes
WYV00003398,WYL000002,Barnard,yes
WYV00003398,WYL000003,Bebout,yes
WYV00003398,WYL000004,Burns,yes
WYV00003398,WYL000006,Christensen,yes
WYV00003398,WYL000007,Coe,yes
WYV00003398,WYL000008,Cooper,yes
WYV00003398,WYL000010,Driskill,yes
WYV00003398,WYL000011,Emerich,yes
WYV00003398,WYL000013,Geis,yes
WYV00003398,WYL000018,Johnson,yes
WYV00003398,WYL000019,Landen,yes
WYV00003398,WYL000025,Peterson,yes
WYV00003398,WYL000026,Ross,yes
WYV00003398,WYL000028,Schiffer.,yes
WYV00003398,WYL000001,Anderson JD S02,no
WYV00003398,WYL000005,Case,no
WYV00003398,WYL000046,Craft,no
WYV00003398,WYL000009,Dockstader,no
WYV00003398,WYL000012,"Esquibel, F.",no
WYV00003398,WYL000014,Hastert,no
WYV00003398,WYL000015,Hicks,no
WYV00003398,WYL000016,Hines,no
WYV00003398,WYL000021,Meier,no
WYV00003398,WYL000023,Nutting,no
WYV00003398,WYL000027,Rothfuss,no
WYV00003398,WYL000029,Scott,no
WYV00003398,WYL000030,Von Flatern.,no
WYV00003398,WYL000022,Nicholas P,other
WYV00003398,WYL000024,Perkins.,other
WYV00003397,WYL000001,Anderson JD S02,yes
WYV00003397,WYL000093,Anderson JL S28,yes
WYV00003397,WYL000002,Barnard,yes
WYV00003397,WYL000003,Bebout,yes
WYV00003397,WYL000004,Burns,yes
WYV00003397,WYL000006,Christensen,yes
WYV00003397,WYL000007,Coe,yes
WYV00003397,WYL000008,Cooper,yes
WYV00003397,WYL000046,Craft,yes
WYV00003397,WYL000010,Driskill,yes
WYV00003397,WYL000011,Emerich,yes
WYV00003397,WYL000012,"Esquibel, F.",yes
WYV00003397,WYL000013,Geis,yes
WYV00003397,WYL000014,Hastert,yes
WYV00003397,WYL000015,Hicks,yes
WYV00003397,WYL000016,Hines,yes
