state,session,chamber,bill_id,type,name,leg_id
wy,2011,lower,HB 1,primary,Joint Appropriations Interim Committee,
wy,2011,lower,HB 10,primary,"Joint Corporations, Elections and Political Subdivisions Interim Committee",
wy,2011,lower,HB 100,primary,Shepperson,
wy,2011,lower,HB 100,primary,Brechtel,WYL000037
wy,2011,lower,HB 100,primary,Connolly,WYL000045
wy,2011,lower,HB 100,primary,McKim,WYL000069
wy,2011,lower,HB 100,primary,Quarberg,WYL000079
wy,2011,lower,HB 100,primary,Teeters,WYL000085
wy,2011,lower,HB 100,primary,Coe,WYL000007
wy,2011,lower,HB 100,primary,Meier,WYL000021
wy,2011,lower,HB 100,primary,Schiffer,WYL000028
wy,2011,lower,HB 101,primary,Moniz,WYL000072
wy,2011,lower,HB 101,primary,Brown,WYL000038
wy,2011,lower,HB 101,primary,Cannady,WYL000043
wy,2011,lower,HB 101,primary,McOmie,WYL000070
wy,2011,lower,HB 101,primary,Dockstader,WYL000009
wy,2011,lower,HB 101,primary,Driskill,WYL000010
wy,2011,lower,HB 102,primary,"Zwonitzer, Dn.",WYL000089
wy,2011,lower,HB 102,primary,Blake,WYL000033
wy,2011,lower,HB 102,primary,Davison,WYL000047
wy,2011,lower,HB 102,primary,Loucks,WYL000066
wy,2011,lower,HB 102,primary,Moniz,WYL000072
wy,2011,lower,HB 102,primary,Geis,WYL000013
wy,2011,lower,HB 103,primary,McKim,WYL000069
wy,2011,lower,HB 103,primary,Connolly,WYL000045
wy,2011,lower,HB 103,primary,Freeman,WYL000051
wy,2011,lower,HB 103,primary,Jaggi,WYL000061
wy,2011,lower,HB 103,primary,McOmie,WYL000070
wy,2011,lower,HB 103,primary,Dockstader,WYL000009
wy,2011,lower,HB 103,primary,Jennings,WYL000017
wy,2011,lower,HB 103,primary,Landen,WYL000019
wy,2011,lower,HB 104,primary,"Zwonitzer, Dv.",WYL000090
wy,2011,lower,HB 104,primary,Blake,WYL000033
wy,2011,lower,HB 104,primary,Goggles,WYL000054
wy,2011,lower,HB 104,primary,Kasperik,WYL000062
wy,2011,lower,HB 104,primary,Madden,WYL000068
wy,2011,lower,HB 104,primary,Christensen,WYL000006
wy,2011,lower,HB 105,primary,Throne,WYL000086
wy,2011,lower,HB 105,primary,Davison,WYL000047
wy,2011,lower,HB 105,primary,Gay,WYL000052
wy,2011,lower,HB 105,primary,Petersen,WYL000077
wy,2011,lower,HB 105,primary,Stubson,WYL000084
wy,2011,lower,HB 105,primary,Hastert,WYL000014
wy,2011,lower,HB 105,primary,Landen,WYL000019
wy,2011,lower,HB 105,primary,Perkins,WYL000024
wy,2011,lower,HB 105,primary,Von Flatern,WYL000030
wy,2011,lower,HB 106,primary,Throne,WYL000086
wy,2011,lower,HB 106,primary,Byrd,WYL000041
wy,2011,lower,HB 106,primary,Harvey,WYL000058
wy,2011,lower,HB 106,primary,Shepperson,
wy,2011,lower,HB 106,primary,Bebout,WYL000003
wy,2011,lower,HB 106,primary,Martin,WYL000020
wy,2011,lower,HB 106,primary,Rothfuss,WYL000027
wy,2011,lower,HB 107,primary,Botten,WYL000036
wy,2011,lower,HB 107,primary,Krone,WYL000064
wy,2011,lower,HB 107,primary,Loucks,WYL000066
wy,2011,lower,HB 107,primary,Ross,WYL000026
wy,2011,lower,HB 108,primary,"Joint Minerals, Business and Economic Development Interim Committee",
wy,2011,lower,HB 109,primary,"Joint Minerals, Business and Economic Development Interim Committee",
wy,2011,lower,HB 11,primary,"Joint Agriculture, State and PublicLands and Water Resources Interim Committee",
wy,2011,lower,HB 110,primary,"Joint Minerals, Business and Economic Development Interim Committee",
wy,2011,lower,HB 111,primary,"Joint Minerals, Business and Economic Development Interim Committee",
wy,2011,lower,HB 112,primary,"Joint Minerals, Business and Economic Development Interim Committee",
wy,2011,lower,HB 113,primary,"Joint Minerals, Business and Economic Development Interim Committee",
wy,2011,lower,HB 114,primary,"Esquibel, K.",WYL000050
wy,2011,lower,HB 114,primary,Blikre,WYL000034
wy,2011,lower,HB 114,primary,Byrd,WYL000041
wy,2011,lower,HB 114,primary,Illoway,WYL000060
wy,2011,lower,HB 114,primary,Patton,WYL000074
wy,2011,lower,HB 114,primary,Roscoe,WYL000081
wy,2011,lower,HB 114,primary,Case,WYL000005
wy,2011,lower,HB 114,primary,Emerich,WYL000011
wy,2011,lower,HB 114,primary,"Esquibel, F.",WYL000012
wy,2011,lower,HB 114,primary,Hines,WYL000016
wy,2011,lower,HB 114,primary,Martin,WYL000020
wy,2011,lower,HB 114,primary,Scott,WYL000029
wy,2011,lower,HB 115,primary,Teeters,WYL000085
wy,2011,lower,HB 115,primary,Coe,WYL000007
wy,2011,lower,HB 116,primary,Teeters,WYL000085
wy,2011,lower,HB 117,primary,Illoway,WYL000060
wy,2011,lower,HB 117,primary,Berger,WYL000032
wy,2011,lower,HB 117,primary,Brown,WYL000038
