state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
wy,2012,upper,SF 57,WYV00001802,lower,H02 Recommended Do Pass,2012-03-01 00:00:00,other,7,0,0
wy,2012,upper,SF 65,WYV00001837,lower,H02 Recommended Do Pass,2012-03-02 00:00:00,other,7,0,0
wy,2013,upper,SF 67,WYV00002652,upper,S01 Recommended Amend and Do Pass,2013-01-14 00:00:00,other,5,0,0
wy,2013,upper,SF 46,WYV00002551,upper,S08 Recommended Do Pass,2013-01-10 00:00:00,other,4,1,0
wy,2013,lower,HB 168,WYV00003000,lower,H07 Recommended Amend and Do Pass,2013-01-28 00:00:00,other,7,2,0
wy,2012,upper,SF 2,WYV00001524,upper,S02 Recommended Do Pass,2012-02-22 00:00:00,other,5,0,0
wy,2012,upper,SF 12,WYV00001581,upper,S02 Recommended Do Pass,2012-02-20 00:00:00,other,5,0,0
wy,2012,upper,SF 14,WYV00001587,upper,S09 Recommended Do Pass,2012-02-15 00:00:00,other,5,0,0
wy,2012,upper,SF 14,WYV00001588,upper,S02 Recommended Do Pass,2012-02-20 00:00:00,other,5,0,0
wy,2012,upper,SF 23,WYV00001627,upper,S01 Recommended Do Pass,2012-02-15 00:00:00,other,5,0,0
wy,2012,upper,SF 54,WYV00001790,upper,S10 Recommended Amend and Do Pass,2012-02-20 00:00:00,other,3,2,0
wy,2013,upper,SF 1,WYV00003392,upper,Amendment Adopted,2013-02-08 00:00:00,other,21,7,2
wy,2013,upper,SF 1,WYV00003390,upper,Amendment Failed,2013-02-08 00:00:00,other,14,14,2
wy,2013,upper,SF 1,WYV00003398,upper,Amendment Adopted,2013-02-08 00:00:00,other,15,13,2
wy,2013,upper,SF 1,WYV00003397,upper,Amendment Adopted,2013-02-08 00:00:00,other,25,3,2
wy,2013,upper,SF 1,WYV00003396,upper,Amendment Adopted,2013-02-08 00:00:00,other,15,13,2
wy,2013,upper,SF 1,WYV00003399,upper,Amendment Adopted,2013-02-08 00:00:00,other,23,5,2
wy,2013,upper,SF 1,WYV00003400,upper,Amendment Adopted,2013-02-08 00:00:00,other,17,11,2
wy,2013,upper,SF 1,WYV00003401,upper,Passed 3rd Reading,2013-02-08 00:00:00,other,26,2,2
wy,2013,upper,SF 2,WYV00002692,upper,Passed 3rd Reading,2013-01-18 00:00:00,other,28,0,2
wy,2013,upper,SF 3,WYV00002574,upper,Passed 3rd Reading,2013-01-14 00:00:00,other,30,0,0
wy,2013,upper,SF 5,WYV00003294,lower,H07 Recommended Do Pass,2013-02-07 00:00:00,other,9,0,0
