state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
wy,2011,lower,HB 1,General government appropriations-2.,2011-10-26 20:57:45.373000,2012-10-17 17:16:28.266000,bill,
wy,2011,lower,HB 10,Insurance fraud prevention.,2011-10-26 20:57:45.575000,2012-10-17 17:16:28.617000,bill,
wy,2011,lower,HB 100,Game & fish-land acquisition.,2011-10-26 20:57:47.379000,2012-10-17 17:16:30.696000,bill,
wy,2011,lower,HB 101,Vicious animals-interference with game wardens.,2011-10-26 20:57:47.404000,2012-10-17 17:16:30.719000,bill,
wy,2011,lower,HB 102,State common school trust land management account.,2011-10-26 20:57:47.418000,2012-10-17 17:16:30.761000,bill,
wy,2011,lower,HB 103,WICHE-repayment program.,2011-10-26 20:57:47.439000,2012-10-17 17:16:30.778000,bill,
wy,2011,lower,HB 104,Property tax sales-highest bidder.,2011-10-26 20:57:47.466000,2012-10-17 17:16:30.792000,bill,
wy,2011,lower,HB 105,Temporary military duty-child custody and visitation.,2011-10-26 20:57:47.488000,2012-10-17 17:16:30.804000,bill,
wy,2011,lower,HB 106,Departments of employment and workforce services-merger.,2011-10-26 20:57:47.504000,2012-10-17 17:16:30.820000,bill,
wy,2011,lower,HB 107,Municipal court jury trials.,2011-10-26 20:57:47.544000,2012-10-17 17:16:30.832000,bill,
wy,2011,lower,HB 108,Collection agencies.,2011-10-26 20:57:47.569000,2012-10-17 17:16:30.916000,bill,
wy,2011,lower,HB 109,Wyoming infrastructure authority.,2011-10-26 20:57:47.597000,2012-10-17 17:16:30.932000,bill,
wy,2011,lower,HB 11,Wyoming Food Freedom Act.,2011-10-26 20:57:45.586000,2012-10-17 17:16:28.696000,bill,
wy,2011,lower,HB 110,Successor Corporation Asbestos-Related Liability Act-2.,2011-10-26 20:57:47.627000,2012-10-17 17:16:30.956000,bill,
wy,2011,lower,HB 111,Public works and contracts-2.,2011-10-26 20:57:47.654000,2012-10-17 17:16:30.976000,bill,
wy,2011,lower,HB 112,Mining permits.,2011-10-26 20:57:47.673000,2012-10-17 17:16:31.010000,bill,
wy,2011,lower,HB 113,Wyoming pipeline authority.,2011-10-26 20:57:47.700000,2012-10-17 17:16:31.027000,bill,
wy,2011,lower,HB 114,Insurance premiums-failure to pay.,2011-10-26 20:57:47.721000,2012-10-17 17:16:31.048000,bill,
wy,2011,lower,HB 115,Charter schools-application.,2011-10-26 20:57:47.741000,2012-10-17 17:16:31.063000,bill,
wy,2011,lower,HB 116,Elementary foreign language instruction.,2011-10-26 20:57:47.751000,2012-10-17 17:16:31.073000,bill,
wy,2011,lower,HB 117,Data processing services centers-tax exemptions.,2011-10-26 20:57:47.782000,2012-10-17 17:16:31.084000,bill,
wy,2011,lower,HB 118,Abortion-available information for decision.,2011-10-26 20:57:47.812000,2012-10-17 17:16:31.098000,bill,
wy,2011,lower,HB 119,Public records and meetings-court proceedings.,2011-10-26 20:57:47.826000,2012-10-17 17:16:31.130000,bill,
wy,2011,lower,HB 12,Irrigation districts-change of place of use.,2011-10-26 20:57:45.597000,2012-10-17 17:16:28.703000,bill,
wy,2011,lower,HB 120,Public meetings.,2011-10-26 20:57:47.848000,2012-10-17 17:16:31.142000,bill,
wy,2011,lower,HB 121,Public records.,2011-10-26 20:57:47.869000,2012-10-17 17:16:31.159000,bill,
wy,2011,lower,HB 122,No duty to retreat.,2011-10-26 20:57:47.891000,2012-10-17 17:16:31.172000,bill,
wy,2011,lower,HB 123,Circuit court surety bonds-repeal.,2011-10-26 20:57:47.910000,2012-10-17 17:16:31.185000,bill,
wy,2011,lower,HB 124,National guard-emergency deployment professional licensing.,2011-10-26 20:57:47.939000,2012-10-17 17:16:31.205000,bill,
