id,state,chamber,committee,subcommittee,parent_id
WYC000212,wy,joint,Education Commission of the States,,
WYC000216,wy,joint,NCSL - Human Services and Welfare,,
WYC000214,wy,joint,State Council - Interstate Compact for Juveniles,,
WYC000211,wy,joint,Legislative Artwork Donation Program Committee,,
WYC000258,wy,joint,Energy Council,,
WYC000215,wy,joint,NCSL - Environment,,
WYC000222,wy,joint,Department of Health Advisory Council,,
WYC000286,wy,joint,Task Force on Transfer of Public Lands,,
WYC000280,wy,joint,CSG West - Health,,
WYC000285,wy,joint,Select Federal Natural Resource Management Committee,,
WYC000219,wy,joint,Select Committee on Statewide Education Accountability,,
WYC000253,wy,joint,Financial Advisory Council,,
WYC000252,wy,joint,Select Water Committee,,
WYC000225,wy,joint,Wyoming Education Planning & Coordination Council,,
WYC000241,wy,joint,Interstate Compact for Adult Offender Supervision,,
WYC000218,wy,joint,State Building Commission Liaison,,
WYC000263,wy,joint,Enhanced and Improved Oil Recovery Commission,,
WYC000283,wy,joint,CSG National - Education,,
WYC000244,wy,joint,"NCSL - Communications, Financial Services & Interstate Commerce",,
WYC000223,wy,joint,Joint Legislative - Executive Task Force on Capitol Building Restoration,,
WYC000282,wy,joint,CSG West - Agriculture and Rural Affairs,,
WYC000228,wy,joint,NCSL - Education,,
WYC000240,wy,joint,NCSL - Nuclear Legislative Work Group,,
WYC000226,wy,joint,State Employee Compensation Commission,,
WYC000274,wy,joint,Advanced Conversion Technologies Task Force,,
WYC000221,wy,joint,NCSL - Agriculture and Energy,,
WYC000289,wy,joint,Joint Legislative and Executive Task Force on Capitol Building Rehabilitation and Restoration,,
WYC000290,wy,joint,Statewide Concessions Master Plan Steering Committee - Liaison,,
WYC000233,wy,joint,Wyoming Health Insurance Exchange Steering Committee,,
WYC000264,wy,joint,NCSL - Labor & Economic Development,,
WYC000249,wy,joint,Select Committee on Legislative Technology and Process,,
WYC000270,wy,joint,Management Audit Committee,,
WYC000150,wy,joint,Revenue,,
WYC000152,wy,joint,"Labor, Health & Social Services",,
WYC000162,wy,joint,Appropriations,,
WYC000250,wy,joint,CSG West - Regional Officers,,
WYC000269,wy,joint,Clean Coal Research Task Force,,
WYC000169,wy,joint,"Transportation, Highways & Military Affairs",,
WYC000254,wy,joint,CSG West - International Trade,,
WYC000257,wy,joint,NCSL - Transportation,,
WYC000174,wy,joint,Rules & Procedures,,
WYC000181,wy,joint,"Corporations, Elections & Political Subdivisions",,
WYC000183,wy,joint,"Travel, Recreation, Wildlife & Cultural Resources",,
WYC000237,wy,joint,CSG West - WESTRENDS,,
WYC000195,wy,joint,"Agriculture, State and Public Lands & Water Resources",,
WYC000199,wy,joint,Education,,
WYC000204,wy,joint,Management Council,,
WYC000205,wy,joint,"Minerals, Business & Economic Development",,
WYC000234,wy,joint,NCSL - Redistricting and Elections,,
WYC000210,wy,joint,Judiciary,,
WYC000268,wy,joint,CSG West - Western Economic Development,,
WYC000191,wy,joint,Journal,,
WYC000220,wy,joint,NCSL - Budgets and Revenue,,
WYC000287,wy,joint,Interstate Compact on Students of Military Families,,
WYC000255,wy,joint,Select Committee on Archaic Laws,,
WYC000251,wy,joint,UW Energy Resource Council,,
WYC000260,wy,joint,CSG West - Future of Western Legislatures,,
WYC000278,wy,joint,CSG National - Fiscal and Economic Development,,
WYC000246,wy,joint,Select Committee on Tribal Relations,,
WYC000281,wy,joint,CSG West - Canada Relations,,
WYC000271,wy,joint,CSG National - Transportation,,
WYC000217,wy,joint,Capitol Complex Art Advisory Committee,,
WYC000229,wy,joint,Select Natural Resource Funding Committee,,
WYC000232,wy,joint,Air Transportation Liaison Committee,,
WYC000247,wy,joint,CSG West - Executive Committee,,
WYC000224,wy,joint,State Retirement Board Liaison,,
WYC000239,wy,joint,Select Committee on School Facilities,,
WYC000242,wy,joint,CSG West - Education,,
WYC000273,wy,joint,CSG National - Energy and Environment,,
WYC000276,wy,joint,CSG West - Higher Education Task Force,,
WYC000243,wy,joint,Workforce Development Council,,
WYC000275,wy,joint,CSG West - Economic Development and Trade,,
WYC000230,wy,joint,CSG West - Fiscal Affairs,,
WYC000262,wy,joint,NCSL - Health,,
WYC000279,wy,joint,NCSL - Agriculture Task Force,,
WYC000277,wy,joint,State Council - Interstate Compact on Students of Military Families,,
WYC000248,wy,joint,Medicaid Cost Study - Oversight Legislative Advisory Committee,,
WYC000272,wy,joint,"NCSL - Energy,Transportation and Agriculture",,
WYC000245,wy,joint,Medicaid Options Study - Augmented Advisory Committee,,
WYC000238,wy,joint,Energy Producing States Coalition,,
WYC000236,wy,joint,Wyoming Court Security Commission,,
WYC000265,wy,joint,Department of Family Services Advisory Council,,
WYC000213,wy,joint,CSG West - Water and Environment,,
WYC000288,wy,joint,Interstate Compact for Juveniles,,
WYC000227,wy,joint,Task Force on Nuclear Energy Production,,
WYC000231,wy,joint,NCSL - Law and Criminal Justice,,
WYC000266,wy,joint,CSG West - Energy and Public Lands,,
WYC000267,wy,joint,NCSL - Executive Committee,,
WYC000284,wy,joint,Select Committee on Health Benefit Exchanges,,
WYC000235,wy,joint,Select Committee on Capital Financing & Investments,,
WYC000261,wy,joint,NCSL - Legislative Effectiveness,,
WYC000259,wy,joint,Multistate Highway Transportation Agreement Cooperating Committee,,
WYC000256,wy,joint,Select Committee on Legislative Facilities,,
WYC000291,wy,joint,NCSL - Nuclear Legislative Workgroup,,
