leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
WYL000044,member,2011-2012,50,lower,wy,Republican,,,,,
WYL000044,committee member,2011-2012,,joint,wy,,WYC000148,NCSL - Budgets and Revenue,,,
WYL000044,committee member,2011-2012,,joint,wy,,WYC000150,Revenue,,,
WYL000044,committee member,2011-2012,,joint,wy,,WYC000194,Energy Council,,,
WYL000077,member,2011-2012,19,lower,wy,Republican,,,,,
WYL000077,committee member,2011-2012,,joint,wy,,WYC000149,NCSL - Agriculture and Energy,,,
WYL000077,committee member,2011-2012,,joint,wy,,WYC000150,Revenue,,,
WYL000077,committee member,2011-2012,,joint,wy,,WYC000169,"Transportation, Highways & Military Affairs",,,
WYL000077,committee member,2011-2012,,joint,wy,,WYC000187,Select Water Committee,,,
WYL000077,committee member,2011-2012,,joint,wy,,WYC000193,NCSL - Transportation,,,
WYL000031,member,2011-2012,48,lower,wy,Democratic,,,,,
WYL000031,committee member,2011-2012,,joint,wy,,WYC000152,"Labor, Health & Social Services",,,
WYL000031,committee member,2011-2012,,joint,wy,,WYC000171,Select Committee on School Facilities,,,
WYL000031,committee member,2011-2012,,joint,wy,,WYC000202,NCSL - Labor & Economic Development,,,
WYL000031,committee member,2011-2012,,joint,wy,,WYC000210,Judiciary,,,
WYL000075,member,2011-2012,3,lower,wy,Republican,,,,,
WYL000075,committee member,2011-2012,,joint,wy,,WYC000152,"Labor, Health & Social Services",,,
WYL000075,committee member,2011-2012,,joint,wy,,WYC000210,Judiciary,,,
WYL000083,member,2011-2012,47,lower,wy,Republican,,,,,
WYL000083,committee member,2011-2012,,joint,wy,,WYC000159,Select Natural Resource Funding Committee,,,
WYL000083,committee member,2011-2012,,joint,wy,,WYC000162,Appropriations,,,
WYL000083,committee member,2011-2012,,joint,wy,,WYC000179,Select Committee on Tribal Relations,,,
WYL000048,member,2011-2012,12,lower,wy,Republican,,,,,
WYL000048,committee member,2011-2012,,joint,wy,,WYC000162,Appropriations,,,
WYL000079,member,2011-2012,28,lower,wy,Republican,,,,,
