leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
COL000073,B.J. Nikkel,B.J.,,Nikkel,,,False,co,,,,c4d85e1341984ff5b7468d5175ad1c57,http://www.state.co.us/gov_dir/leg_dir/house/members/hou49.jpg,2012-01-19 01:01:49.372000,2013-01-07 15:39:04.721000
COL000077,J. Paul Brown,J. Paul,,Brown,,,False,co,,,,edbca0a9747b4850b419cebbe969cac9,http://www.state.co.us/gov_dir/leg_dir/house/members/hou59.jpg,2012-01-19 01:01:49.416000,2013-01-07 15:39:04.724000
COL000086,Larry G Liston,Larry G,,Liston,,,False,co,,,,3664088eaec0456abce552c1918e5976,http://www.state.co.us/gov_dir/leg_dir/house/members/hou16.jpg,2012-01-19 01:01:49.526000,2013-01-07 15:39:04.728000
COL000087,Marsha Looper,Marsha,,Looper,,,False,co,,,,c885881445614eab9e0b65584bfbd9dc,http://www.state.co.us/gov_dir/leg_dir/house/members/hou19.jpg,2012-01-19 01:01:49.538000,2013-01-07 15:39:04.729000
COL000089,Judy Solano,Judy,,Solano,,,False,co,,,,aedb71338e5a48188f53996260df6c77,http://www.state.co.us/gov_dir/leg_dir/house/members/hou31.jpg,2012-01-19 01:01:49.565000,2013-01-07 15:39:04.730000
COL000098,Glenn Vaad,Glenn,,Vaad,,,False,co,,,,89ea05597ee84da389b6ad697281020f,http://www.state.co.us/gov_dir/leg_dir/house/members/hou48.jpg,2012-01-19 01:01:49.702000,2013-01-07 15:39:04.736000
COL000007,Tim Neville,Tim,,Neville,,,False,co,,,,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen22.jpg,2012-01-19 01:01:48.613000,2013-01-07 15:39:04.750000
COL000026,Brandon C. Shaffer,Brandon C.,,Shaffer,,,False,co,,,,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen17.jpg,2012-01-19 01:01:48.820000,2013-01-07 15:39:04.745000
COL000004,Nancy Spence,Nancy,,Spence,,,False,co,,,,38105f87434440d7b10e8825798bf803,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen27.jpg,2012-01-19 01:01:48.580000,2013-03-01 00:49:17.294000
COL000006,Betty Boyd,Betty,,Boyd,,,False,co,,,,d2e20d133a1249888a0bb0d28254c7dd,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen21.jpg,2012-01-19 01:01:48.603000,2013-03-01 00:49:17.295000
COL000008,Shawn Mitchell,Shawn,,Mitchell,,,False,co,,,,4099ad6f724c45ff8a7d57581944f502,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen23.jpg,2012-01-19 01:01:48.623000,2013-01-07 15:39:04.739000
COL000009,Suzanne Williams,Suzanne,,Williams,,,False,co,,,,6852ba5194364e129be502341a387abc,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen28.jpg,2012-01-19 01:01:48.632000,2013-01-07 15:39:04.740000
COL000019,Jean White,Jean,,White,,,False,co,,,,f35e5bd7976b4d5d88f1c67e534c1742,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen08.jpg,2012-01-19 01:01:48.745000,2013-01-07 15:39:04.741000
COL000023,Keith King,Keith,,King,,,False,co,,,,09d8156694574758b1154c20b778c26f,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen12.jpg,2012-01-19 01:01:48.789000,2013-03-01 00:49:17.297000
