leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
HIL000078,Hermina M. Morita,Hermina,M.,Morita,,,False,hi,,,,,http://www.capitol.hawaii.gov/session2011/Members/Images/RepSenPhotos/morita.jpg,2011-10-20 01:29:27.471000,2012-02-03 20:10:12.101000
HIL000080,Tom Okamura,Tom,,Okamura,,,False,hi,,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/okamura.jpg,2012-01-27 03:45:59.958000,2012-06-01 18:41:44.838000
HIL000024,Shan S. Tsutsui,Shan S.,,Tsutsui,,,False,hi,,,,0eb82c3410c14a52b762efa9eef72704,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/tsutsui.jpg,2011-05-04 16:48:14.644000,2013-01-09 00:02:44.477000
HIL000034,Pono Chong,Pono,,Chong,,,False,hi,,,,3c7a17aae11d49d9993d7544db9d630b,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/chong.jpg,2011-05-04 16:48:14.738000,2013-01-09 00:02:44.476000
HIL000053,Joey Manahan,Joey,,Manahan,,,False,hi,,,,7a2c73111c594bb5ae260dd61bdce1a0,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/manahan.jpg,2011-05-04 16:48:14.796000,2013-01-09 00:02:44.438000
HIL000081,Heather Giugni,Heather,,Giugni,,,False,hi,,,,7d47f2f036e8408c8f901fd7157465a5,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/giugni.jpg,2012-02-19 01:39:21.943000,2013-01-09 00:02:44.452000
HIL000006,Carol Fukunaga,Carol,,Fukunaga,,,False,hi,,,,61aad324a8b7482aa9b96750fb825bab,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/fukunaga.jpg,2011-05-04 16:48:14.576000,2013-01-09 00:02:44.459000
HIL000018,Pohai Ryan,Pohai,,Ryan,,,False,hi,,,,710dd5cf08fe46b8bbca76d480661219,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/ryan.jpg,2011-05-04 16:48:14.621000,2013-01-09 00:02:44.470000
HIL000032,Jerry L. Chang,Jerry L.,,Chang,,,False,hi,,,,7047a3cb6375423eb6725c48bc9b760a,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/chang.jpg,2011-05-04 16:48:14.734000,2013-01-09 00:02:44.424000
HIL000033,Corinne W.L. Ching,Corinne W.L.,,Ching,,,False,hi,,,,3efd7f86e1754bac81ecdf2b610777c8,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/ching.jpg,2011-05-04 16:48:14.736000,2013-01-09 00:02:44.425000
