leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
ILL000003,Larry K. Bomke,Larry,K.,Bomke,,,False,il,,,,cc7059228c3e41c48a553c28d3d5872c,http://ilga.gov/images/members/{8D2A4110-3D08-47EF-A4A8-CB5F04F6175E}.jpg,2011-08-23 15:06:26.957000,2013-01-12 00:09:23.325000
ILL000006,Annazette R. Collins,Annazette,R.,Collins,,,False,il,,,,d98f2cf523d041daafb569d7643f3ee5,http://ilga.gov/images/members/{6D1A5EE2-0E5C-4CD0-9A87-85AC039A7A6E}.jpg,2011-08-23 15:06:27.005000,2013-01-12 00:09:23.324000
ILL000008,M. Maggie Crotty,M. Maggie,,Crotty,,,False,il,,,,c941be4de70f45f584e4f4aae55d60ea,http://ilga.gov/images/members/{58D3432E-1209-4C6F-AB2A-05E07F55009F}.jpg,2011-08-23 15:06:27.085000,2013-01-12 00:09:23.262000
ILL000010,Shane Cultra,Shane,,Cultra,,,False,il,,,,61d3733baf944da6b9fae853ca60bcd5,http://ilga.gov/images/members/{389CD0D4-9409-4624-A183-F39F0C80E18A}.jpg,2011-08-23 15:06:27.110000,2013-01-12 00:09:23.328000
ILL000016,Susan Garrett,Susan,,Garrett,,,False,il,,,,a6e315e7c36f499fa6aa68006480201d,http://ilga.gov/images/members/{40C98571-9A16-429E-A36C-296E4F2A86EF}.jpg,2011-08-23 15:06:27.169000,2013-01-12 00:09:23.293000
ILL000024,Thomas Johnson,Thomas,,Johnson,,,False,il,,,,3c5fa6305cc94042af179e18fa5cdcd9,http://ilga.gov/images/members/{FAE542A7-E4F6-4862-AAD5-9091CE4A1583}.jpg,2011-08-23 15:06:27.248000,2013-01-12 00:09:23.322000
ILL000031,Chris Lauzen,Chris,,Lauzen,,,False,il,,,,5700d72fbb31488f98a7d7ed6aacd472,http://ilga.gov/images/members/{55E09542-B3D1-4E1B-9D64-1A8FCA37BC8B}.jpg,2011-08-23 15:06:27.381000,2013-01-12 00:09:23.283000
ILL000035,Edward D. Maloney,Edward,D.,Maloney,,,False,il,,,,68c513552f7d4a8ebe1c109473639a27,http://ilga.gov/images/members/{8F15FD08-62A1-4ACB-98AB-17F6AD5EEC58}.jpg,2011-08-23 15:06:27.420000,2013-01-12 00:09:23.261000
ILL000039,James T. Meeks,James,T.,Meeks,,,False,il,,,,e57ea6542f7045378e2b0ade97a4e75b,http://ilga.gov/images/members/{AFDC15C7-F084-4349-B742-FB2C360D9F4E}.jpg,2011-08-23 15:06:27.459000,2013-01-12 00:09:23.253000
ILL000040,John J. Millner,John,J.,Millner,,,False,il,,,,fdea3d4ac8a741d8a086ffb93b5e9d44,http://ilga.gov/images/members/{4A5E728C-4C71-4B43-97A1-B53B22933932}.jpg,2011-08-23 15:06:27.469000,2013-01-12 00:09:23.291000
ILL000045,Carole Pankau,Carole,,Pankau,,,False,il,,,,9e6b339f210e40748d849513837a2a0c,http://ilga.gov/images/members/{1A3283F4-833C-48A2-ADFF-0F4040682101}.jpg,2011-08-23 15:06:27.578000,2013-01-12 00:09:23.267000
ILL000052,Suzi Schmidt,Suzi,,Schmidt,,,False,il,,,,48da965b616b41a28660249567e4ae06,http://ilga.gov/images/members/{C54EFC1D-6E1C-4EFE-8314-BD17D713368D}.jpg,2011-08-23 15:06:27.650000,2013-01-12 00:09:23.297000
ILL000053,Jeffrey M. Schoenberg,Jeffrey,M.,Schoenberg,,,False,il,,,,d2043697fba14a1a9d738eb9ee3ad346,http://ilga.gov/images/members/{25D21C06-B9B5-429E-A8D9-71D21EBB6884}.jpg,2011-08-23 15:06:27.659000,2013-01-12 00:09:23.343000
ILL000074,Dena M. Carli,Dena,M.,Carli,,,False,il,,,,,http://ilga.gov/images/members/{E86580AD-90D6-42BB-92B5-C1560386EE6E}.jpg,2011-08-23 15:06:28.077000,2013-01-12 00:09:23.192000
ILL000078,Franco Coladipietro,Franco,,Coladipietro,,,False,il,,,,1f4dbeb9c5be441f934794d9ea63324f,http://ilga.gov/images/members/{BE8F9998-407E-4443-80DA-E1356C5A4806}.jpg,2011-08-23 15:06:28.117000,2013-01-12 00:09:23.219000
ILL000079,Sandy Cole,Sandy,,Cole,,,False,il,,,,e9bceebba0ee43b7bacc6d966cedc646,http://ilga.gov/images/members/{E1C3261A-2001-47EB-9D28-D0F2D6E12CB2}.jpg,2011-08-23 15:06:28.127000,2013-01-12 00:09:23.227000
ILL000091,Kimberly du Buclet,Kimberly,,du Buclet,,,False,il,,,,,http://ilga.gov/images/members/{40C74D9D-1033-45A5-B5C7-F352EAEC4A88}.jpg,2011-08-23 15:06:28.247000,2013-01-12 00:09:23.213000
ILL000092,Lisa M. Dugan,Lisa,M.,Dugan,,,False,il,,,,bf470a9458b44d29b2908db3e3f72fd9,http://ilga.gov/images/members/{DC32C77A-DBED-4160-92DD-2BEF012A94C6}.jpg,2011-08-23 15:06:28.257000,2013-01-12 00:09:23.234000
ILL000124,Joseph M. Lyons,Joseph,M.,Lyons,,,False,il,,,,81ae2e1c1f8a4ca8a7e27c1cee5ad9cd,http://ilga.gov/images/members/{6E240004-A86E-499B-8A71-3DB6CED8BA39}.jpg,2011-08-23 15:06:28.649000,2013-01-12 00:09:23.204000
ILL000126,Sidney H. Mathias,Sidney,H.,Mathias,,,False,il,,,,6ebf066db1714bd898598cafec583fce,http://ilga.gov/images/members/{B7D400B4-C30D-4422-A611-8EB253ACF86D}.jpg,2011-08-23 15:06:28.668000,2013-01-12 00:09:23.224000
ILL000128,Karen May,Karen,,May,,,False,il,,,,8b5d3a48f3464a86a2a4128dd64eb1ae,http://ilga.gov/images/members/{43D0AF4C-2D55-49AD-8532-0EC077609EC3}.jpg,2011-08-23 15:06:28.688000,2013-01-12 00:09:23.226000
ILL000136,Jerry L. Mitchell,Jerry,L.,Mitchell,,,False,il,,,,ede61573168343a9ba4c4f529dc13c48,http://ilga.gov/images/members/{75FE9C55-93A0-4852-9A8B-CD7A91BF33E9}.jpg,2011-08-23 15:06:28.773000,2013-01-12 00:09:23.239000
ILL000139,Richard Morthland,Richard,,Morthland,,,False,il,,,,e73dd11ccc9843568232ca30e882e8da,http://ilga.gov/images/members/{1A09A594-30C8-4E10-8492-20B0E096A078}.jpg,2011-08-23 15:06:28.805000,2013-01-12 00:09:23.232000
ILL000140,Rosemary Mulligan,Rosemary,,Mulligan,,,False,il,,,,e740d709c78f4e058e3a285152a917c0,http://ilga.gov/images/members/{89A46C36-E007-4923-A4CB-864D5FDD47CA}.jpg,2011-08-23 15:06:28.814000,2013-01-12 00:09:23.229000
ILL000143,Chris Nybo,Chris,,Nybo,,,False,il,,,,645a26ead6914a5c809584f8cad55814,http://ilga.gov/images/members/{954FD59A-BBA9-4662-B638-5781C32DBAD9}.jpg,2011-08-23 15:06:28.845000,2013-01-12 00:09:23.217000
ILL000149,Randy Ramey Jr.,Harry R.,,Ramey,Jr.,,False,il,,,,a4abf2e42e0e4fc68ffb4fa2e8b3b8ad,http://ilga.gov/images/members/{69E7FA6C-032A-4172-B613-05F20E687EF3}.jpg,2011-08-23 15:06:28.905000,2013-01-12 00:09:23.225000
ILL000158,Angelo Saviano,Angelo,,Saviano,,,False,il,,,,2648f3cb617e48d8b38e83e6a09b3740,http://ilga.gov/images/members/{E9C3DCF0-745C-4552-87F2-7BE73D52953F}.jpg,2011-08-23 15:06:28.997000,2013-01-12 00:09:23.233000
ILL000173,Jim Watson,Jim,,Watson,,,False,il,,,,3de78e7df1ae4e6a8d82fc565f77f251,http://ilga.gov/images/members/{31C099FA-25F6-4493-9A70-E024477C7888}.jpg,2011-08-23 15:06:29.156000,2013-01-12 00:09:23.245000
ILL000176,Karen A. Yarbrough,Karen,A.,Yarbrough,,,False,il,,,,e534e5a9173f4970a0bd95a9b53b879a,http://ilga.gov/images/members/{4A0F2ACB-DBC0-4F58-BDFD-6479A84ACBE9}.jpg,2011-08-23 15:06:29.186000,2013-01-12 00:09:23.231000
ILL000196,Debbie DeFrancesco Halvorson,Debbie DeFrancesco,,Halvorson,,,False,il,,,,,http://ilga.gov/images/members/{6DF1541C-8103-48AE-8183-8567E5F23CB0}.jpg,2011-11-09 09:52:49.328000,2012-09-07 17:05:33.496000
ILL000203,Wendell E. Jones,Wendell E.,,Jones,,,False,il,,,,,http://ilga.gov/images/members/{8C22B299-6BC0-4A38-9A7D-FA3735D0DF6B}.jpg,2011-11-09 09:52:49.526000,2012-09-07 17:05:33.555000
ILL000217,Steven J. Rauschenberger,Steven J.,,Rauschenberger,,,False,il,,,,,http://ilga.gov/images/members/{15AD3458-95A4-4380-BDD8-1F53A4EC5D48}.jpg,2011-11-09 09:52:49.861000,2012-09-07 17:05:33.741000
ILL000219,Dale E. Risinger,Dale E.,,Risinger,,,False,il,,,,,http://ilga.gov/images/members/{0F252AFA-8FB5-4BC2-B265-81CC6A962CE7}.jpg,2011-11-09 09:52:49.909000,2012-09-07 18:57:39.386000
ILL000221,Peter J. Roskam,Peter J.,,Roskam,,,False,il,,,,,http://ilga.gov/images/members/{29E8B7B1-7EF5-4BD4-A759-83D692A3EE7B}.jpg,2011-11-09 09:52:49.992000,2012-09-07 17:05:34.250000
ILL000222,Dan Rutherford,Dan,,Rutherford,,,False,il,,,,,http://ilga.gov/images/members/{AE97E60A-9E8B-422C-BD30-31A8109EF642}.jpg,2011-11-09 09:52:50.017000,2012-09-07 17:05:34.260000
ILL000234,Frank C. Watson,Frank C.,,Watson,,,False,il,,,,,http://ilga.gov/images/members/{20868BD1-BA52-4965-8A80-1B807ECA3A6C}.jpg,2011-11-09 09:52:50.178000,2012-09-07 17:05:34.462000
ILL000235,Patrick Welch,Patrick,,Welch,,,False,il,,,,,http://ilga.gov/images/members/{4A2663A0-2E61-4C09-9EF8-391150D2EFD0}.jpg,2011-11-09 09:52:50.189000,2012-09-07 17:05:34.469000
ILL000248,Mike Boland,Mike,,Boland,,,False,il,,,,,http://ilga.gov/images/members/{A36FF0A3-FC64-4A9C-943F-37D5A732C164}.jpg,2011-11-09 09:52:50.385000,2012-09-07 17:05:34.570000
ILL000251,Richard T. Bradley,Richard T.,,Bradley,,,False,il,,,,,http://ilga.gov/images/members/{F3134403-45D5-499C-B250-3B83298EA524}.jpg,2011-11-09 09:52:50.419000,2012-09-07 17:05:34.595000
ILL000254,James D. Brosnahan,James D.,,Brosnahan,,,False,il,,,,,http://ilga.gov/images/members/{479094EB-E776-4E9D-96EF-3CB0F916D945}.jpg,2011-11-09 09:52:50.470000,2012-09-07 17:05:34.618000
ILL000274,Robert F. Flider,Robert F.,,Flider,,,False,il,,,,,http://ilga.gov/images/members/{5EB86D5F-0591-4D08-9300-B25F530773FE}.jpg,2011-11-09 09:52:50.722000,2012-09-07 17:05:34.867000
ILL000278,Paul D. Froehlich,Paul D.,,Froehlich,,,False,il,,,,,http://ilga.gov/images/members/{9935A50D-DB53-41C0-B870-CEADCE32F5E8}.jpg,2011-11-09 09:52:50.789000,2012-09-07 17:05:34.916000
ILL000279,Calvin L. Giles,Calvin L.,,Giles,,,False,il,,,,,http://ilga.gov/images/members/{650724D5-BC11-42C6-A07E-4D93719815AD}.jpg,2011-11-09 09:52:50.800000,2012-09-07 17:05:34.922000
ILL000283,William J. Grunloh,William J.,,Grunloh,,,False,il,,,,,http://ilga.gov/images/members/{BA942597-E21B-4C95-A706-34F8D149F3A3}.jpg,2011-11-09 09:52:50.869000,2012-09-07 17:05:34.946000
ILL000290,Randy Hultgren,Randy,,Hultgren,,,False,il,,,,,http://ilga.gov/images/members/{7B92C046-5740-4953-9F7A-D462EFEFE8B5}.jpg,2011-11-09 09:52:51.145000,2012-09-07 17:05:35.014000
ILL000314,David E. Miller,David E.,,Miller,,,False,il,,,,,http://ilga.gov/images/members/{DEF139AC-5C2B-4259-B8ED-32BC17138BF9}.jpg,2011-11-09 09:52:51.657000,2012-09-07 17:05:35.208000
ILL000339,"George Scully, Jr.",George,,Scully,Jr.,,False,il,,,,,http://ilga.gov/images/members/{6D88144A-9451-4647-9585-D3254CE88B8E}.jpg,2011-11-09 09:52:52.190000,2012-09-07 17:05:35.583000
ILL000498,Scott E. Penny,Scott E.,,Penny,,,False,il,,,,,http://ilga.gov/images/members/{66B84C21-B863-42D1-81C2-4C9F4359E100}.jpg,2011-11-25 05:14:40.214000,2013-01-12 00:09:23.202000
ILL000532,Charles W. Krezwick,Charles W.,,Krezwick,,,False,il,,,,,http://ilga.gov/images/members/{1ED6AFBB-EC3A-45F0-9C95-24A48FA2C933}.jpg,2012-01-18 05:25:40.209000,2013-01-12 00:09:23.216000
ILL000549,Vince Demuzio,Vince,,Demuzio,,,False,il,,,,,http://ilga.gov/images/members/{0C46390A-2270-4918-82B2-35DE9E5E7DE9}.jpg,2012-09-07 17:05:33.431000,2012-09-07 17:05:36.107000
ILL000551,Doris Karpiel,Doris,,Karpiel,,,False,il,,,,,http://ilga.gov/images/members/{4C90F8C3-1FA9-4995-9661-D3CB1E7AEE82}.jpg,2012-09-07 17:05:33.565000,2012-09-07 17:05:36.104000
ILL000552,Dick Klemm,Dick,,Klemm,,,False,il,,,,,http://ilga.gov/images/members/{620F2F5F-7791-411C-B4FC-03676BEBC237}.jpg,2012-09-07 17:05:33.576000,2012-09-07 17:05:36.105000
ILL000555,Barack Obama,Barack,,Obama,,,False,il,,,,,http://ilga.gov/images/members/{C9DE691B-FC2A-461B-8F07-5B2FCF1FFCEC}.jpg,2012-09-07 17:05:33.682000,2012-09-07 17:05:36.093000
ILL000556,James Pate Philip,James Pate,,Philip,,,False,il,,,,,http://ilga.gov/images/members/{1384B1FB-53EC-4F9C-B349-CF349E77961E}.jpg,2012-09-07 17:05:33.715000,2012-09-07 17:05:36.102000
ILL000557,Ray Soden,Ray,,Soden,,,False,il,,,,,http://ilga.gov/images/members/{53DCCF2A-4CF1-4148-9738-329DCEB5694F}.jpg,2012-09-07 17:05:34.394000,2012-09-07 17:05:36.103000
ILL000559,Larry D. Woolard,Larry D.,,Woolard,,,False,il,,,,,http://ilga.gov/images/members/{C8E57D71-08FE-4F24-AB1B-8F170299986E}.jpg,2012-09-07 17:05:34.492000,2012-09-07 17:05:36.109000
ILL000560,Joel Brunsvold,Joel,,Brunsvold,,,False,il,,,,,http://ilga.gov/images/members/{EE10999E-25AE-4D2D-86A2-3A6FDC41001B}.jpg,2012-09-07 17:05:34.628000,2012-09-07 17:05:36.067000
ILL000561,Ralph C. Capparelli,Ralph C.,,Capparelli,,,False,il,,,,,http://ilga.gov/images/members/{4DD86015-653B-495C-99D4-080203426382}.jpg,2012-09-07 17:05:34.648000,2012-09-07 17:05:36.059000
ILL000565,Julie A. Curry,Julie A.,,Curry,,,False,il,,,,,http://ilga.gov/images/members/{090F9714-8ABA-4888-AEAC-ECCC2B935017}.jpg,2012-09-07 17:05:34.730000,2012-09-07 17:05:36.054000
ILL000566,Steve Davis,Steve,,Davis,,,False,il,,,,,http://ilga.gov/images/members/{A1916A56-F5ED-4030-8959-0F624372EC02}.jpg,2012-09-07 17:05:34.766000,2012-09-07 17:05:36.057000
ILL000570,Charles A. Hartke,Charles A.,,Hartke,,,False,il,,,,,http://ilga.gov/images/members/{9AE10137-EA40-4600-9080-B45C063DD90E}.jpg,2012-09-07 17:05:34.970000,2012-09-07 17:05:36.055000
ILL000577,John Philip Novak,John Philip,,Novak,,,False,il,,,,,http://ilga.gov/images/members/{BB2CC13C-E12F-4F90-BBB8-DB209C72C013}.jpg,2012-09-07 17:05:35.306000,2012-09-07 17:05:36.070000
ILL000578,Mary K. O'Brien,Mary K.,,O'Brien,,,False,il,,,,,http://ilga.gov/images/members/{F05E9B5F-BB25-420C-BBB1-4F1E7902D7B4}.jpg,2012-09-07 17:05:35.318000,2012-09-07 17:05:36.069000
ILL000583,David A. Wirsing,David A.,,Wirsing,,,False,il,,,,,http://ilga.gov/images/members/{0FFC09BC-DE6B-46D4-8D03-5EF9919D7BCA}.jpg,2012-09-07 17:05:35.714000,2012-09-07 17:05:36.067000
ILL000585,Cheryl Axley,Cheryl,,Axley,,,False,il,,,,,http://ilga.gov/images/members/{DBA54669-0EDB-477E-866B-CF8E49E3F74E}.jpg,2012-09-07 17:06:55.840000,2012-09-07 17:06:58.745000
