leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
INL000152,Mike White,Mike,,White,,,False,in,,,,,http://indianahousedemocrats.org/images/stories/head/white.jpg,2012-08-14 01:23:37.178000,2013-01-09 18:24:45.373000
INL000143,Dennis Tyler,Dennis,,Tyler,,,False,in,,,,3411153483914d0e92ee1f6cb1d2a7f7,,2011-04-08 18:48:34.424000,2012-08-20 14:42:40.539000
INL000006,Richard D. Bray,Richard D.,,Bray,,,False,in,,,,5f246c9486454766bff86107cb6e76c7,http://www.in.gov/legislative/senate_republicans/images/photogallery/caucus/headshots/bray-tn.jpg,2011-04-08 18:48:34.094000,2013-01-09 18:24:45.374000
INL000013,Beverly J. Gard,Beverly J.,,Gard,,,False,in,,,,c9c699b727c24431b88190e2e91ea864,http://www.in.gov/legislative/senate_republicans/hiResImages/thumbs/Gard_hi_res_tn.jpg,2011-04-08 18:48:34.106000,2013-01-09 18:24:45.375000
INL000024,Connie Lawson,Connie,,Lawson,,,False,in,,,,675f83d18547485e964e4219f4527a61,,2011-04-08 18:48:34.126000,2012-07-13 01:16:15.521000
INL000036,Vi Simpson,Vi,,Simpson,,,False,in,,,,e086df59ab664461a2068fc3488849b2,http://www.in.gov/legislative/senate_democrats/images/Simpson2.jpg,2011-04-08 18:48:34.147000,2013-01-09 18:24:45.377000
INL000054,Jeb Bardon,Jeb,,Bardon,,,False,in,,,,2baa7161c90f4f439327a8f722603e4f,http://indianahousedemocrats.org/images/stories/head/bardon.jpg,2011-04-08 18:48:34.180000,2013-01-09 18:24:45.342000
INL000059,Bruce Borders,Bruce,,Borders,,,False,in,,,,1a161b73bd7c47f082c233badc0d4a8c,http://www.in.gov/legislative/house_republicans/images/r45thumb.jpg,2011-04-08 18:48:34.199000,2013-01-09 18:24:45.346000
INL000065,Dave Cheatham,Dave,,Cheatham,,,False,in,,,,6d4a82d5041f4b58b30fa1c374e7261f,http://indianahousedemocrats.org/images/stories/head/cheatham.jpg,2011-04-08 18:48:34.209000,2013-01-09 18:24:45.347000
INL000068,William A. Crawford,William A.,,Crawford,,,False,in,,,,e6f0459a3a2146bc985ed24aa7bef3fc,http://indianahousedemocrats.org/images/stories/head/crawford.jpg,2011-04-08 18:48:34.215000,2013-01-09 18:24:45.348000
INL000073,John Day,John,,Day,,,False,in,,,,263f8f1c699846dbb8bc0f1576330a6d,http://indianahousedemocrats.org/images/stories/head/day.jpg,2011-04-08 18:48:34.224000,2013-01-09 18:24:45.349000
INL000075,Nancy Dembowski,Nancy,,Dembowski,,,False,in,,,,80b5e1316fc3437a835cfc045aef250d,http://indianahousedemocrats.org/images/stories/head/dembowski.jpg,2011-04-08 18:48:34.239000,2013-01-09 18:24:45.350000
INL000077,Chet Dobis,Chet,,Dobis,,,False,in,,,,9254f732dc08467f85b94901562cd4d7,http://indianahousedemocrats.org/images/stories/head/dobis.jpg,2011-04-08 18:48:34.242000,2013-01-09 18:24:45.351000
INL000078,Richard 'Dick' Dodge,Richard 'Dick',,Dodge,,,False,in,,,,afd675263a8e48b697ebf92ced42113a,http://www.in.gov/legislative/house_republicans/images/r51thumb.jpg,2011-04-08 18:48:34.244000,2013-01-09 18:24:45.352000
INL000081,Sue Ellspermann,Sue,,Ellspermann,,,False,in,,,,763f13fc31014560b61a3b25652d2a0d,http://www.in.gov/legislative/house_republicans/images/r74thumb.jpg,2011-04-08 18:48:34.249000,2013-01-09 18:24:45.354000
INL000082,Jeff Espich,Jeff,,Espich,,,False,in,,,,41e5dbd2e4e04409a9170a9b56f1f47a,http://www.in.gov/legislative/house_republicans/images/r82thumb.jpg,2011-04-08 18:48:34.251000,2013-01-09 18:24:45.355000
INL000083,Ralph M. Foley,Ralph M.,,Foley,,,False,in,,,,bd36df12639541499f59e53d05fe36f6,http://www.in.gov/legislative/house_republicans/images/r47thumb.jpg,2011-04-08 18:48:34.253000,2013-01-09 18:24:45.356000
INL000086,Craig R. Fry,Craig R.,,Fry,,,False,in,,,,7b2123cbf674420baa8c97534310a2b5,http://indianahousedemocrats.org/images/stories/head/fry.jpg,2011-04-08 18:48:34.258000,2013-01-09 18:24:45.357000
INL000090,F. Dale Grubb,F. Dale,,Grubb,,,False,in,,,,96d11597f4b4483ab136ff500764c2fa,http://indianahousedemocrats.org/images/stories/head/Grubb2007.jpg,2011-04-08 18:48:34.265000,2013-01-09 18:24:45.358000
INL000095,Phillip D. Hinkle,Phillip D.,,Hinkle,,,False,in,,,,599e4228a8a94f5191203c2fa4068599,http://www.in.gov/legislative/house_republicans/images/r92thumb.jpg,2011-04-08 18:48:34.274000,2013-01-09 18:24:45.359000
INL000100,Thomas Knollman,Thomas,,Knollman,,,False,in,,,,347876f12ac7493e8e7269cad5becdbe,http://www.in.gov/legislative/house_republicans/images/r55thumb.jpg,2011-04-08 18:48:34.293000,2013-01-09 18:24:45.360000
INL000109,Richard W. McClain,Richard W.,,McClain,,,False,in,,,,1d9b8a7761804587b4445b2ae4fd2415,http://www.in.gov/legislative/house_republicans/images/r24thumb.jpg,2011-04-08 18:48:34.319000,2013-01-09 18:24:45.363000
INL000115,Winfield C. Moses Jr.,Winfield C.,,Moses,Jr.,,False,in,,,,a307153580c84f84b6538af199c1855f,http://indianahousedemocrats.org/images/stories/head/moses.jpg,2011-04-08 18:48:34.330000,2013-01-09 18:24:45.364000
INL000118,Cindy Noe,Cindy,,Noe,,,False,in,,,,a72dee0b2e364991bb9a756e8d02fafa,http://www.in.gov/legislative/house_republicans/images/r87thumb.jpg,2011-04-08 18:48:34.335000,2013-01-09 18:24:45.365000
INL000120,Phil Pflum,Phil,,Pflum,,,False,in,,,,aed64121f9a449dbb16b962e228115f9,http://indianahousedemocrats.org/images/stories/head/pflum.jpg,2011-04-08 18:48:34.339000,2013-01-09 18:24:45.366000
INL000125,Scott Reske,Scott,,Reske,,,False,in,,,,9970ce2464e84ce5a367347706de8e6d,http://indianahousedemocrats.org/images/stories/head/reske.jpg,2011-04-08 18:48:34.348000,2013-01-09 18:24:45.367000
INL000136,Dan C. Stevenson,Dan C.,,Stevenson,,,False,in,,,,28004df2eedf41668b70bc42082cf47a,http://indianahousedemocrats.org/images/stories/head/stevenson.jpg,2011-04-08 18:48:34.412000,2013-01-09 18:24:45.368000
INL000137,Mary Ann Sullivan,Mary Ann,,Sullivan,,,False,in,,,,a1d2482cd9d94813baae2a2b1f7e3b92,http://indianahousedemocrats.org/images/stories/head/sullivan.jpg,2011-04-08 18:48:34.413000,2013-01-09 18:24:45.369000
INL000147,Peggy Welch,Peggy,,Welch,,,False,in,,,,98610879fd9e44b4941aec32779df047,http://indianahousedemocrats.org/images/stories/head/welch.jpg,2011-04-08 18:48:34.431000,2013-01-09 18:24:45.371000
INL000150,David Yarde II,David,,Yarde,II,,False,in,,,,91acae4a892344d8897f8bb5c5926438,http://www.in.gov/legislative/house_republicans/homepages/directory/r52thumb.jpg,2011-04-08 18:48:34.437000,2013-01-09 18:24:45.372000
INL000051,Terri Austin,Terri,,Austin,,,True,in,lower,36,Democratic,,http://indianahousedemocrats.org/images/stories/head/austin.jpg,2011-04-08 18:48:34.174000,2013-02-19 01:32:41.622000
INL000052,Ron Bacon,Ron,,Bacon,,,True,in,lower,75,Republican,be2b0af7ea06465382d276e471c9c5cb,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r75thumb.jpg,2011-04-08 18:48:34.176000,2013-02-19 01:32:41.632000
INL000053,Jim Baird,Jim,,Baird,,,True,in,lower,44,Republican,9aae45fdf2df4bb99b4a54b67cea23ff,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r44thumb.jpg,2011-04-08 18:48:34.178000,2013-02-19 01:32:41.765000
INL000060,Brian C. Bosma,Brian C.,,Bosma,,,True,in,lower,88,Republican,6e0edcf68dc14bc48bce55e396c94d77,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r88thumb.jpg,2011-04-08 18:48:34.200000,2013-02-19 01:16:16.195000
INL000067,Edward Clere,Edward,,Clere,,,True,in,lower,72,Republican,1e56ccbe1fad4314b8739b6947ccfc4d,http://www.in.gov/legislative/house_republicans/homepages/directory/r72thumb.jpg,2011-04-08 18:48:34.213000,2013-02-19 01:32:41.536000
INL000076,Thomas Dermody,Thomas,,Dermody,,,True,in,lower,20,Republican,3446749840ff4156a562bb954465f4cc,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r20thumb.jpg,2011-04-08 18:48:34.240000,2013-02-19 01:32:41.758000
INL000089,Terry Goodin,Terry,,Goodin,,,True,in,lower,66,Democratic,a9c07b5e1e244fd29ab2a3713cd28810,http://indianahousedemocrats.org/images/stories/head/goodin.jpg,2011-04-08 18:48:34.264000,2013-02-19 01:32:41.785000
INL000166,Todd Michael Huston,Todd Michael,,Huston,,,True,in,lower,37,Republican,,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r37thumb.jpg,2013-01-09 18:24:44.643000,2013-02-19 01:32:41.769000
INL000096,Mike Karickhoff,Mike,,Karickhoff,,,True,in,lower,30,Republican,c96172c11d814fb28128937e07a34773,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r30thumb.jpg,2011-04-08 18:48:34.276000,2013-02-19 01:32:41.771000
INL000106,Dan Leonard,Dan,,Leonard,,,True,in,lower,50,Republican,a51b3470d7704a19806fba6212bbc850,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r50thumb.jpg,2011-04-08 18:48:34.314000,2013-02-19 01:32:41.761000
INL000122,Phyllis J. Pond,Phyllis J.,,Pond,,,True,in,lower,85,Republican,89a5a6f76193419dabc80c3badd76cae,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r85thumb.jpg,2011-04-08 18:48:34.342000,2013-02-19 01:32:41.760000
INL000163,Christina Hale,Christina,,Hale,,,True,in,lower,87,Democratic,fc0401b164fc4cf1a3821b4c42df2d68,http://indianahousedemocrats.org/images/stories/head/hale.jpg,2013-01-09 18:24:44.605000,2013-02-19 01:32:41.717000
INL000162,Dan Forestal,Dan,,Forestal,,,True,in,lower,100,Democratic,6c765df3222e4d979bcf3e3f8712d1ac,http://indianahousedemocrats.org/images/stories/head/forestal.jpg,2013-01-09 18:24:44.561000,2013-02-19 01:32:41.744000
INL000160,Dale DeVon,Dale,,DeVon,,,True,in,lower,5,Republican,41f48bc73d8541fc8441fcabd7bd23ef,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r5thumb.jpg,2013-01-09 18:24:44.536000,2013-02-19 01:32:41.702000
INL000176,John Price,John,,Price,,,True,in,lower,47,Republican,97d8b8f7f99f4144b59e50a8fc167300,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r47thumb.jpg,2013-01-09 18:24:44.865000,2013-02-19 01:32:41.736000
INL000056,Kreg Battles,Kreg,,Battles,,,True,in,lower,45,Democratic,6c02efee9959400db1c479efba3cdbc1,http://indianahousedemocrats.org/images/stories/head/battles.jpg,2011-04-08 18:48:34.183000,2013-02-19 01:32:41.715000
INL000173,Sharon Negele,Sharon,,Negele,,,True,in,lower,13,Republican,44d5c5cb468f44beb05eeac2f888cc3e,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r13thumb.jpg,2013-01-09 18:24:44.807000,2013-02-19 01:32:41.772000
INL000178,Harold Slager,Harold,,Slager,,,True,in,lower,15,Republican,88db1d5f98bf4c8eb4d283e0ca7c5ad9,http://www.in.gov/legislative/house_republicans/homepages/images/thumbnails/r15thumb.jpg,2013-01-09 18:24:44.928000,2013-02-19 01:32:41.774000
