leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
MDL000242,Scherod C Barnes,Scherod,C,Barnes,,,False,md,,,,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-4478b.jpg,2010-08-27 22:54:37.861000,2011-01-12 16:13:14.492000
MDL000389,Tiffany T. Alston,Tiffany T.,,Alston,,,False,md,,,,b50ce5f2720249a4a85d555f9a360ab5,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-4845b.jpg,2011-01-14 22:24:08.509000,2013-01-31 15:26:07.848000
MDL000350,Justin D Ross,Justin,D,Ross,,,False,md,,,,fd93661dfbfa471b939fc00ba2a43b44,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-167c.jpg,2010-08-27 22:54:38.047000,2013-01-07 20:17:11.829000
MDL000080,Ann Marie Doory,Ann Marie,,Doory,,,False,md,,,,7793a2a320844ac6bdda8bc5ab209667,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-2578b.jpg,2010-07-12 16:17:11.905000,2011-01-12 16:13:14.491000
MDL000197,George W Della Jr.,George,W,Della,Jr.,,False,md,,,,be4ea5da1ad4421dbd383c9b45bbe91b,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1176b.jpg,2010-08-27 22:54:37.784000,2011-01-12 16:13:14.498000
MDL000206,Larry E Haines,Larry,E,Haines,,,False,md,,,,d1ac1e8627994d2487d00783598a2cc0,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1172b.jpg,2010-08-27 22:54:37.815000,2011-01-12 16:13:14.499000
MDL000207,David C Harrington,David,C,Harrington,,,False,md,,,,3c4a8f59f2c9412a9fc42545f78bee02,http://www.msa.md.gov/msa/mdmanual/36loc/pg/leg/images/1198-1-2575b.jpg,2010-08-27 22:54:37.816000,2011-01-12 16:13:14.498000
MDL000208,Andrew P Harris,Andrew,P,Harris,,,False,md,,,,9031d6b7a9554fc08d497bd5135ccd53,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1013c.jpg,2010-08-27 22:54:37.817000,2011-01-12 16:13:14.499000
MDL000216,Rona E Kramer,Rona,E,Kramer,,,False,md,,,,9e44f5e07c484ed5b8ebfd087a03c210,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1142c.jpg,2010-08-27 22:54:37.828000,2011-01-12 16:13:14.495000
MDL000217,Michael G Lenett,Michael,G,Lenett,,,False,md,,,,7d18e5a473f84c39a5a7e4b24f71f028,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-2526b.jpg,2010-08-27 22:54:37.829000,2011-01-12 16:13:14.496000
MDL000222,Alex X Mooney,Alex,X,Mooney,,,False,md,,,,f7e03a96cb774f2aae70feabd9214acb,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1475b.jpg,2010-08-27 22:54:37.835000,2011-01-12 16:13:14.497000
MDL000223,Donald F Munson,Donald,F,Munson,,,False,md,,,,505ab0b2d06244c6baed3973e7389fc9,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-007b.jpg,2010-08-27 22:54:37.837000,2011-01-12 16:13:14.496000
MDL000243,Joseph R Bartlett,Joseph,R,Bartlett,,,False,md,,,,2ee562feb53c41898fd8be03666c703c,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-3453b.jpg,2010-08-27 22:54:37.862000,2011-01-12 16:13:14.493000
MDL000254,Karen M Britto,Karen,M,Britto,,,False,md,,,,d7b6831e1fed4a82a77fa698614722ce,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-4405b.jpg,2010-08-27 22:54:37.877000,2011-01-12 16:13:14.483000
MDL000263,Virginia P Clagett,Virginia,P,Clagett,,,False,md,,,,ad6d01b828f84d359f90937b43174952,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-3611b.jpg,2010-08-27 22:54:37.888000,2011-01-12 16:13:14.487000
MDL000274,Carolyn J Elmore,Carolyn,J,Elmore,,,False,md,,,,5908bc95b4974f1283dffb1e7ef1a2ed,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-4470b.jpg,2010-08-27 22:54:37.902000,2011-01-12 16:13:14.489000
MDL000292,Henry B Heller,Henry,B,Heller,,Hank,False,md,,,,9e55650ca3354d29b08804a95de1605e,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1502b.jpg,2010-08-27 22:54:37.946000,2011-01-12 16:13:14.484000
MDL000302,Charles A Jenkins,Charles,A,Jenkins,,,False,md,,,,e7626d83951e453d9adbca3012c27df4,http://www.mdarchives.us/msa/mdmanual/36loc/fr/leg/images/1198-1-4185b.jpg,2010-08-27 22:54:37.959000,2011-01-12 16:13:14.491000
MDL000308,James J King,James,J,King,,,False,md,,,,c7ce308356b14f3cac8b3c63852e8f87,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-2524b.jpg,2010-08-27 22:54:37.966000,2011-01-12 16:13:14.487000
MDL000310,Ruth M Kirk,Ruth,M,Kirk,,,False,md,,,,ff91310a95cf4008914182161b1ed1d2,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-218c.jpg,2010-08-27 22:54:37.969000,2011-01-12 16:13:14.492000
MDL000313,Carolyn J Krysiak,Carolyn,J,Krysiak,,,False,md,,,,e0a49a5f836a483c80bb0affeef5f79d,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1219b.jpg,2010-08-27 22:54:37.973000,2011-01-12 16:13:14.492000
MDL000317,Gerron S Levi,Gerron,S,Levi,,,False,md,,,,03014e8c45c44522879ac004195934f1,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-1647b.jpg,2010-08-27 22:54:37.978000,2011-01-12 16:13:14.485000
MDL000318,Murray D Levy,Murray,D,Levy,,,False,md,,,,e958cd59901b4e4298a69a719de1d304,http://www.mdarchives.us/msa/mdmanual/06hse/images/1198-1-1677b.jpg,2010-08-27 22:54:37.979000,2011-01-12 16:13:14.486000
MDL000353,Todd L Schuler,Todd,L,Schuler,,,False,md,,,,33a87dd4d554424ea4020bb9562aa5e7,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-1660b.jpg,2010-08-27 22:54:38.050000,2011-01-12 16:13:14.495000
MDL000356,Tanya Thornton Shewell,Tanya,,Thornton Shewell,,,False,md,,,,4fa31dce90ca4f3194c9724b5b7b9097,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1429b.jpg,2010-08-27 22:54:38.054000,2011-01-12 16:13:14.494000
MDL000360,Richard A Sossi,Richard,A,Sossi,,,False,md,,,,d741fca7cbfe48dba67ac8f71c2df10d,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-166c.jpg,2010-08-27 22:54:38.060000,2011-01-12 16:13:14.489000
MDL000365,Paul S Stull,Paul,S,Stull,,,False,md,,,,9d34e02456f345578d5fc99348f765ea,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-1233b.jpg,2010-08-27 22:54:38.066000,2011-01-12 16:13:14.494000
MDL000367,Herman L Taylor Jr.,Herman,L,Taylor,Jr.,,False,md,,,,9ef7010459df4ee8ab442e7670c24cf8,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1703b.jpg,2010-08-27 22:54:38.069000,2011-01-12 16:13:14.482000
MDL000288,Hattie N Harrison,Hattie,N,Harrison,,,False,md,,,,4597a7573bf9495f9287b22b60efa426,http://mgaleg.maryland.gov/2013RS/images/harrison.jpg,2010-08-27 22:54:37.940000,2013-03-01 02:37:35.988000
MDL000200,Nathaniel Exum,Nathaniel,,Exum,,,False,md,,,,c5dc818f936c403ea0cb30aad4a7eaed,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1057c.jpg,2010-08-27 22:54:37.788000,2011-01-12 16:13:14.497000
MDL000234,J. Lowell Stoltzfus,J. Lowell,,Stoltzfus,,,False,md,,,,e33d12d1d84e432faf37da2ee007814d,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-624b.jpg,2010-08-27 22:54:37.851000,2011-01-12 16:13:14.497000
MDL000237,Saqib Ali,Saqib,,Ali,,,False,md,,,,485c6abd216b48aebdd77f20ff272878,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-2756b.jpg,2010-08-27 22:54:37.855000,2011-01-12 16:13:14.490000
MDL000291,C. Sue Hecht,C. Sue,,Hecht,,,False,md,,,,55e84918295940b89d5c3e405cd713dc,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-1649b.jpg,2010-08-27 22:54:37.944000,2011-01-12 16:13:14.490000
MDL000314,Sue Kullen,Sue,,Kullen,,,False,md,,,,fb9376712bf14f878e0df0e8fda3fc60,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-2573b.jpg,2010-08-27 22:54:37.974000,2011-01-12 16:13:14.485000
MDL000346,Craig L Rice,Craig,L,Rice,,,False,md,,,,ae568aa0db14420e860ce002946db198,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1651b.jpg,2010-08-27 22:54:38.041000,2011-01-12 16:13:14.483000
MDL000347,B. Daniel Riley,B. Daniel,,Riley,,,False,md,,,,c3889b82a9b44deaaa6dbb084f6e6fc6,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-4316b.jpg,2010-08-27 22:54:38.043000,2011-01-12 16:13:14.488000
MDL000375,Mary Roe Walkup,Mary Roe,,Walkup,,,False,md,,,,f9cf7efa41d647f38ce263db3a7cfe1e,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1235b.jpg,2010-08-27 22:54:38.079000,2011-01-12 16:13:14.488000
MDL000244,Kumar P Barve,Kumar,P,Barve,,,True,md,lower,17,Democratic,c9c64b58dc0848369c43836214c97a8e,http://mgaleg.maryland.gov/2013RS/images/barve.jpg,2010-08-27 22:54:37.864000,2013-03-01 02:37:36.620000
MDL000252,Talmadge Branch,Talmadge,,Branch,,,True,md,lower,45,Democratic,486b5f8f06b143398091d31075b92c7f,http://mgaleg.maryland.gov/2013RS/images/branch.jpg,2010-08-27 22:54:37.874000,2013-03-01 02:37:36.589000
MDL000257,Michael E Busch,Michael,E,Busch,,,True,md,lower,30,Democratic,86915e4d29c6409b9cb4ccd5a44a0d73,http://mgaleg.maryland.gov/2013RS/images/busch.jpg,2010-08-27 22:54:37.880000,2013-03-01 02:25:21.934000
MDL000258,Rudolph C Cane,Rudolph,C,Cane,,,True,md,lower,37A,Democratic,3e29a1e336a949b285293a915ccce56b,http://mgaleg.maryland.gov/2013RS/images/cane.jpg,2010-08-27 22:54:37.882000,2013-03-01 02:37:36.183000
