leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
NML000113,Lisa K. Curtis,Lisa K.,,Curtis,,,False,nm,,,,82448383d97144b79ce00b76f46c5837,http://www.nmlegis.gov/lcs/graphics/photos/SCURT.jpg,2012-01-20 00:30:42.622000,2013-01-15 15:51:48.565000
NML000018,Mark Boitano,Mark L.,,Boitano,,,False,nm,,,,efad9e1c08b640b7b6114d98588d3398,http://www.nmlegis.gov/lcs/graphics/photos/SBOIT.jpg,2011-08-05 16:10:18.434000,2013-01-15 15:51:48.569000
NML000078,Andy Nuñez,Andy,,Nuñez,,,False,nm,,,,,http://www.nmlegis.gov/lcs/graphics/photos/HNUNE.jpg,2011-08-05 16:10:18.668000,2013-01-15 15:51:48.553000
NML000085,Jim W. Hall,Jim,W.,Hall,,,False,nm,,,,,http://www.nmlegis.gov/lcs/graphics/photos/HHALJ.jpg,2011-08-05 16:10:18.698000,2013-01-15 15:51:48.554000
NML000095,Rick Little,Rick,,Little,,,False,nm,,,,,http://www.nmlegis.gov/lcs/graphics/photos/HLITT.jpg,2011-08-05 16:10:18.727000,2013-01-15 15:51:48.559000
NML000007,Clinton D. Harden,Clinton,D.,Harden,,,False,nm,,,,fc795b27ecc44809b096d1db629c0534,http://www.nmlegis.gov/lcs/graphics/photos/SHARD.jpg,2011-08-05 16:10:18.392000,2012-12-17 19:20:06.812000
NML000013,Dede Feldman,Dede,,Feldman,,,False,nm,,,,cd70ba41056a44baa335418462b4ff5b,http://www.nmlegis.gov/lcs/graphics/photos/SFELD.jpg,2011-08-05 16:10:18.420000,2013-01-15 15:51:48.566000
NML000014,Eric G. Griego,Eric,G.,Griego,,,False,nm,,,,785df81f2a90412fabff7ecc524a5d39,http://www.nmlegis.gov/lcs/graphics/photos/SGRIR.jpg,2011-08-05 16:10:18.423000,2013-01-15 15:51:48.567000
NML000015,Tim Eichenberg,Tim,,Eichenberg,,,False,nm,,,,25659c482fbf44a1a43476235227ed90,http://www.nmlegis.gov/lcs/graphics/photos/SEICH.jpg,2011-08-05 16:10:18.425000,2013-01-15 15:51:48.568000
NML000021,Kent L. Cravens,Kent,L.,Cravens,,,False,nm,,,,ea4db873577c4b78bd6116748ca4e387,http://www.nmlegis.gov/lcs/graphics/photos/SCRAV.jpg,2011-08-05 16:10:18.452000,2012-06-05 19:35:43.883000
NML000026,Bernadette M. Sanchez,Bernadette,M.,Sanchez,,,False,nm,,,,59c0866742664ab4bc658cc61a82810c,http://www.nmlegis.gov/lcs/graphics/photos/SSANB.jpg,2011-08-05 16:10:18.468000,2013-01-15 15:51:48.570000
NML000030,David Ulibarri,David,,Ulibarri,,,False,nm,,,,9e714a4843514c498ba53ab7fd466c29,http://www.nmlegis.gov/lcs/graphics/photos/SULIB.jpg,2011-08-05 16:10:18.490000,2013-01-15 15:51:48.572000
NML000031,Cynthia Nava,Cynthia,,Nava,,,False,nm,,,,be1152862d5a43e788f29153958cbf95,http://www.nmlegis.gov/lcs/graphics/photos/SNAVA.jpg,2011-08-05 16:10:18.493000,2013-01-15 15:51:48.573000
NML000032,Timothy Z. Jennings,Timothy,Z.,Jennings,,,False,nm,,,,c554cc2e355e44d99361947a559b45bc,http://www.nmlegis.gov/lcs/graphics/photos/SJENT.jpg,2011-08-05 16:10:18.496000,2013-01-15 15:51:48.574000
NML000033,Rod Adair,Rod,,Adair,,,False,nm,,,,ec743954b7744a9389b93c4053cdae82,http://www.nmlegis.gov/lcs/graphics/photos/SADAI.jpg,2011-08-05 16:10:18.500000,2013-01-15 15:51:48.575000
NML000034,Vernon D. Asbill,Vernon,D.,Asbill,,,False,nm,,,,b1b022ff35af4e5ba764503410bfa140,http://www.nmlegis.gov/lcs/graphics/photos/SASBI.jpg,2011-08-05 16:10:18.503000,2013-01-15 15:51:48.577000
NML000036,Mary Jane M. Garcia,Mary Jane,M.,Garcia,,,False,nm,,,,bf324f24e8f24848aea7ecf47b1b3b18,http://www.nmlegis.gov/lcs/graphics/photos/SGARC.jpg,2011-08-05 16:10:18.509000,2013-01-15 15:51:48.578000
NML000037,Stephen H. Fischmann,Stephen,H.,Fischmann,,,False,nm,,,,b930897f08614b39b2912f048f06ad59,http://www.nmlegis.gov/lcs/graphics/photos/SFISC.jpg,2011-08-05 16:10:18.512000,2013-01-15 15:51:48.579000
NML000046,Ray Begaye,Ray,,Begaye,,,False,nm,,,,544a810350a041cd9f89fe4ef9766571,http://www.nmlegis.gov/lcs/graphics/photos/HBEGA.jpg,2011-08-05 16:10:18.549000,2013-01-15 15:51:48.535000
NML000049,David C. Chavez,David,C.,Chavez,,,False,nm,,,,9993707012804a13b9bf322958597d81,http://www.nmlegis.gov/lcs/graphics/photos/HCHAD.jpg,2011-08-05 16:10:18.558000,2013-01-15 15:51:48.537000
NML000055,Eleanor Chavez,Eleanor,,Chavez,,,False,nm,,,,33355f389e8c4836b92aae327796ec01,http://www.nmlegis.gov/lcs/graphics/photos/HCHAL.jpg,2011-08-05 16:10:18.585000,2013-01-15 15:51:48.538000
