leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
OHL000131,Richard Hollington,Richard,,Hollington,,,False,oh,,,,,http://www.house.state.oh.us/houseImages/129/headshots/h98.jpg,2011-02-22 21:25:58.554000,2012-06-05 20:28:20.731000
OHL000157,Philip H. Rose ,Philip H.,,Rose,,,False,oh,,,,,,2012-02-03 00:53:54.350000,2012-06-05 20:25:55.843000
OHL000158,Mary Brigid Matheney ,Mary Brigid,,Matheney,,,False,oh,,,,,,2012-02-17 01:06:24.844000,2012-06-05 20:30:49
OHL000002,Mark Wagoner,Mark,,Wagoner,,,False,oh,,,,246cbcb232284ec3bcfc937298aee425,http://www.ohiosenate.gov/senateImages/129/headshots/s02.jpg,2011-02-22 21:25:58.175000,2013-01-07 20:11:11.647000
OHL000083,Todd A Snitchler,Todd,A,Snitchler,,,False,oh,,,,3d94be076f19433580b63654529a567a,,2011-02-22 21:25:58.446000,2012-02-22 22:28:02.338000
OHL000004,Gary Cates,Gary,,Cates,,,False,oh,,,,942dc8af5125420d93c917019804a3d9,http://www.ohiosenate.gov/senateImages/129/headshots/s04.jpg,2011-02-22 21:25:58.190000,2012-06-05 20:02:06.516000
OHL000014,Thomas E Niehaus,Thomas,E,Niehaus,,,False,oh,,,,b217933420614f6c8f34f1da28889ba5,http://www.ohiosenate.gov/senateImages/129/headshots/s14.jpg,2011-02-22 21:25:58.232000,2013-01-07 20:11:11.646000
OHL000017,David T Daniels,David,T,Daniels,,,False,oh,,,,656e6875ff364d3980dc357f4a859950,http://www.ohiosenate.gov/senateImages/129/headshots/s17.jpg,2011-02-22 21:25:58.237000,2012-06-05 20:06:46.381000
OHL000018,Tim Grendell,Tim,,Grendell,,,False,oh,,,,681e5980082b43669fa8f507c16dd469,http://www.ohiosenate.gov/senateImages/129/headshots/s18.jpg,2011-02-22 21:25:58.239000,2012-02-22 22:25:43.522000
OHL000020,Jimmy Stewart,Jimmy,,Stewart,,,False,oh,,,,bf710f8dc31b4fa09a7fb0fe5d664da5,http://www.ohiosenate.gov/senateImages/129/headshots/s20.jpg,2011-02-22 21:25:58.263000,2012-06-05 20:08:23.653000
OHL000026,Karen Gillmor,Karen,,Gillmor,,,False,oh,,,,b2813aa40f334a70b23ea19c566c5d68,http://www.ohiosenate.gov/senateImages/129/headshots/s26.jpg,2011-02-22 21:25:58.285000,2012-06-05 20:09:44.059000
OHL000030,Jason Wilson,Jason,,Wilson,,,False,oh,,,,82dffa2893494508a9b4337c2f5d7df4,http://www.ohiosenate.gov/senateImages/129/headshots/s30.jpg,2011-02-22 21:25:58.293000,2012-02-22 22:25:09.486000
OHL000048,Timothy J DeGeeter,Timothy,J,DeGeeter,,,False,oh,,,,48b36de6696147de9ddb7ae7d944bfa0,http://www.house.state.oh.us/houseImages/129/headshots/h15.jpg,2011-02-22 21:25:58.352000,2012-02-22 22:26:18.176000
OHL000060,W. Carlton Weddington,W. Carlton,,Weddington,,,False,oh,,,,4f720491120344368b9425b5eae4971d,http://www.house.state.oh.us/houseImages/129/headshots/h27.jpg,2011-02-22 21:25:58.385000,2012-06-05 20:15:56.750000
OHL000063,Robert P Mecklenborg,Robert,P,Mecklenborg,,,False,oh,,,,a261c12165424b7dae53f2668fac0a69,http://www.house.state.oh.us/houseImages/129/headshots/h30.jpg,2011-02-22 21:25:58.391000,2012-02-22 22:26:58.874000
OHL000074,Lynn Slaby,Lynn,,Slaby,,,False,oh,,,,88c3bae2a0454bd08f3038eaf91f432c,http://www.house.state.oh.us/houseImages/129/headshots/h41.jpg,2011-02-22 21:25:58.410000,2012-06-05 20:19:22.755000
OHL000076,Todd McKenney,Todd,,McKenney,,,False,oh,,,,3e04607f5551476d82a0412f0237e04f,http://www.house.state.oh.us/houseImages/129/headshots/h43.jpg,2011-02-22 21:25:58.413000,2012-02-22 22:27:23.068000
OHL000118,Bob Peterson,Bob,,Peterson,,,False,oh,,,,43dc8b55045042e4a0ca3dd77c083c94,http://www.house.state.oh.us/houseImages/129/headshots/h85.jpg,2011-02-22 21:25:58.529000,2012-06-05 20:23:10.743000
OHL000120,John Carey,John,,Carey,,,False,oh,,,,bd4a08eed5354af284b7a112a8c0d218,http://www.house.state.oh.us/houseImages/129/headshots/h87.jpg,2011-02-22 21:25:58.533000,2012-06-05 20:25:10.466000
OHL000072,Clayton R Luckie,Clayton,R,Luckie,,,False,oh,lower,39,Democratic,a3b28c1806b242a99ab7b328dbc93e6f,http://www.house.state.oh.us/houseImages/129/headshots/h39.jpg,2011-02-22 21:25:58.406000,2013-01-07 20:11:11.612000
OHL000107,Bruce W Goodwin,Bruce,W,Goodwin,,,False,oh,lower,74,Republican,0cb0d5b67d0f460392b8652e2f0afbb8,http://www.house.state.oh.us/houseImages/129/headshots/h74.jpg,2011-02-22 21:25:58.497000,2013-01-07 20:11:11.611000
OHL000034,Craig Newbold,Craig,,Newbold,,,False,oh,lower,1,Republican,f000a4283fb3426c84ee11f2adad6c8e,http://www.house.state.oh.us/houseImages/129/headshots/h01.jpg,2011-02-22 21:25:58.300000,2013-01-07 20:11:11.522000
OHL000040,Kenny Yuko,Kenny,,Yuko,,,False,oh,lower,7,Democratic,8e3cf9627c5c4a12bc2a712dc856964f,http://www.house.state.oh.us/houseImages/129/headshots/h07.jpg,2011-02-22 21:25:58.328000,2013-01-07 20:11:11.526000
OHL000053,Nancy J Garland,Nancy,J,Garland,,,False,oh,lower,20,Democratic,f9857f5c94494402a1cec1e10dd35b2e,http://www.house.state.oh.us/houseImages/129/headshots/h20.jpg,2011-02-22 21:25:58.361000,2013-01-07 20:11:11.499000
OHL000057,Ted Celeste,Ted,,Celeste,,,False,oh,lower,24,Democratic,98c292e941f44d209ac33024baf057f5,http://www.house.state.oh.us/houseImages/129/headshots/h24.jpg,2011-02-22 21:25:58.369000,2013-01-07 20:11:11.549000
OHL000062,Louis W Blessing Jr.,Louis,W,Blessing,Jr.,,False,oh,lower,29,Republican,a6fdcc2fbee04cc2a52997abb2030917,http://www.house.state.oh.us/houseImages/129/headshots/h29.jpg,2011-02-22 21:25:58.389000,2013-01-07 20:11:11.502000
OHL000087,Courtney Combs,Courtney,,Combs,,,False,oh,lower,54,Republican,43c2335e46fd43e093ed3f6f8d752544,http://www.house.state.oh.us/houseImages/129/headshots/h54.jpg,2011-02-22 21:25:58.460000,2013-01-07 20:11:11.540000
OHL000094,Mark D Okey,Mark,D,Okey,,,False,oh,lower,61,Democratic,83b45e22423e4147b5d08afc56ee0b9a,http://www.house.state.oh.us/houseImages/129/headshots/h61.jpg,2011-02-22 21:25:58.474000,2013-01-07 20:11:11.584000
OHL000095,Lorraine M Fende,Lorraine,M,Fende,,,False,oh,lower,62,Democratic,045b7bc787324e419f023374cc8dde41,http://www.house.state.oh.us/houseImages/129/headshots/h62.jpg,2011-02-22 21:25:58.476000,2013-01-07 20:11:11.576000
OHL000103,Jarrod B Martin,Jarrod,B,Martin,,,False,oh,lower,70,Republican,bb7071cf436a4e3b8e7e5eb5d9ad1cb3,http://www.house.state.oh.us/houseImages/129/headshots/h70.jpg,2011-02-22 21:25:58.490000,2013-01-07 20:11:11.558000
OHL000106,Jay P Goyal,Jay,P,Goyal,,,False,oh,lower,73,Democratic,77b0c74a944a4121b214a0d57a44e7ae,http://www.house.state.oh.us/houseImages/129/headshots/h73.jpg,2011-02-22 21:25:58.496000,2013-01-07 20:11:11.495000
OHL000113,Dennis E Murray,Dennis,E,Murray,,,False,oh,lower,80,Democratic,a16864b6b9ea4d369700d284ab58952c,http://www.house.state.oh.us/houseImages/129/headshots/h80.jpg,2011-02-22 21:25:58.508000,2013-01-07 20:11:11.552000
OHL000121,Danny R Bubp,Danny,R,Bubp,,,False,oh,lower,88,Republican,3cc75c0a61654e189ccb0dadee7dc1e2,http://www.house.state.oh.us/houseImages/129/headshots/h88.jpg,2011-02-22 21:25:58.534000,2013-01-07 20:11:11.545000
OHL000132,Casey Kozlowski,Casey,,Kozlowski,,,False,oh,lower,99,Republican,2492fb65d44c489fac24d48a4b337c3b,http://www.house.state.oh.us/houseImages/129/headshots/h99.jpg,2011-02-22 21:25:58.556000,2013-01-07 20:11:11.530000
OHL000258,Chris Redfern,Chris,,Redfern,,,True,oh,lower,89,Democratic,,http://www.ohiohouse.gov/Assets/Headshots/Small/89.jpg,2013-01-08 22:53:56.941000,2013-03-01 01:11:28.620000
OHL000125,Debbie Phillips,Debbie,,Phillips,,,True,oh,lower,94,Democratic,4291abf9b22f488098b820b46ae1cf4d,http://www.house.state.oh.us/houseImages/129/headshots/h92.jpg,2011-02-22 21:25:58.542000,2013-03-01 01:11:28.841000
OHL000220,Wes Retherford,Wes,,Retherford,,,True,oh,lower,51,Republican,6df42d2f4e44457cb089aa2a703a63b5,http://www.ohiohouse.gov/Assets/Headshots/Small/51.jpg,2013-01-08 22:53:56.701000,2013-03-01 01:11:28.851000
OHL000234,John Becker,John,,Becker,,,True,oh,lower,65,Republican,21dc4599fb6d4d94b93a5ad51005f034,http://www.ohiohouse.gov/Assets/Headshots/Small/65.jpg,2013-01-08 22:53:56.785000,2013-03-01 01:11:28.853000
OHL000174,Nick Barborak,Nick,,Barborak,,,True,oh,lower,5,Democratic,b95435fb28e349178ca2d6367079b232,http://www.ohiohouse.gov/Assets/Headshots/Small/5.jpg,2013-01-08 22:53:56.417000,2013-03-01 01:11:28.856000
OHL000198,Louis W. Blessing III,Louis W.,,Blessing,III,,True,oh,lower,29,Republican,9cb233ea2831421b9f23ae0efa57707d,http://www.ohiohouse.gov/Assets/Headshots/Small/29.jpg,2013-01-08 22:53:56.554000,2013-03-01 01:11:28.858000
OHL000186,Michael F. Curtin,Michael F.,,Curtin,,,True,oh,lower,17,Democratic,495d95ca1b9f478c854aedacf68aee99,http://www.ohiohouse.gov/Assets/Headshots/Small/17.jpg,2013-01-08 22:53:56.484000,2013-03-01 01:11:28.860000
OHL000042,Barbara Boyd,Barbara,,Boyd,,,True,oh,lower,9,Democratic,674cf7c39a194c79a17fefa66beaf783,http://www.house.state.oh.us/houseImages/129/headshots/h09.jpg,2011-02-22 21:25:58.331000,2013-03-01 01:11:29.109000
OHL000156,Nicholas J. Celebrezze,Nicholas J.,,Celebrezze,,,True,oh,lower,15,Democratic,c371b91cc58448a6958bdbbc0d87b481,http://www.house.state.oh.us/houseImages/129/headshots/h15.jpg,2012-01-27 00:52:01.059000,2013-03-01 01:11:28.861000
OHL000208,Fred Strahorn,Fred,,Strahorn,,,True,oh,lower,39,Democratic,,http://www.ohiohouse.gov/Assets/Headshots/Small/39.jpg,2013-01-08 22:53:56.632000,2013-03-01 01:11:28.864000
OHL000229,John M. Rogers,John M.,,Rogers,,,True,oh,lower,60,Democratic,,http://www.ohiohouse.gov/Assets/Headshots/Small/60.jpg,2013-01-08 22:53:56.754000,2013-03-01 01:11:28.866000
OHL000247,Ron Hood,Ron,,Hood,,,True,oh,lower,78,Republican,,http://www.ohiohouse.gov/Assets/Headshots/Small/78.jpg,2013-01-08 22:53:56.870000,2013-03-01 01:11:28.870000
OHL000251,Tony Burkley,Tony,,Burkley,,,True,oh,lower,82,Republican,,http://www.ohiohouse.gov/Assets/Headshots/Small/82.jpg,2013-01-08 22:53:56.895000,2013-03-01 01:11:28.875000
OHL000268,John Patterson,John,,Patterson,,,True,oh,lower,99,Democratic,99c9859534144f05a0bd826c47e8033c,http://www.ohiohouse.gov/Assets/Headshots/Small/99.jpg,2013-01-08 22:53:57.005000,2013-03-01 01:11:28.877000
OHL000189,Heather Bishoff,Heather,,Bishoff,,,True,oh,lower,20,Democratic,0df1571d53534d0abef61c95196c7661,http://www.ohiohouse.gov/Assets/Headshots/Small/20.jpg,2013-01-08 22:53:56.502000,2013-03-01 01:11:28.879000
OHL000089,Dan Ramos,Dan,,Ramos,,,True,oh,lower,56,Democratic,25b0e7aa0a3745a68ca8e02feefb849e,http://www.house.state.oh.us/houseImages/129/headshots/h56.jpg,2011-02-22 21:25:58.465000,2013-03-01 01:11:28.887000
OHL000035,Andrew Brenner,Andrew,,Brenner,,,True,oh,lower,67,Republican,e979f2117c9d4571ac7cdca5072f9d67,http://www.house.state.oh.us/houseImages/129/headshots/h02.jpg,2011-02-22 21:25:58.319000,2013-03-01 01:11:28.852000
OHL000036,Ron Amstutz,Ron,,Amstutz,,,True,oh,lower,1,Republican,3a4da911384e4564ae4654b873391028,http://www.house.state.oh.us/houseImages/129/headshots/h03.jpg,2011-02-22 21:25:58.321000,2013-03-01 01:11:28.726000
OHL000037,Matt Huffman,Matt,,Huffman,,,True,oh,lower,4,Republican,e5ae7ec40ef247a1bb48cff0bc703ca8,http://www.house.state.oh.us/houseImages/129/headshots/h04.jpg,2011-02-22 21:25:58.322000,2013-03-01 01:11:28.729000
OHL000038,Gerald L Stebelton,Gerald,L,Stebelton,,,True,oh,lower,77,Republican,60fcaf3818c44f1f980ead814d92147d,http://www.house.state.oh.us/houseImages/129/headshots/h05.jpg,2011-02-22 21:25:58.324000,2013-03-01 01:11:28.898000
OHL000041,Armond Budish,Armond,,Budish,,,True,oh,lower,8,Democratic,46aee2151333497485eea692463d726e,http://www.house.state.oh.us/houseImages/129/headshots/h08.jpg,2011-02-22 21:25:58.329000,2013-03-01 01:11:28.627000
OHL000045,John Barnes Jr.,John,,Barnes,Jr.,,True,oh,lower,12,Democratic,f68c9fd103744e8da90c7f57b7df1bbc,http://www.house.state.oh.us/houseImages/129/headshots/h12.jpg,2011-02-22 21:25:58.336000,2013-03-01 01:11:28.901000
OHL000078,Zack Milkovich,Zack,,Milkovich,,,True,oh,lower,35,Democratic,6754728fc2b1443bab08073166edc3b8,http://www.house.state.oh.us/houseImages/129/headshots/h45.jpg,2011-02-22 21:25:58.427000,2013-03-01 01:11:28.902000
OHL000047,Mike Foley,Mike,,Foley,,,True,oh,lower,14,Democratic,888f5a99e3af418f95460049a4d251fa,http://www.house.state.oh.us/houseImages/129/headshots/h14.jpg,2011-02-22 21:25:58.350000,2013-03-01 01:11:28.904000
OHL000049,Nan A Baker,Nan,A,Baker,,,True,oh,lower,16,Republican,059444e3d3d9449895d2bcadf699a556,http://www.house.state.oh.us/houseImages/129/headshots/h16.jpg,2011-02-22 21:25:58.353000,2013-03-01 01:11:28.907000
OHL000050,Marlene Anielski,Marlene,,Anielski,,,True,oh,lower,6,Republican,0e44cd05a5754dfcbef05c55c40986ca,http://www.house.state.oh.us/houseImages/129/headshots/h17.jpg,2011-02-22 21:25:58.355000,2013-03-01 01:11:28.909000
OHL000051,Mike Dovilla,Mike,,Dovilla,,,True,oh,lower,7,Republican,7a2595851ebb4724bc9b5219454f7306,http://www.house.state.oh.us/houseImages/129/headshots/h18.jpg,2011-02-22 21:25:58.357000,2013-03-01 01:11:28.910000
OHL000052,Anne Gonzales,Anne,,Gonzales,,,True,oh,lower,19,Republican,9c133a6d655d44b7885046d53b4af776,http://www.house.state.oh.us/houseImages/129/headshots/h19.jpg,2011-02-22 21:25:58.359000,2013-03-01 01:11:28.857000
OHL000054,Mike Duffey,Mike,,Duffey,,,True,oh,lower,21,Republican,f1a2b97c98934fff8acc53a9fbd24d77,http://www.house.state.oh.us/houseImages/129/headshots/h21.jpg,2011-02-22 21:25:58.362000,2013-03-01 01:11:28.739000
OHL000055,John Patrick Carney,John Patrick,,Carney,,,True,oh,lower,22,Democratic,a7b1aa1dec7d4e1b86d896e51607832d,http://www.house.state.oh.us/houseImages/129/headshots/h22.jpg,2011-02-22 21:25:58.365000,2013-03-01 01:11:28.740000
