leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
PRL000045,Paula A. Rodríguez Homs,Paula,A.,Homs,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/254EFA0E17D249A3B951EF2C48C22EBD.jpg,2011-07-22 23:11:40.590000,2013-01-29 00:52:15.892000
PRL000010,Alejandro Garcia Padilla,Alejandro,,Garcia Padilla,,,False,pr,,,,,/Fotos%20Senadores/sen_apadilla_S.jpg,2011-07-22 23:11:40.416000,2013-01-29 00:52:15.975000
PRL000020,Jose E. Gonzalez Velazquez,Jose,E.,Gonzalez Velazquez,,,False,pr,,,,,/Fotos%20Senadores/sen_jgonazalez_S.jpg,2011-07-22 23:11:40.485000,2013-01-29 00:52:15.974000
PRL000016,Roberto A. Arango Vinent,Roberto,A.,Arango Vinent,,,False,pr,,,,,/Fotos%20Senadores/sen_rarango_S.jpg,2011-07-22 23:11:40.456000,2012-06-14 19:16:41.702000
PRL000026,Antonio Soto Diaz,Antonio,,Soto Diaz,,,False,pr,,,,,/Fotos%20Senadores/sen_asoto_S.jpg,2011-07-22 23:11:40.514000,2012-06-08 14:34:41.333000
PRL000028,Ramon Diaz Hernandez,Ramon,Diaz,Hernandez,,,False,pr,,,,,/Fotos%20Senadores/sen_jdiaz_S.jpg,2011-07-22 23:11:40.518000,2013-01-29 00:52:16.003000
PRL000077,Héctor Ferrer Ríos,Héctor,,Ferrer Ríos,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/19EB9BCB3D31491EB346888D9E00348D.jpg,2011-07-22 23:11:40.724000,2012-03-06 17:33:18.572000
PRL000125,Miguel Rodriguez Martinez,Miguel Rodriguez,,Martinez,,,False,pr,,,,,,2012-06-05 04:54:17.001000,2013-01-29 00:52:16.002000
PRL000022,Luis D. Muñiz Cortes,Luis,D.,Muñiz Cortes,,,False,pr,,,,,http://www.senadopr.us/Fotos%20Senadores/sen_lmuniz.jpg,2011-07-22 23:11:40.506000,2013-01-29 00:52:15.983000
PRL000023,Evelyn Vazquez Nieves,Evelyn,,Vazquez Nieves,,,False,pr,,,,,/Fotos%20Senadores/sen_evarquez_S.jpg,2011-07-22 23:11:40.508000,2013-01-29 00:52:15.984000
PRL000015,Sila M. Gonzalez Calderon,Sila,M.,Gonzalez Calderon,,,False,pr,,,,,/Fotos%20Senadores/sen_sgonzales_S.jpg,2011-07-22 23:11:40.446000,2013-01-29 00:52:15.982000
PRL000027,Carlos J. Torres Torres,Carlos,J.,Torres Torres,,,False,pr,,,,,http://www.senadopr.us/Fotos%20Senadores/sen_ctorres.jpg,2011-07-22 23:11:40.516000,2013-01-29 00:52:15.979000
PRL000014,Juan E. Hernandez Mayoral,Juan,E.,Hernandez Mayoral,,,False,pr,,,,,http://www.senadopr.us/Fotos%20Senadores/sen_jhernandez.jpg,2011-07-22 23:11:40.434000,2013-01-29 00:52:15.981000
PRL000005,Melinda K. Romero Donnelly,Melinda,K.,Romero Donnelly,,,False,pr,,,,,http://www.senadopr.us/Fotos%20Senadores/sen_mromero.jpg,2011-07-22 23:11:40.384000,2013-01-29 00:52:15.976000
PRL000013,Jorge I. Suarez Caceres,Jorge,I.,Suarez Caceres,,,False,pr,,,,,http://www.senadopr.us/Fotos%20Senadores/sen_jsuarez.jpg,2011-07-22 23:11:40.423000,2013-01-29 00:52:15.977000
PRL000029,Luz M. Santiago Gonzalez,Luz,M.,Santiago Gonzalez,,,False,pr,,,,,http://www.senadopr.us/Fotos%20Senadores/sen_lsantiago.jpg,2011-07-22 23:11:40.520000,2013-01-29 00:52:15.980000
PRL000048,José L. Rivera Guerra,José,L.,Guerra,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/039C4F1A51414F6DA185058F01BF244B.jpg,2011-07-22 23:11:40.595000,2013-01-29 00:52:15.901000
PRL000072,José Chico Vega,José,,Chico Vega,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/54332TZ9NG54332TZ9NH3543330TZ9NI.JPG,2011-07-22 23:11:40.714000,2013-01-29 00:52:15.902000
PRL000080,Carmen Y. Cruz Soto,Carmen,Y.,Cruz Soto,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/6A93FA8710FF4BE8A99A48CD6280BBB6.jpg,2011-07-22 23:11:40.751000,2013-01-29 00:52:15.898000
PRL000054,Julissa Nolasco Ortíz,Julissa Nolasco,,Ortíz,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/21B71FD129364F8EA4EF69D78EE75516.jpg,2011-07-22 23:11:40.623000,2013-01-29 00:52:15.903000
PRL000062,Sylvia Rodríguez Aponte,Sylvia Rodríguez,,Aponte,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/C2FA209B7B0C407B9E1168518B264C17.jpg,2011-07-22 23:11:40.638000,2013-01-29 00:52:15.911000
PRL000041,Bernardo Márquez García,Bernardo Márquez,,García,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/CE3891E666DA45FEA7591298536EBCEE.jpg,2011-07-22 23:11:40.553000,2013-01-29 00:52:15.906000
PRL000069,Eric Correa Rivera,Eric Correa,,Rivera,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/55CFA23E594E47E4B16A1EFBE43BE2EF.jpg,2011-07-22 23:11:40.708000,2013-01-29 00:52:15.904000
PRL000049,David Bonilla Cortés,David Bonilla,,Cortés,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/266BCC6D1C094FBD8D9DDC86A8DF8B1E.jpg,2011-07-22 23:11:40.598000,2013-01-29 00:52:15.896000
PRL000065,Cristóbal Colón Ruiz,Cristóbal Colón,,Ruiz,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/52198TZ80752199TZ8083521990TZ809.JPG,2011-07-22 23:11:40.665000,2013-01-29 00:52:15.912000
PRL000082,Rafael Hernández Montañez,Rafael,,Hernández Montañez,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/0EC39669DCB549CC82F9391DAEDC00F3.jpg,2011-07-22 23:11:40.755000,2013-01-29 00:52:15.900000
PRL000060,Pedro I. Cintrón Rodríguez,Pedro,I.,González,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/83F2A059D2384CF49D1DA58573952EA6.jpg,2011-07-22 23:11:40.634000,2013-01-29 00:52:15.915000
PRL000046,Arnaldo Jiménez Valle,Arnaldo Jiménez,,Valle,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/A6AC36B06D9E4539A34FDF0A307DD0AB.jpg,2011-07-22 23:11:40.592000,2013-01-29 00:52:15.895000
PRL000121,Elizabeth Casado Irizarry,Elizabeth Casado,,Irizarry,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/738D89C8CA2B49AA959B80AC069C26A7.jpg,2012-05-16 05:05:35.686000,2013-01-29 00:52:15.905000
PRL000122,Víctor L. Parés Otero,Víctor L. Parés,,Otero,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/0EA665AFE6EE45C1BAD66F2AD9C54C6D.jpg,2012-05-30 04:56:30.377000,2013-01-29 00:52:15.908000
PRL000037,Angel A. Pérez Otero,Angel,A.,Otero,,,False,pr,,,,,http://www.camaraderepresentantes.org/files/fotos/90FB0B0EE4774C81B90D11BAD4537111.jpg,2011-07-22 23:11:40.546000,2013-01-29 00:52:15.899000
PRL000153,Pedro I. Cintrón Rodríguez,Pedro I. Cintrón,,Rodríguez,,,False,pr,,,,,,2012-08-31 20:08:10.225000,2013-01-29 00:52:15.916000
