leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
VAL000068,David L Englin,David,L,Englin,,,False,va,,,,107bec8ef9064eadbb381d5eaface807,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/97ec7f4306b4197d85257535005773dc/Photo/0.84?OpenElement&FieldElemFormat=jpg,2010-12-02 07:04:38.458000,2013-01-04 14:55:53.534000
VAL000020,Yvonne B Miller,Yvonne,B,Miller,,,False,va,,,,41db75f6b6a444769a6dd1036bfb9e52,http://sov.state.va.us/images/Miller05.jpg,2010-12-02 07:04:38.328000,2013-01-04 14:48:33.005000
VAL000008,R. Edward Houck,R. Edward,,Houck,,,False,va,,,,d069be7bf59c4b1b927f8ef4ad315a14,http://sov.state.va.us/images/Houck17.jpg,2010-12-02 07:04:38.294000,2012-01-16 21:13:31.013000
VAL000010,Robert Hurt,Robert,,Hurt,,,False,va,,,,8713d6b0b4954897bf7cf983c0349610,,2010-12-02 07:04:38.298000,2012-01-16 21:13:31.009000
VAL000028,Frederick M Quayle,Frederick,M,Quayle,,,False,va,,,,d8c5d95dcd444e80aa061fc4bb164e55,http://sov.state.va.us/images/Quayle13.jpg,2010-12-02 07:04:38.358000,2012-01-16 21:13:31.015000
VAL000029,W. Roscoe Reynolds,W. Roscoe,,Reynolds,,,False,va,,,,e5a199cc84fa4c1f9f756ffa5663f691,http://sov.state.va.us/images/Reynolds20.jpg,2010-12-02 07:04:38.360000,2012-01-16 21:13:31.017000
VAL000035,Patricia S Ticer,Patricia,S,Ticer,,,False,va,,,,3a5c4d03d2334a4192e4481f7b7b642f,http://sov.state.va.us/images/Ticer30.jpg,2010-12-02 07:04:38.372000,2012-01-16 21:13:31.021000
VAL000038,William C Wampler Jr.,William,C,Wampler,Jr.,,False,va,,,,d108b01fa76c4506bc5782de4554e3a6,http://sov.state.va.us/images/Wampler40.jpg,2010-12-02 07:04:38.378000,2012-01-16 21:13:31.023000
VAL000040,Mary Margaret Whipple,Mary Margaret,,Whipple,,,False,va,,,,f6b3a5a07793485bb63f164f75a4c3cc,http://sov.state.va.us/images/Whipple31.jpg,2010-12-02 07:04:38.382000,2012-01-16 21:13:31.026000
VAL000041,Watkins M Abbitt Jr.,Watkins,M,Abbitt,Jr.,,False,va,,,,203e16d9c9214dfd93fbb14ec0792dd0,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/daac5204668f219b85257535005773e1/Photo/0.98?OpenElement&FieldElemFormat=jpg,2010-12-02 07:04:38.384000,2012-01-16 21:13:30.979000
VAL000042,Robin A Abbott,Robin,A,Abbott,,,False,va,,,,088ebb20991246fd87864269929a84f9,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/d9700796f3b84d948525753500577405/Photo/0.84?OpenElement&FieldElemFormat=jpg,2010-12-02 07:04:38.386000,2012-01-16 21:13:30.973000
VAL000046,Ward L Armstrong,Ward,L,Armstrong,,,False,va,,,,2d4103433a4b4c38bccddbae324f7113,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/9584e38675b906a185257535005773b7/Photo/0.84?OpenElement&FieldElemFormat=jpg,2010-12-02 07:04:38.393000,2012-01-16 21:13:30.981000
VAL000047,Clifford L Athey Jr.,Clifford,L,Athey,Jr.,,False,va,,,,97a9d1d393ab4ea08504294853347429,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/e3697acb5338c5d985257535005773c3/Photo/0.98?OpenElement&FieldElemFormat=jpg,2010-12-02 07:04:38.395000,2012-01-16 21:13:30.984000
VAL000049,William K Barlow,William,K,Barlow,,,False,va,,,,88c5611c250b4642a8aede170266532a,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/45add60b5c702a8985257535005773e8/Photo/0.98?OpenElement&FieldElemFormat=jpg,2010-12-02 07:04:38.399000,2012-01-16 21:13:30.986000
VAL000057,William H Cleaveland,William,H,Cleaveland,,,False,va,,,,f70f5f71e73340d084f22e016353d1ca,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/e73709ad6cb531b385257535005773ab/Photo/0.84?OpenElement&FieldElemFormat=jpg,2010-12-02 07:04:38.421000,2012-01-16 21:13:30.990000
VAL000071,Thomas D Gear,Thomas,D,Gear,,,False,va,,,,49a5b0f227814d4695bbbc56aa01b41d,,2010-12-02 07:04:38.463000,2012-01-16 21:13:30.962000
VAL000075,H. Morgan Griffith,H. Morgan,,Griffith,,,False,va,,,,eb81821faa994e81b7ed55509be28112,,2010-12-02 07:04:38.480000,2012-01-16 21:13:30.964000
