leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
WIL000447,Pam Galloway,Pam,,Galloway,,,False,wi,,,,,http://legis.wisconsin.gov//Senate/sen29/sen29.jpg,2011-01-14 22:24:08.196000,2012-07-10 18:15:48.213000
WIL000334,Alan Lasee,Alan,,Lasee,,,False,wi,,,,5e77fb7edbcc4c58b6d7d94fa4de4358,,2010-08-27 19:14:33.280000,2011-01-07 20:40:46.907000
WIL000345,Jim Sullivan,Jim,,Sullivan,,,False,wi,,,,f3552bff76714ccb8a7abd9bf24e6ee1,,2010-08-27 19:14:33.325000,2011-01-07 20:40:46.910000
WIL000351,Chuck Benedict,Chuck,,Benedict,,,False,wi,,,,29488c84fa1e4c4c82a5f16bf785a08c,,2010-08-27 19:14:33.338000,2011-01-07 20:40:46.879000
WIL000358,Pedro Colon,Pedro,,Colon,,,False,wi,,,,c06150b882564086ac65ac0667c9ef0e,,2010-08-27 19:14:33.353000,2011-01-07 20:40:46.884000
WIL000365,Donald Friske,Donald,,Friske,,,False,wi,,,,59079747cc6f44e39759caf071ac88e5,,2010-08-27 19:14:33.368000,2011-01-07 20:40:46.877000
WIL000399,Scott Newcomer,Scott,,Newcomer,,,False,wi,,,,93d9a6e88f8a4f6c9905970245ee846d,,2010-08-27 19:14:33.471000,2011-01-07 20:40:46.876000
WIL000433,Terry Van Akkeren,Terry,,Van Akkeren,,,False,wi,,,,d5dadbddc9f841c0ab7b4b0390b1bbfb,,2010-08-27 19:14:33.564000,2011-01-07 20:40:46.874000
WIL000440,Jeffrey Wood,Jeffrey,,Wood,,,False,wi,,,,b5b491557bb441709b9e59cef78ab992,,2010-08-27 19:14:33.590000,2011-01-07 20:40:46.881000
WIL000444,Ted Zigmunt,Ted,,Zigmunt,,,False,wi,,,,03141acae04046b68daa7a760f82cdc8,,2010-08-27 19:14:33.598000,2011-01-07 20:40:46.874000
WIL000055,Mark Gundrum,Mark,,Gundrum,,,False,wi,,,,3050574549454c88ab6b369a1e6a2f11,,2010-07-23 21:01:00.264000,2011-01-07 20:40:46.905000
WIL000317,Spencer Coggs,Spencer,,Coggs,,,False,wi,,,,ddcb7c21feb14d0ba1a44040a255704c,http://legis.wisconsin.gov//Senate/sen06/sen06.jpg,2010-08-27 19:14:33.242000,2013-01-08 17:38:10.732000
WIL000320,Russell Decker,Russell,,Decker,,,False,wi,,,,2bd99f52960c4cb18aebb1da6eae93f6,,2010-08-27 19:14:33.249000,2011-01-07 20:40:46.909000
WIL000327,Jim Holperin,Jim,,Holperin,,,False,wi,,,,ee14886a497a4f1b89a45ebb55a6d2b7,http://legis.wisconsin.gov//Senate/sen12/sen12.jpg,2010-08-27 19:14:33.264000,2013-01-08 17:38:10.734000
WIL000328,Randy Hopper,Randy,,Hopper,,,False,wi,,,,4bc07fde229a494c929160c036af5e96,http://legis.wisconsin.gov//Senate/sen18/sen18.jpg,2010-08-27 19:14:33.267000,2012-07-10 18:01:41.048000
WIL000330,Theodore Kanavas,Theodore,,Kanavas,,,False,wi,,,,4285b40b5e304b85b1138cf7543dae11,,2010-08-27 19:14:33.272000,2011-01-07 20:40:46.910000
WIL000331,Dan Kapanke,Dan,,Kapanke,,,False,wi,,,,8a41ef1432f847b1837d5ad0848e30bd,http://legis.wisconsin.gov//Senate/sen32/sen32.jpg,2010-08-27 19:14:33.274000,2012-06-01 18:28:14.344000
WIL000333,Pat Kreitlow,Pat,,Kreitlow,,,False,wi,,,,792187c78bad411f8898f0f89ef3f04e,,2010-08-27 19:14:33.278000,2011-01-07 20:40:46.908000
WIL000341,Jeffrey Plale,Jeffrey,,Plale,,,False,wi,,,,023d961a48f34838ad0097c877a4d9dc,,2010-08-27 19:14:33.296000,2011-01-07 20:40:46.911000
